Word,Found,Original Found,Close Matches
addax,True,False,"add, ada, haddan"
adder,True,True,"adder, sadder, madder"
albatross,True,True,"albatross, albatrosses, baroness"
alligator,True,True,"alligator, alligators, navigator"
alpaca,True,True,"alpaca, malacca, apace"
amur leopards,True,False,"leopards, leopard, leonards"
amur tiger,True,False,"gautier, cartier, tiger"
anchovies,True,True,"anchovies, anchises, anchorite"
anchovy,True,True,"anchovy, sancho, anchor"
anemone,True,True,"anemone, daemon, anyone"
anole,True,False,"anatole, noble, canoe"
ant,True,True,"ant, want, vant"
anteater,True,False,"antipater, theater, eater"
antelope,True,True,"antelope, antelopes, penelope"
antelopes,True,True,"antelopes, antelope, envelopes"
ants,True,True,"ants, wants, pants"
ape,True,True,"ape, tape, rape"
aphid,True,False,"vapid, rapid, phi"
aphids,True,False,"rapids, apis, aids"
apple maggot,True,False,maggot
architeuthis dux,True,False,architects
arthropod,True,False,"fatherhood, bathroom, tripod"
asiatic lions,True,False,"aspirations, fascinations, associations"
asp,True,True,"asp, wasp, rasp"
ass,True,True,"ass, sass, pass"
baboon,True,True,"baboon, bamboo, boon"
baby,True,True,"baby, babby, bay"
bactrian camel,False,False,No close match found
badger,True,True,"badger, badgers, badge"
bagworm,True,False,"worm, worms"
bald eagle,True,False,"beagle, bandage, eagle"
bald eagles,True,False,"bandages, eagles, beagle"
baltimore oriole,True,False,baltimore
bantam,True,True,"bantam, banta, atam"
barb,True,True,"barb, bar, bab"
barracuda,True,False,"barrack, barracks, braced"
basilisk,True,True,"basilisk, basilio, basis"
basking shark,True,False,basking
bass,True,True,"bass, brass, bassi"
basset hound,True,False,"astounded, assertion"
bat,True,True,"bat, brat, boat"
bay gelding,True,False,"yielding, baying, baling"
beagle,True,True,"beagle, eagle, beale"
bear,True,True,"bear, blear, bears"
beast,True,True,"beast, breast, beasts"
beaver,True,True,"beaver, beavers, beaver's"
bee,True,True,"bee, bete, beet"
beef cattle,True,False,"cattle, beetle, battle"
beetle,True,True,"beetle, beetles, leetle"
beetles,True,True,"beetles, beetle, beets"
