"","Subject","Group","Fluency_Item","Switch_Value","Switch_Method","domain","dimension","structure","alpha","method","param1","param2","param3","full_method","Cluster_Number","Switch","Switch_Number","row_id","fluency_score","semantic","phonological","frequency"
"1","CAF-657","NH","cat",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",1,"Within Cluster Transition",NA,1,28,0.751112132164462,1e-04,4.78
"2","CAF-657","NH","hawk",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",1,"Within Cluster Transition",NA,2,28,0.690467449805044,1e-04,3.81
"3","CAF-657","NH","dog",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",1,"Within Cluster Transition",NA,3,28,0.786644776261723,0.3333,5.1
"4","CAF-657","NH","turtle",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",2,"Switch Trial",1,4,28,0.609267678865582,1e-04,3.91
"5","CAF-657","NH","jellyfish",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",2,"Within Cluster Transition",NA,5,28,0.654030163852014,1e-04,3.25
"6","CAF-657","NH","bear",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",3,"Switch Trial",2,6,28,0.238009279103862,0.1429,4.71
"7","CAF-657","NH","ant",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",3,"Within Cluster Transition",NA,7,28,0.457953489814959,1e-04,3.86
"8","CAF-657","NH","mosquito",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",3,"Within Cluster Transition",NA,8,28,0.497005889561174,0.1429,3.61
"9","CAF-657","NH","frog",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",3,"Within Cluster Transition",NA,9,28,0.606374267709187,1e-04,3.89
"10","CAF-657","NH","tadpole",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",3,"Within Cluster Transition",NA,10,28,0.746025710236052,1e-04,2.51
"11","CAF-657","NH","fish",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",4,"Switch Trial",3,11,28,0.551638724173577,1e-04,4.9
"12","CAF-657","NH","shark",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",4,"Within Cluster Transition",NA,12,28,0.709377270225707,1e-04,4.1
"13","CAF-657","NH","dolphin",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",5,"Switch Trial",4,13,28,0.531017010293181,0.1667,3.67
"14","CAF-657","NH","gorilla",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",6,"Switch Trial",5,14,28,0.539552056605411,0.1667,3.62
"15","CAF-657","NH","monkey",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",7,"Switch Trial",6,15,28,0.474747623392771,1e-04,4.07
"16","CAF-657","NH","fly",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",8,"Switch Trial",7,16,28,0.468384290493095,1e-04,4.75
"17","CAF-657","NH","eagle",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",8,"Within Cluster Transition",NA,17,28,0.719408114324325,1e-04,4.13
"18","CAF-657","NH","toad",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Switch Trial",8,18,28,0.500386496047719,1e-04,3.34
"19","CAF-657","NH","rat",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,19,28,0.752777860866755,1e-04,4.17
"20","CAF-657","NH","mouse",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,20,28,0.768353054741348,1e-04,4.31
