"ID","Word1","Word2","Phonemes1","Phonemes2","Shared_Cont_Phonemes"
528353180,"cheese","coffee","[['CH', 'IY1', 'Z']]","[['K', 'AA1', 'F', 'IY0'], ['K', 'AO1', 'F', 'IY0']]",1
528353180,"coffee","tea","[['K', 'AA1', 'F', 'IY0'], ['K', 'AO1', 'F', 'IY0']]","[['T', 'IY1']]",1
528353180,"tea","soda","[['T', 'IY1']]","[['S', 'OW1', 'D', 'AH0']]",0
528353180,"soda","water","[['S', 'OW1', 'D', 'AH0']]","[['W', 'AO1', 'T', 'ER0']]",0
528353180,"water","asparagus","[['W', 'AO1', 'T', 'ER0']]","[['AH0', 'S', 'P', 'EH1', 'R', 'AH0', 'G', 'AH0', 'S']]",0
528353180,"asparagus","cauliflower","[['AH0', 'S', 'P', 'EH1', 'R', 'AH0', 'G', 'AH0', 'S']]","[['K', 'AA1', 'L', 'AH0', 'F', 'L', 'AW2', 'ER0']]",1
528353180,"cauliflower","carrots","[['K', 'AA1', 'L', 'AH0', 'F', 'L', 'AW2', 'ER0']]","[['K', 'AE1', 'R', 'AH0', 'T', 'S'], ['K', 'EH1', 'R', 'AH0', 'T', 'S']]",1
528353180,"carrots","salad","[['K', 'AE1', 'R', 'AH0', 'T', 'S'], ['K', 'EH1', 'R', 'AH0', 'T', 'S']]","[['S', 'AE1', 'L', 'AH0', 'D']]",1
528353180,"salad","chicken","[['S', 'AE1', 'L', 'AH0', 'D']]","[['CH', 'IH1', 'K', 'AH0', 'N']]",1
528353180,"chicken","lemonade","[['CH', 'IH1', 'K', 'AH0', 'N']]","[['L', 'EH1', 'M', 'AH0', 'N', 'EY1', 'D']]",2
528353180,"lemonade","bananas","[['L', 'EH1', 'M', 'AH0', 'N', 'EY1', 'D']]","[['B', 'AH0', 'N', 'AE1', 'N', 'AH0', 'Z']]",2
528353180,"bananas","apples","[['B', 'AH0', 'N', 'AE1', 'N', 'AH0', 'Z']]","[['AE1', 'P', 'AH0', 'L', 'Z']]",1
528353180,"apples","peaches","[['AE1', 'P', 'AH0', 'L', 'Z']]","[['P', 'IY1', 'CH', 'AH0', 'Z'], ['P', 'IY1', 'CH', 'IH0', 'Z']]",1
528353180,"peaches","corn","[['P', 'IY1', 'CH', 'AH0', 'Z'], ['P', 'IY1', 'CH', 'IH0', 'Z']]","[['K', 'AO1', 'R', 'N']]",0
528353180,"corn","rice","[['K', 'AO1', 'R', 'N']]","[['R', 'AY1', 'S']]",1
528353180,"rice","pork","[['R', 'AY1', 'S']]","[['P', 'AO1', 'R', 'K']]",1
528353180,"pork","broccoli","[['P', 'AO1', 'R', 'K']]","[['B', 'R', 'AA1', 'K', 'AH0', 'L', 'IY0'], ['B', 'R', 'AA1', 'K', 'L', 'IY0']]",1
528353180,"broccoli","grilledcheesesandwich","[['B', 'R', 'AA1', 'K', 'AH0', 'L', 'IY0'], ['B', 'R', 'AA1', 'K', 'L', 'IY0']]","[['G', 'R', 'IH1', 'L', 'D', 'CH', 'IY1', 'Z', 'IH0', 'Z', 'AH0', 'N', 'D', 'W', 'IH1', 'CH'], ['G', 'R', 'IH1', 'L', 'D', 'CH', 'IY1', 'Z', 'IH0', 'Z', 'AE1', 'N', 'D', 'W', 'IH1', 'CH']]",1
528353180,"grilledcheesesandwich","hamburgers","[['G', 'R', 'IH1', 'L', 'D', 'CH', 'IY1', 'Z', 'IH0', 'Z', 'AH0', 'N', 'D', 'W', 'IH1', 'CH'], ['G', 'R', 'IH1', 'L', 'D', 'CH', 'IY1', 'Z', 'IH0', 'Z', 'AE1', 'N', 'D', 'W', 'IH1', 'CH']]","[['HH', 'AE1', 'M', 'B', 'ER0', 'G', 'ER0', 'Z']]",1
528353180,"hamburgers","hotdogs","[['HH', 'AE1', 'M', 'B', 'ER0', 'G', 'ER0', 'Z']]","[['HH', 'AA1', 'T', 'D', 'AO2', 'G', 'Z']]",1
528353180,"hotdogs","meatloaf","[['HH', 'AA1', 'T', 'D', 'AO2', 'G', 'Z']]","[['M', 'IY1', 'T', 'L', 'OW0', 'F']]",1
528353180,"meatloaf","pizza","[['M', 'IY1', 'T', 'L', 'OW0', 'F']]","[['P', 'IY1', 'T', 'S', 'AH0']]",2
528353180,"pizza","popcorn","[['P', 'IY1', 'T', 'S', 'AH0']]","[['P', 'AA1', 'P', 'K', 'AO2', 'R', 'N']]",1
956268845,"strawberries","raspberries","[['S', 'T', 'R', 'AO1', 'B', 'EH2', 'R', 'IY0', 'Z']]","[['R', 'AE1', 'Z', 'B', 'EH2', 'R', 'IY0', 'Z']]",5
956268845,"raspberries","apricots","[['R', 'AE1', 'Z', 'B', 'EH2', 'R', 'IY0', 'Z']]","[['AE1', 'P', 'R', 'AH0', 'K', 'AA2', 'T', 'S']]",1
956268845,"apricots","bread","[['AE1', 'P', 'R', 'AH0', 'K', 'AA2', 'T', 'S']]","[['B', 'R', 'EH1', 'D']]",1
956268845,"bread","jam","[['B', 'R', 'EH1', 'D']]","[['JH', 'AE1', 'M']]",0
956268845,"jam","butter","[['JH', 'AE1', 'M']]","[['B', 'AH1', 'T', 'ER0']]",0
