Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.25,2.9843340965783307,forage_dynamic,4.661102016139698,1.371219165005758,3.973773781124158,0.35435509063284537,,
delta_rise=0.0_fall=0.0,9.25,2.9843340965783307,forage_phonologicaldynamicglobal,4.656993911562226,1.3726187555175016,4.470811426872355,0.8689673842608321,-0.08186927707809992,0.10177135357926333
delta_rise=0.0_fall=0.0,9.25,2.9843340965783307,forage_phonologicaldynamiclocal,4.691871419845389,1.3763443700225533,5.100607446631004,1.4062429613603502,-0.29726463925730784,0.5809389860227824
delta_rise=0.0_fall=0.0,9.25,2.9843340965783307,forage_phonologicaldynamicswitch,4.656910961968835,1.3679826525815335,3.973791313290061,0.3543721995299824,-0.07323457760658053,0.4227483390881961
delta_rise=0.0_fall=0.2,8.796875,2.856897834080701,forage_dynamic,4.6534614113081,1.3670725630750082,3.962050344399421,0.35392446970672364,,
delta_rise=0.0_fall=0.2,8.796875,2.856897834080701,forage_phonologicaldynamicglobal,4.65070603446303,1.3702336806352478,4.480697771542543,0.8796168099036406,-0.08521497414304462,0.10395325691631081
delta_rise=0.0_fall=0.2,8.796875,2.856897834080701,forage_phonologicaldynamiclocal,4.68387553243101,1.374339500957542,5.055707391521761,1.3604939972006977,-0.2650817773421273,0.5117773932518327
delta_rise=0.0_fall=0.2,8.796875,2.856897834080701,forage_phonologicaldynamicswitch,4.650563375166422,1.3640326860549936,3.962120498142805,0.35382874386311586,-0.07321892306846303,0.40742027558581895
delta_rise=0.0_fall=0.5,7.71875,2.361598703738635,forage_dynamic,4.609655534342502,1.3661195021497736,3.9007474795887322,0.3467655159137243,,
delta_rise=0.0_fall=0.5,7.71875,2.361598703738635,forage_phonologicaldynamicglobal,4.6032023812847855,1.371397012504024,4.431274317526042,0.8417360705872639,-0.08859170811039283,0.10340730082600048
delta_rise=0.0_fall=0.5,7.71875,2.361598703738635,forage_phonologicaldynamiclocal,4.628514766762527,1.3726094944411058,4.894123810521533,1.269297546658666,-0.19131365102105535,0.3374172968579494
delta_rise=0.0_fall=0.5,7.71875,2.361598703738635,forage_phonologicaldynamicswitch,4.6050013934209,1.3633779226815843,3.90075784989168,0.3465908992231789,-0.1926289605039049,0.6715760540691372
delta_rise=0.0_fall=0.8,6.53125,1.984067397418747,forage_dynamic,4.593813249992918,1.3748063549288532,3.8113435956231245,0.37744576151660264,,
delta_rise=0.0_fall=0.8,6.53125,1.984067397418747,forage_phonologicaldynamicglobal,4.5838090881111135,1.3798993716299268,4.3486634803874225,0.8704391262719018,-0.09081818549607656,0.10413862273457487
delta_rise=0.0_fall=0.8,6.53125,1.984067397418747,forage_phonologicaldynamiclocal,4.60030939774627,1.378432101868047,4.730089818779366,1.1959358260589537,-0.18307939822407962,0.3331141635798811
delta_rise=0.0_fall=0.8,6.53125,1.984067397418747,forage_phonologicaldynamicswitch,4.59044899844235,1.371496215690107,3.8112901070601444,0.3773649340987427,-0.17079720607235127,0.6397569405004284
delta_rise=0.0_fall=1.0,5.609375,1.79075043190697,forage_dynamic,4.579295114698196,1.3742485491871674,3.7107456116253887,0.38130505421425165,,
