Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.3991739744974673,0.10896518493338522,3.885357142857143,0.6957675332447327,0.05355925925925926,0.09061107191329518,28.0,delta_rise=0.0_fall=0.0,13,2.0,0.7559289460184544
CAF-657,,,,,,,,delta_rise=0.0_fall=0.2,12,2.1538461538461537,0.9483713850721502
CAF-657,,,,,,,,delta_rise=0.0_fall=0.5,9,2.8,1.6613247725836149
CAF-657,,,,,,,,delta_rise=0.0_fall=0.8,8,3.111111111111111,1.852592444503674
CAF-657,,,,,,,,delta_rise=0.0_fall=1.0,7,3.5,2.7386127875258306
CAF-657,,,,,,,,delta_rise=0.2_fall=0.0,14,1.8666666666666667,0.8055363982396381
CAF-657,,,,,,,,delta_rise=0.2_fall=0.2,13,2.0,1.0
CAF-657,,,,,,,,delta_rise=0.2_fall=0.5,9,2.8,1.6613247725836149
CAF-657,,,,,,,,delta_rise=0.2_fall=0.8,8,3.111111111111111,1.852592444503674
CAF-657,,,,,,,,delta_rise=0.2_fall=1.0,7,3.5,2.7386127875258306
CAF-657,,,,,,,,delta_rise=0.5_fall=0.0,19,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=0.5_fall=0.2,19,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=0.5_fall=0.5,15,1.75,1.0307764064044151
CAF-657,,,,,,,,delta_rise=0.5_fall=0.8,14,1.8666666666666667,1.2036980056845192
CAF-657,,,,,,,,delta_rise=0.5_fall=1.0,12,2.1538461538461537,1.9940740610485728
CAF-657,,,,,,,,delta_rise=0.8_fall=0.0,19,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=0.8_fall=0.2,19,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=0.8_fall=0.5,15,1.75,1.0307764064044151
CAF-657,,,,,,,,delta_rise=0.8_fall=0.8,14,1.8666666666666667,1.2036980056845192
CAF-657,,,,,,,,delta_rise=0.8_fall=1.0,12,2.1538461538461537,1.9940740610485728
CAF-657,,,,,,,,delta_rise=1.0_fall=0.0,20,1.3333333333333333,0.4714045207910316
CAF-657,,,,,,,,delta_rise=1.0_fall=0.2,20,1.3333333333333333,0.4714045207910316
CAF-657,,,,,,,,delta_rise=1.0_fall=0.5,17,1.5555555555555556,0.9558139185602919
CAF-657,,,,,,,,delta_rise=1.0_fall=0.8,16,1.6470588235294117,1.1345471483521123
CAF-657,,,,,,,,delta_rise=1.0_fall=1.0,16,1.6470588235294117,1.1345471483521123
CAF-657,,,,,,,,multimodal_alpha=0.0,2,9.333333333333334,4.027681991198191
CAF-657,,,,,,,,multimodal_alpha=0.1,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.2,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.3,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.4,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.5,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.6,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.7,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.8,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.9,9,2.8,0.7483314773547882
CAF-657,,,,,,,,multimodal_alpha=1.0,10,2.5454545454545454,0.6555547773570889
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.2,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.5,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.8,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=1.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.2,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.5,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.8,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=1.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.2,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.5,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.8,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=1.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=0.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=0.2,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=0.5,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=0.8,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=1.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=1.0_fall=0.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=1.0_fall=0.2,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=1.0_fall=0.5,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=1.0_fall=0.8,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=1.0_fall=1.0,17,1.5555555555555556,0.8314794192830981
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.0_fall=0.0,14,1.8666666666666667,0.9568466729604882
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.0_fall=0.2,14,1.8666666666666667,0.9568466729604882
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.0_fall=0.5,12,2.1538461538461537,1.7027648939368196
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.0_fall=0.8,12,2.1538461538461537,1.7027648939368196
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.0_fall=1.0,12,2.1538461538461537,1.7027648939368196
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.2_fall=0.0,17,1.5555555555555556,0.6849348892187752
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.2_fall=0.2,17,1.5555555555555556,0.6849348892187752
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.2_fall=0.5,15,1.75,1.25
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.2_fall=0.8,15,1.75,1.25
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.2_fall=1.0,15,1.75,1.25
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.5_fall=0.0,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.5_fall=0.2,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.5_fall=0.5,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.5_fall=0.8,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.5_fall=1.0,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.8_fall=0.0,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.8_fall=0.2,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.8_fall=0.5,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.8_fall=0.8,19,1.4,0.5830951894845301
CAF-657,,,,,,,,multimodaldelta_alpha=0.1_rise=0.8_fall=1.0,19,1.4,0.5830951894845301
