Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,3.63,0.0001
CAF-657,cat,0.250940209752452,4.78,0.0001
CAF-657,hawk,0.17295566417487973,3.81,0.0001
CAF-657,dog,0.24147281559294453,5.1,0.3333
CAF-657,turtle,0.26549341613142274,3.91,0.0001
CAF-657,jellyfish,0.3053441422230374,3.25,0.0001
CAF-657,bear,0.15920177104629374,4.71,0.1429
CAF-657,ant,0.1643945729609907,3.86,0.0001
CAF-657,mosquito,0.43273588722926803,3.61,0.1429
CAF-657,frog,0.2430566100779844,3.89,0.0001
CAF-657,tadpole,0.2943782851890976,2.51,0.0001
CAF-657,fish,0.11998009862433157,4.9,0.0001
CAF-657,shark,0.21938966873507681,4.1,0.0001
CAF-657,dolphin,0.18842476833849098,3.67,0.1667
CAF-657,gorilla,0.21544679194808847,3.62,0.1667
CAF-657,monkey,0.18916673819081176,4.07,0.0001
CAF-657,fly,0.17538278897893023,4.75,0.0001
CAF-657,eagle,0.2994110726152641,4.13,0.0001
CAF-657,toad,0.44726336946622824,3.34,0.0001
CAF-657,rat,0.27003529469770515,4.17,0.0001
CAF-657,mouse,0.31646260428656414,4.31,0.0001
CAF-657,woodchuck,0.09031533095642419,2.3,0.0001
CAF-657,fox,0.19392492475343737,4.66,0.0001
CAF-657,possum,0.36201160325096493,2.94,0.2
CAF-657,deer,0.12275154232533814,4.12,0.0001
CAF-657,squirrel,0.31955847233975265,3.69,0.0001
CAF-657,rabbit,0.41509689870293864,4.05,0.1667
CAF-657,bluebird,0.40691606547314074,2.91,0.1667
CAJ-663,peacock,0.0001,3.44,0.0001
CAJ-663,zebra,0.10667416135999364,3.4,0.2
CAJ-663,elephant,0.21561594262424844,4.08,0.1429
CAJ-663,zebra,0.21561594262424844,3.4,0.1429
CAJ-663,horse,0.187014006560556,4.76,0.2
CAJ-663,cat,0.3006651104692827,4.78,0.0001
CAJ-663,dog,0.15826433680159502,5.1,0.0001
CAJ-663,lizard,0.26063579945746806,3.63,0.0001
CAJ-663,turtle,0.2709180915716287,3.91,0.0001
CAJ-663,dolphin,0.2865722903143786,3.67,0.1667
