Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.3438171563884899,0.1057818247637912,3.885357142857143,0.6957675332447327,0.05355925925925926,0.09061107191329518,28.0,delta_rise=0.0_fall=0.0,11,2.3333333333333335,1.1785113019775793
CAF-657,,,,,,,,delta_rise=0.0_fall=0.2,11,2.3333333333333335,1.1785113019775793
CAF-657,,,,,,,,delta_rise=0.0_fall=0.5,10,2.5454545454545454,1.6160353486028343
CAF-657,,,,,,,,delta_rise=0.0_fall=0.8,9,2.8,1.6
CAF-657,,,,,,,,delta_rise=0.0_fall=1.0,6,4.0,1.6035674514745464
CAF-657,,,,,,,,delta_rise=0.2_fall=0.0,13,2.0,1.1952286093343936
CAF-657,,,,,,,,delta_rise=0.2_fall=0.2,13,2.0,1.1952286093343936
CAF-657,,,,,,,,delta_rise=0.2_fall=0.5,10,2.5454545454545454,1.6160353486028343
CAF-657,,,,,,,,delta_rise=0.2_fall=0.8,9,2.8,1.6
CAF-657,,,,,,,,delta_rise=0.2_fall=1.0,6,4.0,1.6035674514745464
CAF-657,,,,,,,,delta_rise=0.5_fall=0.0,13,2.0,1.1952286093343936
CAF-657,,,,,,,,delta_rise=0.5_fall=0.2,13,2.0,1.1952286093343936
CAF-657,,,,,,,,delta_rise=0.5_fall=0.5,10,2.5454545454545454,1.6160353486028343
CAF-657,,,,,,,,delta_rise=0.5_fall=0.8,9,2.8,1.6
CAF-657,,,,,,,,delta_rise=0.5_fall=1.0,6,4.0,1.6035674514745464
CAF-657,,,,,,,,delta_rise=0.8_fall=0.0,18,1.4736842105263157,0.6781104593013224
CAF-657,,,,,,,,delta_rise=0.8_fall=0.2,18,1.4736842105263157,0.6781104593013224
CAF-657,,,,,,,,delta_rise=0.8_fall=0.5,15,1.75,1.25
CAF-657,,,,,,,,delta_rise=0.8_fall=0.8,14,1.8666666666666667,1.3097921802925665
CAF-657,,,,,,,,delta_rise=0.8_fall=1.0,11,2.3333333333333335,1.7950549357115013
CAF-657,,,,,,,,delta_rise=1.0_fall=0.0,20,1.3333333333333333,0.5634361698190109
CAF-657,,,,,,,,delta_rise=1.0_fall=0.2,20,1.3333333333333333,0.5634361698190109
CAF-657,,,,,,,,delta_rise=1.0_fall=0.5,17,1.5555555555555556,1.1653431646335017
CAF-657,,,,,,,,delta_rise=1.0_fall=0.8,17,1.5555555555555556,1.1653431646335017
CAF-657,,,,,,,,delta_rise=1.0_fall=1.0,14,1.8666666666666667,1.6679994670929066
CAF-657,,,,,,,,multimodal_alpha=0.0,2,9.333333333333334,4.027681991198191
