Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.078125,2.9596488785622865,forage_dynamic,5.191448977142674,1.468117707474007,2.9356070766010833,0.4490595017351355,,
delta_rise=0.0_fall=0.0,9.078125,2.9596488785622865,forage_phonologicaldynamicglobal,5.265634259696624,1.5023190209921542,3.278865696350027,0.7486254223791928,-0.06707503348327566,0.09698689806670467
delta_rise=0.0_fall=0.0,9.078125,2.9596488785622865,forage_phonologicaldynamiclocal,5.370208715114674,1.5447842322681569,3.835024486505127,1.4903159513120698,-0.26618607461604543,0.5809626785903569
delta_rise=0.0_fall=0.0,9.078125,2.9596488785622865,forage_phonologicaldynamicswitch,5.194938257896785,1.4684155998831796,2.9353966054037475,0.4488401619904051,-0.10451875339156642,0.4744255847170006
delta_rise=0.0_fall=0.2,8.46875,3.005041337070091,forage_dynamic,5.235467410842847,1.4761184735093653,2.93666523127994,0.46324738078929223,,
delta_rise=0.0_fall=0.2,8.46875,3.005041337070091,forage_phonologicaldynamicglobal,5.3213480326518345,1.515952544495622,3.2907785736587263,0.7675782862368997,-0.06981354343010485,0.09820389884032688
delta_rise=0.0_fall=0.2,8.46875,3.005041337070091,forage_phonologicaldynamiclocal,5.412545213802373,1.5411323153291443,3.7397748922807716,1.4152279243741408,-0.20076044885050198,0.45670846004875215
delta_rise=0.0_fall=0.2,8.46875,3.005041337070091,forage_phonologicaldynamicswitch,5.239925546133885,1.4775943841103611,2.936418485322308,0.46308045134845405,-0.19842329301542866,0.702650075376785
delta_rise=0.0_fall=0.5,7.46875,2.811631810443892,forage_dynamic,5.299238382436405,1.4773299348316251,2.9064049146006896,0.465862751996622,,
delta_rise=0.0_fall=0.5,7.46875,2.811631810443892,forage_phonologicaldynamicglobal,5.397872270574035,1.5219436344264776,3.2755078192697695,0.78208520726456,-0.07326071479816287,0.09946074654027848
delta_rise=0.0_fall=0.5,7.46875,2.811631810443892,forage_phonologicaldynamiclocal,5.470077958812653,1.5424479220055993,3.633741208380935,1.38000446287215,-0.1930620786471632,0.4669830212002023
delta_rise=0.0_fall=0.5,7.46875,2.811631810443892,forage_phonologicaldynamicswitch,5.303977045536462,1.4789153329650955,2.906096494778518,0.4655609342109784,-0.28375025366688544,0.7909739061577268
delta_rise=0.0_fall=0.8,6.390625,2.4661279588405383,forage_dynamic,5.356706820807956,1.4764628083723372,2.8383045985058737,0.46620209400669155,,
delta_rise=0.0_fall=0.8,6.390625,2.4661279588405383,forage_phonologicaldynamicglobal,5.470330347699939,1.5270521602113187,3.2207033084957746,0.8225798846014892,-0.0760079560974573,0.10393434911764514
delta_rise=0.0_fall=0.8,6.390625,2.4661279588405383,forage_phonologicaldynamiclocal,5.523982458875133,1.5362036568087234,3.4746777019212756,1.2228266915352402,-0.14808593775222817,0.34370998992584395
delta_rise=0.0_fall=0.8,6.390625,2.4661279588405383,forage_phonologicaldynamicswitch,5.363209197156149,1.48018758308385,2.8379740278534658,0.46583887537898844,-0.3875623020153098,0.8878346477041206
delta_rise=0.0_fall=1.0,5.640625,2.4132912400651105,forage_dynamic,5.397771936198736,1.4620894688559196,2.7926288564226476,0.47116565283318357,,
delta_rise=0.0_fall=1.0,5.640625,2.4132912400651105,forage_phonologicaldynamicglobal,5.517259182540443,1.5174265232996311,3.17508305900601,0.8286741082126545,-0.07707269348591186,0.10339852793273337
delta_rise=0.0_fall=1.0,5.640625,2.4132912400651105,forage_phonologicaldynamiclocal,5.566015753555462,1.5273869308895107,3.4015512866340107,1.221306073561649,-0.14127480072397264,0.32285042448165235
delta_rise=0.0_fall=1.0,5.640625,2.4132912400651105,forage_phonologicaldynamicswitch,5.401087800783279,1.4724208473193385,2.7924764378395244,0.47101102252183813,-0.4775930200649019,1.050735592878334
delta_rise=0.2_fall=0.0,9.71875,3.094696824811762,forage_dynamic,5.162583401650328,1.4598986131816087,3.0174820783004663,0.4820514521060642,,
delta_rise=0.2_fall=0.0,9.71875,3.094696824811762,forage_phonologicaldynamicglobal,5.22681475469381,1.4864813785890807,3.3505759922810094,0.7274678607917668,-0.06477734501451055,0.09268026561475075
delta_rise=0.2_fall=0.0,9.71875,3.094696824811762,forage_phonologicaldynamiclocal,5.335714612248142,1.5237176122429195,3.9688463016337687,1.520393735291343,-0.2934757080704722,0.654119151172989
delta_rise=0.2_fall=0.0,9.71875,3.094696824811762,forage_phonologicaldynamicswitch,5.16569568963726,1.4597760576532384,3.017253311709726,0.48189253971921436,-0.08138562926611935,0.4260118959702806
delta_rise=0.2_fall=0.2,9.0625,3.1318674540918874,forage_dynamic,5.209056691521663,1.4676953305202145,3.018251121850656,0.502110382286831,,
delta_rise=0.2_fall=0.2,9.0625,3.1318674540918874,forage_phonologicaldynamicglobal,5.286775044246561,1.4992564262782901,3.3672938210730585,0.7678518225144553,-0.0683642760448789,0.09606042666077728
delta_rise=0.2_fall=0.2,9.0625,3.1318674540918874,forage_phonologicaldynamiclocal,5.383757543648989,1.5255582753614907,3.867066632467398,1.4600303762643165,-0.21375087306220533,0.4915761210674801
delta_rise=0.2_fall=0.2,9.0625,3.1318674540918874,forage_phonologicaldynamicswitch,5.212824074296798,1.4678634621320226,3.017965776644344,0.501984101657824,-0.19326498650591387,0.6873832660747855
delta_rise=0.2_fall=0.5,8.015625,2.9127531408231286,forage_dynamic,5.276191740719487,1.4656072857875713,2.9821798052501616,0.5032909475310547,,
delta_rise=0.2_fall=0.5,8.015625,2.9127531408231286,forage_phonologicaldynamicglobal,5.3666370022559144,1.5017876335888134,3.346152912521585,0.7755898310096163,-0.0719578986621645,0.09643982506301706
delta_rise=0.2_fall=0.5,8.015625,2.9127531408231286,forage_phonologicaldynamiclocal,5.448435969479115,1.5263699664450232,3.754983806527034,1.4532060081490583,-0.1945703373982389,0.4393654430274225
delta_rise=0.2_fall=0.5,8.015625,2.9127531408231286,forage_phonologicaldynamicswitch,5.280873709978863,1.4659653694537425,2.981833328850273,0.5030500823999605,-0.2527599160054339,0.7436762929471257
delta_rise=0.2_fall=0.8,6.8125,2.591301555203485,forage_dynamic,5.344131542308796,1.468815684552245,2.9125930087720957,0.47690508315897495,,
delta_rise=0.2_fall=0.8,6.8125,2.591301555203485,forage_phonologicaldynamicglobal,5.455715172529223,1.5163045858852662,3.301223354997683,0.8155564904335005,-0.07658779050378334,0.1038731229816197
delta_rise=0.2_fall=0.8,6.8125,2.591301555203485,forage_phonologicaldynamiclocal,5.517308248750977,1.52882707524346,3.5886988868219936,1.2399338424019737,-0.15093755827571645,0.3190319715770397
delta_rise=0.2_fall=0.8,6.8125,2.591301555203485,forage_phonologicaldynamicswitch,5.351638382921697,1.4720513379084013,2.9122177955551583,0.4765338536541692,-0.38620059993086986,0.9348228125713289
delta_rise=0.2_fall=1.0,6.0,2.5799709300687867,forage_dynamic,5.388558171190927,1.4585328970618314,2.8660525217742228,0.48291779124293727,,
delta_rise=0.2_fall=1.0,6.0,2.5799709300687867,forage_phonologicaldynamicglobal,5.507925469175633,1.5130722780556967,3.2572906652713756,0.8220144194372662,-0.0781123937737132,0.10333922355010125
delta_rise=0.2_fall=1.0,6.0,2.5799709300687867,forage_phonologicaldynamiclocal,5.560557827016354,1.5224890452711088,3.5083123236569853,1.2477984217615794,-0.15139173349973473,0.36374709288242524
delta_rise=0.2_fall=1.0,6.0,2.5799709300687867,forage_phonologicaldynamicswitch,5.393057221541929,1.468738469308699,2.865866514470607,0.4827105820925864,-0.4192786939553685,0.9649752391272758
delta_rise=0.5_fall=0.0,10.578125,3.253866390061983,forage_dynamic,5.130463048659135,1.4554237416565838,3.1192056640991432,0.4569469100083327,,
delta_rise=0.5_fall=0.0,10.578125,3.253866390061983,forage_phonologicaldynamicglobal,5.1881263330364185,1.4851999708194086,3.465576377209157,0.7717846429440011,-0.0641998034144507,0.0962203847869477
delta_rise=0.5_fall=0.0,10.578125,3.253866390061983,forage_phonologicaldynamiclocal,5.2992558966043735,1.524135112705704,4.199914504033804,1.7779661926876185,-0.29432988207207467,0.6247903006015546
delta_rise=0.5_fall=0.0,10.578125,3.253866390061983,forage_phonologicaldynamicswitch,5.132225971121267,1.4566616861194777,3.1190706122190335,0.4568936314488377,-0.08834327285134905,0.45174551558875453
delta_rise=0.5_fall=0.2,9.953125,3.290277759456639,forage_dynamic,5.174462092941443,1.4607488950556522,3.119168182184366,0.4643306853043769,,
delta_rise=0.5_fall=0.2,9.953125,3.290277759456639,forage_phonologicaldynamicglobal,5.245814950701115,1.4949937432425726,3.488860593082525,0.8097975803663386,-0.06851641869118155,0.10190299965545209
delta_rise=0.5_fall=0.2,9.953125,3.290277759456639,forage_phonologicaldynamiclocal,5.345635344547582,1.5257198733485189,4.087463255591133,1.72421512187989,-0.21466618253547964,0.47521863646616314
delta_rise=0.5_fall=0.2,9.953125,3.290277759456639,forage_phonologicaldynamicswitch,5.176170389506495,1.462095032419529,3.1190072635651367,0.46431606236250567,-0.1258469438907739,0.5267325432703087
delta_rise=0.5_fall=0.5,8.875,3.054197930717654,forage_dynamic,5.242105848499078,1.4594700227125972,3.083669704564859,0.4633765650878315,,
delta_rise=0.5_fall=0.5,8.875,3.054197930717654,forage_phonologicaldynamicglobal,5.3265329450209355,1.4976560752982535,3.475543103312633,0.8306499558976835,-0.07317061518906676,0.1040512416917932
delta_rise=0.5_fall=0.5,8.875,3.054197930717654,forage_phonologicaldynamiclocal,5.412708653186395,1.527772167831979,3.97428632257393,1.6673131839561814,-0.2194104795774614,0.5449291661597536
delta_rise=0.5_fall=0.5,8.875,3.054197930717654,forage_phonologicaldynamicswitch,5.246398276721404,1.4608372571100523,3.0834033436120096,0.46322645298952775,-0.17581980927749913,0.5966956639014076
delta_rise=0.5_fall=0.8,7.640625,2.8414740205349407,forage_dynamic,5.310229831743515,1.464580984411149,3.0129471207596294,0.45408981482133226,,
delta_rise=0.5_fall=0.8,7.640625,2.8414740205349407,forage_phonologicaldynamicglobal,5.417952994577619,1.5214258366060187,3.43784037570181,0.9144783976725566,-0.07912460613803246,0.11488678374403727
delta_rise=0.5_fall=0.8,7.640625,2.8414740205349407,forage_phonologicaldynamiclocal,5.479105175469168,1.527868450383836,3.8038586008616098,1.5740963036842701,-0.1680425344787706,0.39055318930231203
delta_rise=0.5_fall=0.8,7.640625,2.8414740205349407,forage_phonologicaldynamicswitch,5.3175604951330655,1.4686301571135265,3.012683167945103,0.4538010080544822,-0.3087892670144674,0.8271100409326001
delta_rise=0.5_fall=1.0,6.78125,2.907257889747657,forage_dynamic,5.360258048787245,1.455216808078675,2.964328673149711,0.46790380362887507,,
delta_rise=0.5_fall=1.0,6.78125,2.907257889747657,forage_phonologicaldynamicglobal,5.477168219989393,1.518360530737456,3.394555510682233,0.9275716175664461,-0.08113648188118465,0.11451814342073295
delta_rise=0.5_fall=1.0,6.78125,2.907257889747657,forage_phonologicaldynamiclocal,5.531722579989993,1.5234039427905914,3.7269575446170995,1.60525122624205,-0.15976194342164138,0.36807598879695314
delta_rise=0.5_fall=1.0,6.78125,2.907257889747657,forage_phonologicaldynamicswitch,5.36325898414486,1.464857533903076,2.9642273764805878,0.46772992939797214,-0.3262986590890436,0.879909131994979
delta_rise=0.8_fall=0.0,11.703125,3.752830962670048,forage_dynamic,5.084850325344119,1.4610570470596467,3.2436464225027546,0.4275656686769605,,
delta_rise=0.8_fall=0.0,11.703125,3.752830962670048,forage_phonologicaldynamicglobal,5.133947408148677,1.4903482127735401,3.580506569408838,0.728284871303677,-0.061113639917188246,0.09522083132315229
delta_rise=0.8_fall=0.0,11.703125,3.752830962670048,forage_phonologicaldynamiclocal,5.257766161037939,1.5321364560574708,4.637744203329654,2.342083875843058,-0.3970883486300868,0.814012453836229
delta_rise=0.8_fall=0.0,11.703125,3.752830962670048,forage_phonologicaldynamicswitch,5.085996202661719,1.463495695425776,3.243672348754553,0.42740376081995207,-0.07702582437357476,0.39968555247180587
delta_rise=0.8_fall=0.2,11.1875,3.8522517765587443,forage_dynamic,5.11804813394566,1.465303287964333,3.2553803076377377,0.421442096926903,,
delta_rise=0.8_fall=0.2,11.1875,3.8522517765587443,forage_phonologicaldynamicglobal,5.179782197398638,1.499074674679595,3.616907725873802,0.7547013149119569,-0.06558831620978242,0.10119220727498356
delta_rise=0.8_fall=0.2,11.1875,3.8522517765587443,forage_phonologicaldynamiclocal,5.290152042208095,1.5345357633156849,4.416712823897261,1.9668444253400215,-0.2705686069712434,0.6046022000848278
delta_rise=0.8_fall=0.2,11.1875,3.8522517765587443,forage_phonologicaldynamicswitch,5.119746836954039,1.4681982055244243,3.2552896357964176,0.42132988538535615,-0.08012851082714804,0.3997286758191463
delta_rise=0.8_fall=0.5,10.046875,3.470544299439931,forage_dynamic,5.193695315584263,1.4613507667838466,3.2155259095794593,0.41648596171026686,,
delta_rise=0.8_fall=0.5,10.046875,3.470544299439931,forage_phonologicaldynamicglobal,5.269145218552232,1.4984408656253698,3.601608611278465,0.7732245650105719,-0.07068235148745976,0.10334272139084802
delta_rise=0.8_fall=0.5,10.046875,3.470544299439931,forage_phonologicaldynamiclocal,5.371020818931706,1.535828325760557,4.273605119063777,1.8768229074463905,-0.26856475693924176,0.6411991662534963
delta_rise=0.8_fall=0.5,10.046875,3.470544299439931,forage_phonologicaldynamicswitch,5.1979395584492405,1.4649949544406637,3.215288401617869,0.4163026846537005,-0.12497530010062521,0.524309697748937
delta_rise=0.8_fall=0.8,8.78125,3.4162696669759547,forage_dynamic,5.263475761065759,1.4626697271967184,3.1407605605950426,0.4161844736640495,,
delta_rise=0.8_fall=0.8,8.78125,3.4162696669759547,forage_phonologicaldynamicglobal,5.361182043796763,1.5187106503820096,3.5612984200835327,0.8617377295711153,-0.07694385336146391,0.11376785482254442
delta_rise=0.8_fall=0.8,8.78125,3.4162696669759547,forage_phonologicaldynamiclocal,5.439642381634501,1.5348298686497637,4.0953354024118545,1.8498863321356096,-0.21092755369766494,0.5006087577415714
delta_rise=0.8_fall=0.8,8.78125,3.4162696669759547,forage_phonologicaldynamicswitch,5.270311610796828,1.4691259100400595,3.140524516006266,0.4158514668608378,-0.21882984852524082,0.6627162971125515
delta_rise=0.8_fall=1.0,7.8125,3.4949740700039538,forage_dynamic,5.3183201324184886,1.4500735422873594,3.077732515933054,0.44174665268417124,,
delta_rise=0.8_fall=1.0,7.8125,3.4949740700039538,forage_phonologicaldynamicglobal,5.426109238828332,1.5118008593935477,3.5067282172607968,0.8878079080806981,-0.07948272681376085,0.1134640837443649
delta_rise=0.8_fall=1.0,7.8125,3.4949740700039538,forage_phonologicaldynamiclocal,5.498948969278027,1.5264483023550226,3.995940034024078,1.8880170546484747,-0.2095360388827636,0.5235663418924383
delta_rise=0.8_fall=1.0,7.8125,3.4949740700039538,forage_phonologicaldynamicswitch,5.3213675364219775,1.4620009699477106,3.0776592508405147,0.4415256937625524,-0.2642709890627902,0.8197998970755934
delta_rise=1.0_fall=0.0,12.515625,4.231548872384082,forage_dynamic,5.047496019716415,1.4604154931389413,3.2497228719302607,0.45108602457866026,,
