"SID","Semantic_Similarity_mean","Semantic_Similarity_std","Frequency_Value_mean","Frequency_Value_std","Phonological_Similarity_mean","Phonological_Similarity_std","#_of_Items","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
"883631457",0.609931957508371,0.117021407328513,3.88535714285714,0.695767533244733,0.0535592592592593,0.0906110719132952,28,"delta_rise=0.0_fall=0.0",11,2.33333333333333,1.17851130197758
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.2",10,2.54545454545455,1.23315090602278
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.5",8,3.11111111111111,1.59474445493415
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.8",7,3.5,1.58113883008419
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=1.0",7,3.5,1.58113883008419
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.0",12,2.15384615384615,1.23076923076923
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.2",11,2.33333333333333,1.31233464566864
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.5",9,2.8,1.72046505340853
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.8",8,3.11111111111111,1.79161283295523
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=1.0",8,3.11111111111111,1.79161283295523
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.0",13,2,1.25356634105602
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.2",12,2.15384615384615,1.34999452113725
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.5",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.8",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=1.0",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.0",14,1.86666666666667,1.25786415094088
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.2",13,2,1.36277028773849
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.5",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.8",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=1.0",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.0",14,1.86666666666667,1.25786415094088
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.2",13,2,1.36277028773849
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.5",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.8",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=1.0",10,2.54545454545455,1.77680184415382
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.0",2,9.33333333333333,4.02768199119819
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.1",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.2",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.3",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.4",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.5",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.6",8,3.11111111111111,1.09994388184574
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.7",8,3.11111111111111,0.993807989999907
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.8",7,3.5,1.11803398874989
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.9",8,3.11111111111111,0.993807989999907
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=1.0",8,3.11111111111111,0.993807989999907
