Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,3.63,0.0001
CAF-657,cat,0.29894322246396765,4.78,0.0001
CAF-657,hawk,0.27063306046830915,3.81,0.0001
CAF-657,dog,0.2608692568732067,5.1,0.3333
CAF-657,turtle,0.21809991016050445,3.91,0.0001
CAF-657,jellyfish,0.33940863595506743,3.25,0.0001
CAF-657,bear,0.19725279069715607,4.71,0.1429
CAF-657,ant,0.2471359131553299,3.86,0.0001
CAF-657,mosquito,0.3869156530826505,3.61,0.1429
CAF-657,frog,0.36140884263529327,3.89,0.0001
CAF-657,tadpole,0.5214940543587702,2.51,0.0001
CAF-657,fish,0.3459383526312254,4.9,0.0001
CAF-657,shark,0.475851073797664,4.1,0.0001
CAF-657,dolphin,0.504440243296195,3.67,0.1667
CAF-657,gorilla,0.3588766536110959,3.62,0.1667
CAF-657,monkey,0.3837193819820639,4.07,0.0001
CAF-657,fly,0.10862712148415954,4.75,0.0001
CAF-657,eagle,0.33155477244749354,4.13,0.0001
CAF-657,toad,0.31757298086844643,3.34,0.0001
CAF-657,rat,0.45013679148657393,4.17,0.0001
CAF-657,mouse,0.4571258685994932,4.31,0.0
CAF-657,woodchuck,0.3848373332625806,2.3,0.0
CAF-657,fox,0.3775308953978693,4.66,0.0001
CAF-657,possum,0.41698532713084413,2.94,0.2
CAF-657,deer,0.3568185671305688,4.12,0.0001
CAF-657,squirrel,0.37969686759234444,3.69,0.0001
CAF-657,rabbit,0.452021458784965,4.05,0.1667
CAF-657,bluebird,0.46028268343870815,2.91,0.0
CAJ-663,peacock,0.0001,3.44,0.0001
CAJ-663,zebra,0.3743886257953395,3.4,0.0
CAJ-663,elephant,0.47020702482107724,4.08,0.1429
CAJ-663,zebra,0.47020702482107724,3.4,0.1429
CAJ-663,horse,0.3703213758260411,4.76,0.2
CAJ-663,cat,0.1711663690168197,4.78,0.0001
CAJ-663,dog,0.4305070683486726,5.1,0.0001
CAJ-663,lizard,0.29640867768285784,3.63,0.0
CAJ-663,turtle,0.2557694865111013,3.91,0.0001
CAJ-663,dolphin,0.332625540040983,3.67,0.1667
CAJ-663,penguin,0.39797595620446824,3.78,0.2857
CAJ-663,buffalo,0.2618949593164823,4.14,0.0001
CAJ-663,kangaroo,0.34021436254071813,3.5,0.0001
CAJ-663,goose,0.2788742704283096,3.84,0.1667
CAJ-663,duck,0.342657909130638,4.21,0.0001
CAJ-663,swan,0.2905961757716746,3.84,0.0001
CAJ-663,monkey,0.2716691082037095,4.07,0.0001
CAJ-663,shrimp,0.36386667703548725,3.79,0.0001
CAJ-663,lion,0.2896560196789638,4.25,0.0001
CAJ-663,tiger,0.40510146724069696,4.3,0.25
CAM-666,cat,0.0001,4.78,0.0001
CAM-666,dog,0.4305070683486726,5.1,0.0001
CAM-666,lizard,0.29640867768285784,3.63,0.0
CAM-666,woman,0.2197044425537783,5.35,0.0001
CAM-666,goat,0.25492991705122825,4.02,0.0001
CAM-666,otter,0.26554906662451727,3.37,0.125
CAM-666,bear,0.21375879364708594,4.71,0.0001
CAM-666,firefly,0.19048295385060432,3.13,0.0001
CAM-666,fly,0.3154222183269213,4.75,0.3333
CAM-666,ant,0.2484198066880452,3.86,0.0001
CAM-666,bird,0.28343115158048504,4.63,0.0001
CAM-666,eagle,0.5050860260809202,4.13,0.0001
CAM-666,moose,0.30789229578072175,3.61,0.0001
CAM-666,deer,0.46982308649104154,4.12,0.0001
CAM-666,mouse,0.3238643517431311,4.31,0.0001
CAM-666,duck,0.3816404159502288,4.21,0.0001
CAM-666,crow,0.3987356473513335,3.8,0.0001
CAM-666,frog,0.43897203067342216,3.89,0.25
CAM-666,tadpole,0.5214940543587702,2.51,0.0001
CAM-666,caterpillar,0.5444418875948032,3.38,0.375
CAM-666,butterfly,0.3595631039138987,3.93,0.25
CAM-666,moth,0.269769971354625,3.5,0.0001
CAM-666,gorilla,0.29204584608371653,3.62,0.0001
CAM-666,monkey,0.3837193819820639,4.07,0.0001
CAM-666,horse,0.2940413919222221,4.76,0.0001
CAN-667,cat,0.0001,4.78,0.0001
CAN-667,lion,0.28637999150195326,4.25,0.0001
CAN-667,tiger,0.40510146724069696,4.3,0.25
CAN-667,dog,0.30537446745187125,5.1,0.25
CAN-667,mouse,0.36217512503340266,4.31,0.0
CAN-667,sheep,0.24936583003695256,4.19,0.0001
CAN-667,horse,0.21680103504131765,4.76,0.0001
CAN-667,pig,0.22862574982850592,4.14,0.0001
CAN-667,goat,0.3886302982458891,4.02,0.0001
CAN-667,pony,0.1991905164270612,3.81,0.25
CAN-667,peacock,0.17445410753949198,3.44,0.2
CAN-667,bird,0.2801777576169999,4.63,0.0001
CAN-667,lion,0.24846264475383373,4.25,0.0001
CAN-667,lamb,0.32380257318138617,4.02,0.25
CAN-667,elephant,0.22091761490735684,4.08,0.1429
CAN-667,chicken,0.2101839718061157,4.63,0.2857
CAN-667,rooster,0.4113219246855102,3.31,0.0001
CAP-671,zebra,0.0001,3.4,0.0001
CAP-671,elephant,0.47020702482107724,4.08,0.1429
CAP-671,lion,0.3117690752847234,4.25,0.4286
CAP-671,hippopotamus,0.38390280938785115,2.56,0.0
CAP-671,bat,0.28653791974017007,4.3,0.0909
CAP-671,fish,0.1569973646690982,4.9,0.0001
CAP-671,shark,0.475851073797664,4.1,0.0001
CAP-671,turtle,0.4319968515807897,3.91,0.0001
CAP-671,snake,0.3471951288533661,4.23,0.0001
CAP-671,dolphin,0.3260297889395054,3.67,0.0001
CAP-671,whale,0.37690393980351855,3.98,0.1667
CAP-671,chicken,0.2978812860408009,4.63,0.0001
CAP-671,cow,0.3664739452740988,4.14,0.2
CAP-671,horse,0.3901984305400874,4.76,0.0001
CAP-671,butterfly,0.11365216549856638,3.93,0.0001
CAP-671,bear,0.09027322660980042,4.71,0.1429
CAP-671,deer,0.20930850560928538,4.12,0.3333
CAP-671,tiger,0.32980423528238034,4.3,0.0001
CAP-671,stork,0.28524696262132376,2.88,0.125
CAQ-672,alligator,0.0001,3.32,0.0001
CAQ-672,jellyfish,0.492178918695942,3.25,0.0
CAQ-672,ostrich,0.4957624452974633,3.05,0.0001
CAQ-672,peacock,0.41485541725483466,3.44,0.0001
CAQ-672,bear,0.19888850623882226,4.71,0.0001
CAQ-672,tiger,0.0957374141999423,4.3,0.0001
CAQ-672,lion,0.40510146724069696,4.25,0.25
CAQ-672,gorilla,0.27576988472044206,3.62,0.0001
CAQ-672,monkey,0.3837193819820639,4.07,0.0001
CAQ-672,dog,0.29855763555824444,5.1,0.0001
CAQ-672,cat,0.4305070683486726,4.78,0.0001
CAQ-672,hyena,0.33493145143994263,2.8,0.0001
CAQ-672,snake,0.38342104756909,4.23,0.0001
CAQ-672,fish,0.28906589422748863,4.9,0.0001
CAQ-672,bird,0.24705522359213583,4.63,0.0001
CAQ-672,rabbit,0.3129275698777094,4.05,0.2
CAQ-672,dolphin,0.3484462944796456,3.67,0.1667
CAQ-672,squirrel,0.375559650752997,3.69,0.1667
CAQ-672,guinea,0.36907184952392147,4.06,0.0001
CAQ-672,mouse,0.24182341047530487,4.31,0.0001
CAQ-672,lizard,0.3074753323757905,3.63,0.0
CAQ-672,crocodile,0.4096593068923433,3.49,0.125
CAR-673,elephant,0.0001,4.08,0.0001
CAR-673,zebra,0.47020702482107724,3.4,0.1429
CAR-673,tiger,0.43184226530846526,4.3,0.0001
CAR-673,lion,0.40510146724069696,4.25,0.25
CAR-673,leopard,0.44717871571986045,3.59,0.0
CAR-673,dog,0.333207991399749,5.1,0.0001
CAR-673,cat,0.4305070683486726,4.78,0.0001
CAR-673,mouse,0.4237750315679252,4.31,0.0
CAR-673,rat,0.4571258685994932,4.17,0.0001
CAR-673,ostrich,0.27588064711015337,3.05,0.0
CAR-673,parakeet,0.4112601379083449,2.48,0.0001
CAR-673,fish,0.2629117263567884,4.9,0.0001
CAR-673,mouse,0.2953018110550705,4.31,0.1667
CAR-673,guinea,0.24182341047530487,4.06,0.0001
CAR-673,rodents,0.28386382418106204,3.32,0.0
CAR-673,zebra,0.6330941431088746,3.4,0.0
