Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.1875,2.8716012519150356,forage_dynamic,5.025785577688809,1.4594565512167974,3.250571530250906,0.5256572623544407,,
delta_rise=0.0_fall=0.0,9.1875,2.8716012519150356,forage_phonologicaldynamicglobal,5.071507880951294,1.4824406099406802,3.6134652053365897,0.8441265201705819,-0.06467945909818786,0.09271360511496357
delta_rise=0.0_fall=0.0,9.1875,2.8716012519150356,forage_phonologicaldynamiclocal,5.116492822985342,1.4964432179452383,4.011057342924564,1.2833712158732102,-0.26172960455700556,0.6445963914083338
delta_rise=0.0_fall=0.0,9.1875,2.8716012519150356,forage_phonologicaldynamicswitch,5.027182067836198,1.4576726021311646,3.2504769641307742,0.5254979762411912,-0.1647956605704509,0.6038899761540111
delta_rise=0.0_fall=0.2,8.578125,2.988544208201545,forage_dynamic,5.047060851641839,1.4750085607855685,3.2483631653109177,0.522577659859602,,
delta_rise=0.0_fall=0.2,8.578125,2.988544208201545,forage_phonologicaldynamicglobal,5.099014954667053,1.5015958980632222,3.6181162402528697,0.8369701952801255,-0.06719860754311378,0.09303329201852786
delta_rise=0.0_fall=0.2,8.578125,2.988544208201545,forage_phonologicaldynamiclocal,5.130592943745466,1.5060198157726352,3.897452993208032,1.140366488900465,-0.1420178199599201,0.3262660260592725
delta_rise=0.0_fall=0.2,8.578125,2.988544208201545,forage_phonologicaldynamicswitch,5.045850829379071,1.474030242560801,3.2483181585243894,0.5223861902597038,-0.24320782663372575,0.718787461231853
delta_rise=0.0_fall=0.5,7.546875,2.6512360766961134,forage_dynamic,5.09596551554233,1.4709774314755601,3.1849876908218078,0.5537908173095406,,
delta_rise=0.0_fall=0.5,7.546875,2.6512360766961134,forage_phonologicaldynamicglobal,5.156190263235685,1.4972461934094021,3.557970850900141,0.8860942673836208,-0.06879617685326456,0.09511948661980486
delta_rise=0.0_fall=0.5,7.546875,2.6512360766961134,forage_phonologicaldynamiclocal,5.178181801243236,1.505400203231664,3.744653132083552,1.1230767229780254,-0.13326715483144078,0.3559441194712393
delta_rise=0.0_fall=0.5,7.546875,2.6512360766961134,forage_phonologicaldynamicswitch,5.092324107011712,1.469352577215286,3.1849842371618737,0.5536551149041232,-0.2995034028769365,0.7730195475035005
delta_rise=0.0_fall=0.8,6.28125,2.41394872304695,forage_dynamic,5.15369450471336,1.4827085175434198,3.0859749535161103,0.594865679633256,,
delta_rise=0.0_fall=0.8,6.28125,2.41394872304695,forage_phonologicaldynamicglobal,5.222704826096245,1.5137263809880637,3.4513252763297606,0.9171195451310805,-0.06921581338020612,0.09589038855724467
delta_rise=0.0_fall=0.8,6.28125,2.41394872304695,forage_phonologicaldynamiclocal,5.235206459337459,1.515494227298767,3.560934240388863,1.0624709647211146,-0.11141172799663315,0.2786259113181839
delta_rise=0.0_fall=0.8,6.28125,2.41394872304695,forage_phonologicaldynamicswitch,5.152538670260476,1.4834360032930036,3.0858702997418987,0.5946281884881507,-0.385954500947107,0.8487113054868256
delta_rise=0.0_fall=1.0,5.390625,2.268102094125174,forage_dynamic,5.186915974767856,1.4806018945175279,3.0046689079409314,0.6053559659403187,,
delta_rise=0.0_fall=1.0,5.390625,2.268102094125174,forage_phonologicaldynamicglobal,5.258365590709203,1.5112186769895897,3.3584040402114,0.922537476355569,-0.06882859199722602,0.09452689415495391
delta_rise=0.0_fall=1.0,5.390625,2.268102094125174,forage_phonologicaldynamiclocal,5.2723249543573365,1.5143050611935014,3.4736611639583748,1.0830247462608884,-0.12931103640928754,0.41014901005263255
delta_rise=0.0_fall=1.0,5.390625,2.268102094125174,forage_phonologicaldynamicswitch,5.183005941484737,1.4787124989710936,3.004576991823916,0.6051302506537162,-0.41126758052194334,0.8880171143355363
delta_rise=0.2_fall=0.0,9.8125,3.1862742741327215,forage_dynamic,5.004843638747767,1.4596419277721246,3.371377330544288,0.5175345885972051,,
delta_rise=0.2_fall=0.0,9.8125,3.1862742741327215,forage_phonologicaldynamicglobal,5.047350786633258,1.4820858110646578,3.735422236614059,0.8182945046460757,-0.06448750919532993,0.09151933777668085
delta_rise=0.2_fall=0.0,9.8125,3.1862742741327215,forage_phonologicaldynamiclocal,5.096535700702827,1.4968496499865145,4.1821443188351,1.2911232316817933,-0.25028377731135476,0.5686747189599008
delta_rise=0.2_fall=0.0,9.8125,3.1862742741327215,forage_phonologicaldynamicswitch,5.004997627086423,1.4576700021976872,3.3712693642575218,0.5174920199497871,-0.15917820599234367,0.5941321876340955
delta_rise=0.2_fall=0.2,9.203125,3.289090335392903,forage_dynamic,5.023868312648082,1.4765847107416255,3.356486784248584,0.509367888058462,,
delta_rise=0.2_fall=0.2,9.203125,3.289090335392903,forage_phonologicaldynamicglobal,5.074069477246873,1.5032344272111047,3.7294504629501857,0.8023581314854848,-0.06739930563539809,0.09303404673391896
delta_rise=0.2_fall=0.2,9.203125,3.289090335392903,forage_phonologicaldynamiclocal,5.111047172897748,1.5090956561586166,4.0510843377363335,1.1403934300107113,-0.14880425257230015,0.3167571437081108
delta_rise=0.2_fall=0.2,9.203125,3.289090335392903,forage_phonologicaldynamicswitch,5.0221240275443675,1.4755775322468283,3.356391815008967,0.5092885756853877,-0.23260755774557543,0.6963116981678088
delta_rise=0.2_fall=0.5,8.125,2.981715110469141,forage_dynamic,5.076589386357123,1.4706803974399731,3.2828226007176498,0.5435667066685808,,
delta_rise=0.2_fall=0.5,8.125,2.981715110469141,forage_phonologicaldynamicglobal,5.134906400512565,1.4970055333760142,3.6583812231370456,0.8554368309775159,-0.06898603051184186,0.09496703216730648
delta_rise=0.2_fall=0.5,8.125,2.981715110469141,forage_phonologicaldynamiclocal,5.163777196997314,1.5068383109884769,3.8771526599343096,1.126750228622285,-0.1381611569533599,0.3432505381680423
delta_rise=0.2_fall=0.5,8.125,2.981715110469141,forage_phonologicaldynamicswitch,5.072658537339884,1.469130408105042,3.2827884810138537,0.5435111980930758,-0.2845577618897241,0.7405149067174126
delta_rise=0.2_fall=0.8,6.78125,2.712636805305863,forage_dynamic,5.137774095825308,1.4840545501641529,3.1748639153594573,0.5675855007279221,,
delta_rise=0.2_fall=0.8,6.78125,2.712636805305863,forage_phonologicaldynamicglobal,5.205422996963618,1.5152980303720023,3.5440965751395073,0.8829455130627712,-0.06984716383898346,0.09560584511394644
delta_rise=0.2_fall=0.8,6.78125,2.712636805305863,forage_phonologicaldynamiclocal,5.222341617833841,1.5163683128728167,3.6742821876119787,1.0359974791120568,-0.12083779742584749,0.30706978746398544
delta_rise=0.2_fall=0.8,6.78125,2.712636805305863,forage_phonologicaldynamicswitch,5.136970827611318,1.4850399081110741,3.1747797218759413,0.5674017538380394,-0.37822851969999904,0.8360689671248674
delta_rise=0.2_fall=1.0,5.8125,2.5973243443975185,forage_dynamic,5.168860214083632,1.4808618769519772,3.077882206569666,0.567584890971199,,
delta_rise=0.2_fall=1.0,5.8125,2.5973243443975185,forage_phonologicaldynamicglobal,5.239690017520347,1.5118213373517813,3.432573205911836,0.8716707665399077,-0.06943729804071169,0.0937700727959295
delta_rise=0.2_fall=1.0,5.8125,2.5973243443975185,forage_phonologicaldynamiclocal,5.257822616765524,1.513552712482864,3.565803403907991,1.0480937485211508,-0.11846765991867522,0.29475669096697005
delta_rise=0.2_fall=1.0,5.8125,2.5973243443975185,forage_phonologicaldynamicswitch,5.167436866951612,1.4786203045101254,3.0777188604318426,0.5673690658745504,-0.42553184988610704,0.9201810145968903
delta_rise=0.5_fall=0.0,10.765625,3.5957535176058717,forage_dynamic,4.9802204555960214,1.4671839355815413,3.5282244181844806,0.6010422484479376,,
delta_rise=0.5_fall=0.0,10.765625,3.5957535176058717,forage_phonologicaldynamicglobal,5.017020367712559,1.4884769762257495,3.902144794928704,0.8852043035750008,-0.0632766404734886,0.09002417070338527
delta_rise=0.5_fall=0.0,10.765625,3.5957535176058717,forage_phonologicaldynamiclocal,5.085244193650398,1.4997569578465293,4.794996333323913,2.5082307247307982,-0.3509860380452588,0.7599655446204058
delta_rise=0.5_fall=0.0,10.765625,3.5957535176058717,forage_phonologicaldynamicswitch,4.979832742981598,1.4659826592791336,3.528168743185031,0.6010358970852518,-0.09614988820866519,0.4616657984485728
delta_rise=0.5_fall=0.2,10.140625,3.7243589528098657,forage_dynamic,4.999347664043707,1.4844858169802497,3.516530075565945,0.5963742180619566,,
delta_rise=0.5_fall=0.2,10.140625,3.7243589528098657,forage_phonologicaldynamicglobal,5.043661322737786,1.5099518383923507,3.9077877108379315,0.8905874697619122,-0.06721963961783367,0.09291547245376701
delta_rise=0.5_fall=0.2,10.140625,3.7243589528098657,forage_phonologicaldynamiclocal,5.095511961192429,1.5132323368905265,4.460439459496365,1.6041646787737383,-0.20594851050101645,0.45595899286511016
delta_rise=0.5_fall=0.2,10.140625,3.7243589528098657,forage_phonologicaldynamicswitch,4.998317079077972,1.4845880672200595,3.516476370810787,0.5963723909255388,-0.09481732593107287,0.4057390452500291
delta_rise=0.5_fall=0.5,9.046875,3.3654015710424514,forage_dynamic,5.055572648846227,1.4796814704131167,3.4520051670251464,0.6235837075915373,,
delta_rise=0.5_fall=0.5,9.046875,3.3654015710424514,forage_phonologicaldynamicglobal,5.106814724439474,1.505174877404102,3.8474878717681444,0.9308505407627431,-0.06917044971201576,0.09449506636188267
delta_rise=0.5_fall=0.5,9.046875,3.3654015710424514,forage_phonologicaldynamiclocal,5.147685287296228,1.512845170395937,4.216943820379396,1.3984372378781893,-0.15608413484142467,0.33855040843242046
delta_rise=0.5_fall=0.5,9.046875,3.3654015710424514,forage_phonologicaldynamicswitch,5.0530312554239805,1.4785022264838914,3.4519692518273675,0.6235591503159574,-0.16994841141631561,0.591692546102912
delta_rise=0.5_fall=0.8,7.625,2.918154382482188,forage_dynamic,5.120519089468554,1.4930551786947375,3.339133134837246,0.6186914908282476,,
delta_rise=0.5_fall=0.8,7.625,2.918154382482188,forage_phonologicaldynamicglobal,5.182991095131098,1.5235845693830696,3.727591833731435,0.9230877437682268,-0.07040884250212073,0.09587538648170145
delta_rise=0.5_fall=0.8,7.625,2.918154382482188,forage_phonologicaldynamiclocal,5.210030293058363,1.5243981647112255,3.9406611883828577,1.2113738750456402,-0.13201566751545218,0.3088558926451518
delta_rise=0.5_fall=0.8,7.625,2.918154382482188,forage_phonologicaldynamicswitch,5.120542406080614,1.494064761394145,3.3390567455205296,0.6186550177908867,-0.19572902734370407,0.6220093825734728
delta_rise=0.5_fall=1.0,6.53125,2.738434486618221,forage_dynamic,5.152497458271904,1.4900186815870948,3.2254392674782433,0.6044703554027995,,
delta_rise=0.5_fall=1.0,6.53125,2.738434486618221,forage_phonologicaldynamicglobal,5.219909636331435,1.5203879696890623,3.6002145900365403,0.8991227791503514,-0.07036457974168517,0.09377136722801216
delta_rise=0.5_fall=1.0,6.53125,2.738434486618221,forage_phonologicaldynamiclocal,5.245597135181221,1.5211808218158525,3.8009677193508167,1.195813197871866,-0.130224407897306,0.3123665756730779
delta_rise=0.5_fall=1.0,6.53125,2.738434486618221,forage_phonologicaldynamicswitch,5.152780095473738,1.4888253678079972,3.2253058429395507,0.6044462655563835,-0.20968241858545422,0.6308293286937872
delta_rise=0.8_fall=0.0,12.125,3.8140365755980894,forage_dynamic,4.91358659667416,1.4574098789390246,3.710346475272464,0.5659411149734663,,
delta_rise=0.8_fall=0.0,12.125,3.8140365755980894,forage_phonologicaldynamicglobal,4.944741300897752,1.4794055825583543,4.077914421983977,0.8164768672615681,-0.059529149239567716,0.08858136518691782
delta_rise=0.8_fall=0.0,12.125,3.8140365755980894,forage_phonologicaldynamiclocal,5.012164945923377,1.4871310023540394,5.345415786127447,2.893342959014533,-0.4324596023431655,0.8294064315367743
delta_rise=0.8_fall=0.0,12.125,3.8140365755980894,forage_phonologicaldynamicswitch,4.913822933635166,1.4583851854195364,3.7103429335581173,0.5659508100728017,-0.017312160102160013,0.08312740414153566
delta_rise=0.8_fall=0.2,11.546875,3.900840003688308,forage_dynamic,4.927482482207444,1.4731387308349209,3.699012738718106,0.5676443721489658,,
delta_rise=0.8_fall=0.2,11.546875,3.900840003688308,forage_phonologicaldynamicglobal,4.964825935974411,1.4989779156184253,4.081132518805514,0.8270536845235589,-0.06314492083269167,0.0912346387874534
delta_rise=0.8_fall=0.2,11.546875,3.900840003688308,forage_phonologicaldynamiclocal,5.025100828884257,1.5022566051983917,4.892264411744057,1.8202016173876279,-0.31707490757805795,0.6560286082622387
delta_rise=0.8_fall=0.2,11.546875,3.900840003688308,forage_phonologicaldynamicswitch,4.92636366274476,1.4747199014083379,3.6991504842769447,0.5676383099106384,-0.02587426697967809,0.0902711603211048
delta_rise=0.8_fall=0.5,10.515625,3.7038501399725936,forage_dynamic,4.982626792716419,1.466705964463912,3.6386032312205554,0.5979058617227593,,
delta_rise=0.8_fall=0.5,10.515625,3.7038501399725936,forage_phonologicaldynamicglobal,5.028076629583382,1.4929035715136694,4.0248366103316275,0.8716989780638142,-0.06547355081441063,0.0934629077287181
delta_rise=0.8_fall=0.5,10.515625,3.7038501399725936,forage_phonologicaldynamiclocal,5.074495099079493,1.5011874673941272,4.524368004576848,1.475844502429414,-0.18619897952493206,0.4043357938471949
delta_rise=0.8_fall=0.5,10.515625,3.7038501399725936,forage_phonologicaldynamicswitch,4.978747972812658,1.4660515760057085,3.6387461802874124,0.5979182088268077,-0.12321622785777454,0.4779696388767781
delta_rise=0.8_fall=0.8,9.171875,3.689320260478209,forage_dynamic,5.047820454116971,1.473985463446489,3.525072077795231,0.607663519078663,,
delta_rise=0.8_fall=0.8,9.171875,3.689320260478209,forage_phonologicaldynamicglobal,5.105500316987751,1.5064358506715885,3.916053298007329,0.8917255875057924,-0.06815966953716342,0.09632627318911002
delta_rise=0.8_fall=0.8,9.171875,3.689320260478209,forage_phonologicaldynamiclocal,5.139282463083371,1.509372194153338,4.277121201416906,1.2597238688830301,-0.1861330606542111,0.47409714382645035
delta_rise=0.8_fall=0.8,9.171875,3.689320260478209,forage_phonologicaldynamicswitch,5.046012676678613,1.4760208391410348,3.525215464142444,0.6077390608270776,-0.1606027928227254,0.5726721051994282
delta_rise=0.8_fall=1.0,7.984375,3.3934320177918695,forage_dynamic,5.085166226254653,1.473372785052315,3.4087281553300413,0.5934154578280241,,
delta_rise=0.8_fall=1.0,7.984375,3.3934320177918695,forage_phonologicaldynamicglobal,5.147485232148314,1.5054491816862035,3.7872619996141053,0.8578004450068255,-0.06856400068580387,0.09368580170907467
delta_rise=0.8_fall=1.0,7.984375,3.3934320177918695,forage_phonologicaldynamiclocal,5.180823664686535,1.5089665710457032,4.1127162545372284,1.2529335182989232,-0.17218164865856023,0.43495359431343344
delta_rise=0.8_fall=1.0,7.984375,3.3934320177918695,forage_phonologicaldynamicswitch,5.083414370320502,1.4738444581047192,3.4088115272010113,0.5934960632228773,-0.1430323979365783,0.5123849891953195
delta_rise=1.0_fall=0.0,12.765625,4.171114162831677,forage_dynamic,4.882788600954479,1.4558821739726653,3.7864117166408597,0.5427825893123527,,
delta_rise=1.0_fall=0.0,12.765625,4.171114162831677,forage_phonologicaldynamicglobal,4.9118140716806264,1.4799519461639807,4.1531028612202965,0.812541807152665,-0.05798309971347703,0.08995683921467484
delta_rise=1.0_fall=0.0,12.765625,4.171114162831677,forage_phonologicaldynamiclocal,5.000807125056359,1.5004746934179658,5.964669769169916,3.9234265845386327,-0.5646273407487198,0.9918325188274496
delta_rise=1.0_fall=0.0,12.765625,4.171114162831677,forage_phonologicaldynamicswitch,4.88322990160844,1.4574336979475855,3.7864349069330907,0.5428281115337961,-0.016222822583938947,0.08240003561040163
delta_rise=1.0_fall=0.2,12.234375,4.245373170803127,forage_dynamic,4.892728753705912,1.4702027827449395,3.782018861195576,0.5408304551645401,,
delta_rise=1.0_fall=0.2,12.234375,4.245373170803127,forage_phonologicaldynamicglobal,4.926507197812914,1.496293563523171,4.170268593130347,0.8245687328353534,-0.06186986810599654,0.0936840890626706
delta_rise=1.0_fall=0.2,12.234375,4.245373170803127,forage_phonologicaldynamiclocal,5.010785933113513,1.5142291201508324,5.5250408505414255,3.3015670677728086,-0.4480223210464819,0.872390539541864
delta_rise=1.0_fall=0.2,12.234375,4.245373170803127,forage_phonologicaldynamicswitch,4.891367952961341,1.4714869779916362,3.782170611079645,0.5408814408001507,-0.022975971555593378,0.08529564090067435
delta_rise=1.0_fall=0.5,11.359375,4.040293876610339,forage_dynamic,4.935209998694991,1.4600254680076215,3.738550101617229,0.5397068503045193,,
delta_rise=1.0_fall=0.5,11.359375,4.040293876610339,forage_phonologicaldynamicglobal,4.974959043945621,1.4860079036615197,4.133093951607034,0.8391597691701758,-0.06413143626852305,0.09549653934806498
delta_rise=1.0_fall=0.5,11.359375,4.040293876610339,forage_phonologicaldynamiclocal,5.053493702197033,1.5083593927777788,5.235767247011802,3.153168174544717,-0.3388733030204362,0.7404587077364062
delta_rise=1.0_fall=0.5,11.359375,4.040293876610339,forage_phonologicaldynamicswitch,4.931469957811966,1.459638687054135,3.738726073504302,0.5397621947211855,-0.11131254031581833,0.45261220867823254
delta_rise=1.0_fall=0.8,10.015625,4.048503533328704,forage_dynamic,5.005312004795353,1.46873675515901,3.60427566250501,0.5594274598476627,,
delta_rise=1.0_fall=0.8,10.015625,4.048503533328704,forage_phonologicaldynamicglobal,5.057156623200708,1.5013809274297283,4.002714392051352,0.8787023188063802,-0.06657779802836526,0.09833441164300644
delta_rise=1.0_fall=0.8,10.015625,4.048503533328704,forage_phonologicaldynamiclocal,5.122189760355231,1.5187141768201464,4.762027086924336,1.9007324312166054,-0.27619457496156385,0.5953988447074763
delta_rise=1.0_fall=0.8,10.015625,4.048503533328704,forage_phonologicaldynamicswitch,5.003406819482182,1.4707711682562892,3.6044711488334658,0.5596422563599195,-0.15499646174251824,0.58602759820933
delta_rise=1.0_fall=1.0,8.734375,3.6325016668096657,forage_dynamic,5.049066772138753,1.4743525699289666,3.4852909633735205,0.5697553268227842,,
delta_rise=1.0_fall=1.0,8.734375,3.6325016668096657,forage_phonologicaldynamicglobal,5.107938437618461,1.5078195392342746,3.8778009218746425,0.8686531278480598,-0.06826917944891417,0.0961472163034145
delta_rise=1.0_fall=1.0,8.734375,3.6325016668096657,forage_phonologicaldynamiclocal,5.168255550937511,1.5201345451438628,4.40153046479342,1.5766053905572628,-0.22966027921837023,0.5404398431158138
delta_rise=1.0_fall=1.0,8.734375,3.6325016668096657,forage_phonologicaldynamicswitch,5.047225914288355,1.47483393926347,3.485362483121022,0.5699650582936434,-0.1454213647846344,0.5568099456511244
multimodal_alpha=0.0,1.0,0.8477912478906585,forage_dynamic,5.243216972857241,1.4738192539206216,2.0509330563832466,0.6933881713380127,,
multimodal_alpha=0.0,1.0,0.8477912478906585,forage_phonologicaldynamicglobal,5.304158571925568,1.5052034208099494,2.2482796063838757,0.9210840398976573,-0.048003390281290734,0.08781269284007343
multimodal_alpha=0.0,1.0,0.8477912478906585,forage_phonologicaldynamiclocal,5.296224840784298,1.5036520530568218,2.2281199907973965,0.9173783191297764,-0.041226059843627254,0.09285920947747113
multimodal_alpha=0.0,1.0,0.8477912478906585,forage_phonologicaldynamicswitch,5.24495576898735,1.4721695996265547,2.0509425027991757,0.6934085554813356,-0.743088203313029,1.2624506445181833
multimodal_alpha=0.1,5.40625,1.917996594757144,forage_dynamic,5.165131422913125,1.4603182745119865,2.5438563288812066,0.7032700576587625,,
multimodal_alpha=0.1,5.40625,1.917996594757144,forage_phonologicaldynamicglobal,5.216185966432475,1.4862034481704243,2.817786424993151,1.0071283755787952,-0.05456623762196142,0.0915178834102886
multimodal_alpha=0.1,5.40625,1.917996594757144,forage_phonologicaldynamiclocal,5.173138092643513,1.4747246914240555,2.6225560996564186,0.9649156799002504,-0.0008769081707552463,0.10029663143470703
multimodal_alpha=0.1,5.40625,1.917996594757144,forage_phonologicaldynamicswitch,5.162897626450159,1.4701066568165588,2.544206206051342,0.703348012991265,-1.5258201504326327,1.048595888431558
multimodal_alpha=0.2,5.390625,1.9171690351596544,forage_dynamic,5.168352991963032,1.4590496277193787,2.5615013709032075,0.6874884488466751,,
multimodal_alpha=0.2,5.390625,1.9171690351596544,forage_phonologicaldynamicglobal,5.219576170428332,1.4845898636183534,2.835955823460241,0.9932580419994239,-0.0547661297588948,0.0915065171821248
multimodal_alpha=0.2,5.390625,1.9171690351596544,forage_phonologicaldynamiclocal,5.176322326513603,1.4736745671646365,2.641864789254163,0.9553920017309924,-0.0012841157494965457,0.09987895110402417
multimodal_alpha=0.2,5.390625,1.9171690351596544,forage_phonologicaldynamicswitch,5.166168409568034,1.469341283783357,2.561802560840794,0.6876344525971037,-1.5400819923698397,1.0315595360468095
multimodal_alpha=0.3,5.40625,1.9261258882793721,forage_dynamic,5.170504592115816,1.4575841240104355,2.5848645145473315,0.6465822134079872,,
multimodal_alpha=0.3,5.40625,1.9261258882793721,forage_phonologicaldynamicglobal,5.221638440327399,1.4831814514226296,2.8568689236674296,0.9569508568358145,-0.054938481585532495,0.09118353397362987
multimodal_alpha=0.3,5.40625,1.9261258882793721,forage_phonologicaldynamiclocal,5.17828311575894,1.4723064381486581,2.6595353412676044,0.9207209011787066,-0.0015515997477883589,0.09886937851291794
multimodal_alpha=0.3,5.40625,1.9261258882793721,forage_phonologicaldynamicswitch,5.168963281252947,1.4676359510743378,2.585216878142788,0.6465951687931663,-1.6043493920605185,1.0701779269264686
multimodal_alpha=0.4,5.328125,1.936932880709861,forage_dynamic,5.176833309669284,1.4639998262975933,2.6340858469961472,0.6255459479916052,,
multimodal_alpha=0.4,5.328125,1.936932880709861,forage_phonologicaldynamicglobal,5.228301794228549,1.4891026718702205,2.909026381441417,0.9269497688094503,-0.05626425053212118,0.09012744382957345
multimodal_alpha=0.4,5.328125,1.936932880709861,forage_phonologicaldynamiclocal,5.188386488463106,1.4763162333818782,2.7220642200429466,0.8905942629301354,-0.0073082784796128855,0.09495384775515217
multimodal_alpha=0.4,5.328125,1.936932880709861,forage_phonologicaldynamicswitch,5.174304877648274,1.4738501430812874,2.6344804110750992,0.6254383385859784,-1.439026671365681,1.0700676641492972
multimodal_alpha=0.5,5.421875,2.0062767716282317,forage_dynamic,5.177052340134641,1.4667141728600008,2.6935870037827065,0.6017105280099205,,
multimodal_alpha=0.5,5.421875,2.0062767716282317,forage_phonologicaldynamicglobal,5.229867924211805,1.49276119712465,2.975937210467026,0.892177055337949,-0.057770195135190744,0.08936298114377525
multimodal_alpha=0.5,5.421875,2.0062767716282317,forage_phonologicaldynamiclocal,5.196969068377029,1.4823377004613516,2.819753274965033,0.8491564795555503,-0.018815586524405025,0.09200152339929572
multimodal_alpha=0.5,5.421875,2.0062767716282317,forage_phonologicaldynamicswitch,5.173466591752835,1.4724118173787726,2.693835701925179,0.6019514227506302,-1.3275867743868752,1.1611641672568913
multimodal_alpha=0.6,5.328125,1.952999995999744,forage_dynamic,5.175735221406024,1.4623784810406664,2.7740766212961936,0.6016196679456296,,
multimodal_alpha=0.6,5.328125,1.952999995999744,forage_phonologicaldynamicglobal,5.231856279399297,1.4889009664774548,3.0799571863150095,0.905869366009307,-0.06106574123047705,0.09018077427429315
multimodal_alpha=0.6,5.328125,1.952999995999744,forage_phonologicaldynamiclocal,5.214259516795682,1.488001121850699,3.0068873438761456,0.9329200737158565,-0.0755230424464735,0.3416908882575927
multimodal_alpha=0.6,5.328125,1.952999995999744,forage_phonologicaldynamicswitch,5.1729830184741985,1.4664525521573883,2.774263746389963,0.6017190535145662,-0.8689889005824786,1.0842371073878871
multimodal_alpha=0.7,5.3125,1.9990231989649345,forage_dynamic,5.1734413842494895,1.4635299419518124,2.7914379575258943,0.6087606043545801,,
multimodal_alpha=0.7,5.3125,1.9990231989649345,forage_phonologicaldynamicglobal,5.23041537350032,1.4903215013388498,3.102298506592431,0.9124041853385696,-0.061890225142627375,0.0901200383317971
multimodal_alpha=0.7,5.3125,1.9990231989649345,forage_phonologicaldynamiclocal,5.216208992356845,1.488402267551254,3.0495842336849375,0.9467323685549152,-0.078174852915907,0.317906011356964
multimodal_alpha=0.7,5.3125,1.9990231989649345,forage_phonologicaldynamicswitch,5.1722060069390094,1.4677200557633123,2.791558721498734,0.6088631054350999,-0.824339434992582,1.1446764399764007
multimodal_alpha=0.8,5.34375,2.0707694071286644,forage_dynamic,5.171636374700712,1.4663227583623673,2.852167605487813,0.5695215112497563,,
multimodal_alpha=0.8,5.34375,2.0707694071286644,forage_phonologicaldynamicglobal,5.231293688288478,1.496217329668838,3.173333865440209,0.8779055655071435,-0.06395562277294727,0.09001434441671799
multimodal_alpha=0.8,5.34375,2.0707694071286644,forage_phonologicaldynamiclocal,5.228486688614981,1.4964158990453464,3.1760591045078646,0.9171406297407672,-0.09634593758021003,0.32961253114739536
multimodal_alpha=0.8,5.34375,2.0707694071286644,forage_phonologicaldynamicswitch,5.168935284220783,1.4668049348368604,2.8520457215855486,0.5700513316787382,-0.49803447721216754,0.9304776673923574
multimodal_alpha=0.9,5.375,2.072890493972125,forage_dynamic,5.1740981080007,1.4650451691390463,2.8707628874409052,0.564343364747422,,
multimodal_alpha=0.9,5.375,2.072890493972125,forage_phonologicaldynamicglobal,5.234748623295643,1.4953286527555048,3.195068920319124,0.8737186408984016,-0.06441283430297001,0.0902856614833171
multimodal_alpha=0.9,5.375,2.072890493972125,forage_phonologicaldynamiclocal,5.238942960862664,1.495989556847219,3.243703454356693,0.916045415850248,-0.10722455727190214,0.3225896426582507
multimodal_alpha=0.9,5.375,2.072890493972125,forage_phonologicaldynamicswitch,5.17315982173922,1.4652702901879642,2.8705989555178784,0.5648386531577998,-0.400461561288163,0.9090473606528714
multimodal_alpha=1.0,5.4375,2.098176291449315,forage_dynamic,5.170580151295991,1.4682571226097505,2.8565450324413244,0.5803633395024307,,
multimodal_alpha=1.0,5.4375,2.098176291449315,forage_phonologicaldynamicglobal,5.230018209627915,1.4972143891379057,3.177741838679865,0.874764089289116,-0.06391265134700237,0.0894747969285065
multimodal_alpha=1.0,5.4375,2.098176291449315,forage_phonologicaldynamiclocal,5.247284155505117,1.5029781042602688,3.292467845834909,1.008315286898486,-0.1178064764586758,0.31447723103883857
multimodal_alpha=1.0,5.4375,2.098176291449315,forage_phonologicaldynamicswitch,5.1702226986291135,1.4678436718096177,2.8563875411747954,0.5807410349724638,-0.2746960134634375,0.8018438002581374
