Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.484375,2.883098309002834,forage_dynamic,4.887582739456753,1.450481224121247,6.016732246156901,1.4999922325674349,,
delta_rise=0.0_fall=0.0,9.484375,2.883098309002834,forage_phonologicaldynamicglobal,0.6977978860746323,1.021290279945052,0.7667971414458579,1.105170397042033,0.4469963919245686,0.3010685156501763
delta_rise=0.0_fall=0.0,9.484375,2.883098309002834,forage_phonologicaldynamiclocal,1.7849153961884023,2.1382794126110567,2.059187085040091,3.023637601459112,0.2707268418794946,0.5701650278603679
delta_rise=0.0_fall=0.0,9.484375,2.883098309002834,forage_phonologicaldynamicswitch,1.6403162205604693,2.122452218892264,1.7169835159250206,2.316706910899995,0.36272394471397945,0.4988046959891656
delta_rise=0.0_fall=0.2,8.734375,2.7739986228141857,forage_dynamic,4.898043444816603,1.4552627515894996,5.927570955154085,1.5600477008664244,,
delta_rise=0.0_fall=0.2,8.734375,2.7739986228141857,forage_phonologicaldynamicglobal,0.7099718905867675,1.0255581819240749,0.7701160877946349,1.089101153041807,0.46215577242639594,0.31504774898070587
delta_rise=0.0_fall=0.2,8.734375,2.7739986228141857,forage_phonologicaldynamiclocal,1.5363699591049946,2.01278463147259,1.858771874450454,2.6591375565283473,0.29327514496996177,0.45646592204571806
delta_rise=0.0_fall=0.2,8.734375,2.7739986228141857,forage_phonologicaldynamicswitch,1.7022129302420899,2.1262722830599463,1.7848330163384345,2.3797964752049836,0.3642605011875879,0.4649262849253959
delta_rise=0.0_fall=0.5,7.5625,2.4677608777999542,forage_dynamic,4.901217034383789,1.4702445747714148,5.883984252808964,1.5388194923089964,,
delta_rise=0.0_fall=0.5,7.5625,2.4677608777999542,forage_phonologicaldynamicglobal,0.749597020828533,1.0234413021538264,0.8246598384919108,1.1549013150165077,0.48656396643229866,0.30240278042751667
delta_rise=0.0_fall=0.5,7.5625,2.4677608777999542,forage_phonologicaldynamiclocal,1.494676329639344,1.8913774093333797,1.765876433272187,2.579854128585649,0.393746932533327,0.34243482147760335
delta_rise=0.0_fall=0.5,7.5625,2.4677608777999542,forage_phonologicaldynamicswitch,2.0152406847680817,2.3077809992590885,2.243554136024351,2.5397153706954603,0.2908846439516818,0.4807890416094399
delta_rise=0.0_fall=0.8,6.125,2.1542109924517607,forage_dynamic,4.936873567700929,1.4703467977212763,5.599392654916604,1.4656885879797668,,
delta_rise=0.0_fall=0.8,6.125,2.1542109924517607,forage_phonologicaldynamicglobal,0.760207619802716,1.0296056232118298,0.7758931702145542,1.0353087193268244,0.4800313943236445,0.326860010348606
delta_rise=0.0_fall=0.8,6.125,2.1542109924517607,forage_phonologicaldynamiclocal,1.3027673037936354,1.6702609783649038,1.5296985692294083,2.2737440102353474,0.4026639102333215,0.340769754738849
delta_rise=0.0_fall=0.8,6.125,2.1542109924517607,forage_phonologicaldynamicswitch,2.260554828009749,2.3548314435027162,2.403203010133462,2.5253917197605915,0.2898686180352232,0.4861882385606912
delta_rise=0.0_fall=1.0,5.1875,2.1350863565673404,forage_dynamic,4.958278143931479,1.4686159768854228,5.374322491044588,1.5267214377967266,,
delta_rise=0.0_fall=1.0,5.1875,2.1350863565673404,forage_phonologicaldynamicglobal,0.7042828519401547,1.0040838908593042,0.7323909039763237,1.0137935456376244,0.43281621786886837,0.31106047601943987
delta_rise=0.0_fall=1.0,5.1875,2.1350863565673404,forage_phonologicaldynamiclocal,1.1398848340840189,1.5680377581441585,1.3323621471075278,2.257761478648605,0.3717953469960153,0.30727892472167895
delta_rise=0.0_fall=1.0,5.1875,2.1350863565673404,forage_phonologicaldynamicswitch,2.4321664935530114,2.4134157056827314,2.571986853959165,2.4634152883296183,0.2124530432015986,0.5286046198434337
delta_rise=0.2_fall=0.0,10.140625,3.268539369408758,forage_dynamic,4.875823485297478,1.4400697369184574,6.195170149566395,1.5225409269961536,,
delta_rise=0.2_fall=0.0,10.140625,3.268539369408758,forage_phonologicaldynamicglobal,0.720322248526074,0.982795629551415,0.7694822578153048,1.0610343302437675,0.5340600199162852,0.3103841447865356
delta_rise=0.2_fall=0.0,10.140625,3.268539369408758,forage_phonologicaldynamiclocal,1.7264752737163525,2.124176192522055,2.0591907414331088,3.0696632141019107,0.21781427137432213,0.5040778668159948
delta_rise=0.2_fall=0.0,10.140625,3.268539369408758,forage_phonologicaldynamicswitch,1.5116305108744392,2.0988331829534776,1.6976314205144198,2.3018327523164146,0.404139734622793,0.5266045006376007
delta_rise=0.2_fall=0.2,9.4375,3.196066918886399,forage_dynamic,4.886887796595638,1.4450952204262555,6.092828665646996,1.5983170017724884,,
delta_rise=0.2_fall=0.2,9.4375,3.196066918886399,forage_phonologicaldynamicglobal,0.7682764108126476,0.9800675814431237,0.6804690144610968,1.0956488660560209,0.47031469501081075,0.31244935736259394
delta_rise=0.2_fall=0.2,9.4375,3.196066918886399,forage_phonologicaldynamiclocal,1.585666102210463,2.0208687674619914,1.9604095343880446,2.7005717679720784,0.30328855812795713,0.46102561770184763
delta_rise=0.2_fall=0.2,9.4375,3.196066918886399,forage_phonologicaldynamicswitch,1.7016331056958742,2.187019213634443,1.8681083584451332,2.41482905854339,0.31598036531303275,0.474895661619865
delta_rise=0.2_fall=0.5,8.203125,2.699419425427438,forage_dynamic,4.888966392038404,1.4612394638387975,6.0535994785278175,1.5755069752549422,,
delta_rise=0.2_fall=0.5,8.203125,2.699419425427438,forage_phonologicaldynamicglobal,0.7269659784942476,1.0704015457949045,0.805504067138574,1.1648378261160464,0.4939074792875517,0.3099846600917684
delta_rise=0.2_fall=0.5,8.203125,2.699419425427438,forage_phonologicaldynamiclocal,1.4732720123760144,1.870082129872204,1.7600820022451742,2.6646155321199387,0.2713971890559763,0.2994386920532241
delta_rise=0.2_fall=0.5,8.203125,2.699419425427438,forage_phonologicaldynamicswitch,2.0381375680501748,2.3044381694511853,2.2004493154996654,2.643601605797917,0.25248976081695035,0.4337347909037746
delta_rise=0.2_fall=0.8,6.65625,2.41232998105566,forage_dynamic,4.9297160748172955,1.4605476887819264,5.739874000748144,1.505770923955079,,
delta_rise=0.2_fall=0.8,6.65625,2.41232998105566,forage_phonologicaldynamicglobal,0.7311928612522796,1.0200172825149345,0.7547572178991436,1.0888926873368754,0.47432188893303884,0.3074739919874454
delta_rise=0.2_fall=0.8,6.65625,2.41232998105566,forage_phonologicaldynamiclocal,1.3800670169701712,1.730856390409203,1.600626094471598,2.3384015433228704,0.4296972148555671,0.34111040726448966
delta_rise=0.2_fall=0.8,6.65625,2.41232998105566,forage_phonologicaldynamicswitch,2.1630628907716263,2.334448794023357,2.348916486223211,2.6116118343002888,0.2672269336447898,0.4430370541775888
delta_rise=0.2_fall=1.0,5.65625,2.4187984491271695,forage_dynamic,4.95140341518214,1.4673731480492147,5.496217986884818,1.551400216135453,,
delta_rise=0.2_fall=1.0,5.65625,2.4187984491271695,forage_phonologicaldynamicglobal,0.7339086510117042,1.0323528588340913,0.7424902418097479,0.996594024665131,0.4880996929632806,0.3371517549447101
delta_rise=0.2_fall=1.0,5.65625,2.4187984491271695,forage_phonologicaldynamiclocal,1.1140920575394355,1.580788955425326,1.3168370043266777,2.2300334419491468,0.37530234803703527,0.32573542522951116
delta_rise=0.2_fall=1.0,5.65625,2.4187984491271695,forage_phonologicaldynamicswitch,2.4536176111427994,2.4037063224748123,2.6496209405954447,2.4881744985893457,0.19512391821751857,0.4956281414114438
delta_rise=0.5_fall=0.0,11.5,3.5487673916445974,forage_dynamic,4.819981475904966,1.416678131781079,6.6722976061872235,1.6236813130570922,,
delta_rise=0.5_fall=0.0,11.5,3.5487673916445974,forage_phonologicaldynamicglobal,0.8176233526009546,1.000124660561362,0.7843977894814353,1.1000618800629447,0.4437667583809871,0.32038913330726587
delta_rise=0.5_fall=0.0,11.5,3.5487673916445974,forage_phonologicaldynamiclocal,2.373529755984277,2.3864926048243102,3.324033021603428,4.032449771701233,0.08663275887382707,0.7338513473995425
delta_rise=0.5_fall=0.0,11.5,3.5487673916445974,forage_phonologicaldynamicswitch,1.1443687499282889,1.7205069564681272,1.4088480394292622,2.2703750404232763,0.33340733298453146,0.4620973733331651
delta_rise=0.5_fall=0.2,10.90625,3.529866985808389,forage_dynamic,4.8294434477620305,1.4186423002022268,6.5542190424286435,1.6844258300936104,,
delta_rise=0.5_fall=0.2,10.90625,3.529866985808389,forage_phonologicaldynamicglobal,0.7189890234389386,1.0068320156522634,0.771709568692323,1.08408179286314,0.466098718228603,0.2912169145203436
delta_rise=0.5_fall=0.2,10.90625,3.529866985808389,forage_phonologicaldynamiclocal,2.1341158192678886,2.262291529413298,3.009966970247354,3.819494111851266,0.15056792065145527,0.6610961487669998
delta_rise=0.5_fall=0.2,10.90625,3.529866985808389,forage_phonologicaldynamicswitch,1.3229277830206867,1.8651050427147833,1.600283746725289,2.4577792405972407,0.32637840104017873,0.4643451499836734
delta_rise=0.5_fall=0.5,9.625,3.347106959748971,forage_dynamic,4.832999624193836,1.4358173330471902,6.503120565100399,1.6200457563494592,,
delta_rise=0.5_fall=0.5,9.625,3.347106959748971,forage_phonologicaldynamicglobal,0.7170817675113021,1.0067159510957167,0.7075020400085992,1.129711040779119,0.49837090606169065,0.2799671059768036
delta_rise=0.5_fall=0.5,9.625,3.347106959748971,forage_phonologicaldynamiclocal,1.9311621522977547,2.239663982585996,2.6868753002618266,3.776314813584735,0.22017351244543745,0.5694673543813513
delta_rise=0.5_fall=0.5,9.625,3.347106959748971,forage_phonologicaldynamicswitch,1.5123841481272817,2.041720662965687,1.9094429001660265,2.602623674817145,0.3396594235250181,0.5006030045921939
delta_rise=0.5_fall=0.8,7.875,2.9764702249476644,forage_dynamic,4.8808056713752555,1.4447325876622321,6.130372411617658,1.504649323613101,,
delta_rise=0.5_fall=0.8,7.875,2.9764702249476644,forage_phonologicaldynamicglobal,0.7381058072919846,1.0244147329238982,0.7460934642535085,1.0594870314358769,0.4229846210318456,0.3308392195137636
delta_rise=0.5_fall=0.8,7.875,2.9764702249476644,forage_phonologicaldynamiclocal,1.64758933792591,2.07854954732223,2.1703295414277526,3.299066782021324,0.3480825292523641,0.48932210548890254
delta_rise=0.5_fall=0.8,7.875,2.9764702249476644,forage_phonologicaldynamicswitch,1.9042378665152047,2.211703774585217,2.309216573382494,2.6531662504068287,0.29249860166107167,0.5020575184439976
delta_rise=0.5_fall=1.0,6.5625,2.855230945125105,forage_dynamic,4.911413794410337,1.453419204037987,5.827502061579428,1.566014715388579,,
delta_rise=0.5_fall=1.0,6.5625,2.855230945125105,forage_phonologicaldynamicglobal,0.7238089483996692,1.0361320155322447,0.7458882543127445,1.0122093145668545,0.43634018665917185,0.27976478742070765
delta_rise=0.5_fall=1.0,6.5625,2.855230945125105,forage_phonologicaldynamiclocal,1.484490886895299,1.8793511604020519,1.928556808121483,3.1069257804631216,0.3916407104726756,0.5146791044851992
delta_rise=0.5_fall=1.0,6.5625,2.855230945125105,forage_phonologicaldynamicswitch,2.1589884698942607,2.316372355900019,2.4629690565378017,2.7316034097985615,0.2715424863173566,0.41934535142068174
delta_rise=0.8_fall=0.0,12.609375,4.136790677490825,forage_dynamic,4.787994104662105,1.424884427426406,7.215098597620396,1.7647591028624343,,
delta_rise=0.8_fall=0.0,12.609375,4.136790677490825,forage_phonologicaldynamicglobal,0.7474059868557963,1.011879612876388,0.7536047991320721,1.1303185734417889,0.47812242593104426,0.312864788568592
delta_rise=0.8_fall=0.0,12.609375,4.136790677490825,forage_phonologicaldynamiclocal,2.452609305006188,2.3424428887542197,4.020340787420182,4.677625549205661,0.10932970851029004,0.704082761209864
delta_rise=0.8_fall=0.0,12.609375,4.136790677490825,forage_phonologicaldynamicswitch,1.1096357223640383,1.5913020453025424,1.2979627579519775,2.325538579228977,0.38086460074161776,0.3500387074547472
delta_rise=0.8_fall=0.2,12.078125,4.082373266174346,forage_dynamic,4.79712051545573,1.425004867776155,7.095051796730644,1.7870242838997168,,
delta_rise=0.8_fall=0.2,12.078125,4.082373266174346,forage_phonologicaldynamicglobal,0.6953903963932403,1.0017341595623763,0.7342922073584538,1.1880318987775769,0.44923103000859227,0.3125343366450652
delta_rise=0.8_fall=0.2,12.078125,4.082373266174346,forage_phonologicaldynamiclocal,2.275505064606827,2.3007159630638605,3.7314466991206023,4.592131092110676,0.19020579005637145,0.6721356445564067
delta_rise=0.8_fall=0.2,12.078125,4.082373266174346,forage_phonologicaldynamicswitch,1.2255473777534476,1.7417915531651371,1.4886663629839858,2.4593138062655004,0.4134754694764505,0.3201347877632928
delta_rise=0.8_fall=0.5,10.8125,3.900620944157481,forage_dynamic,4.7942008076342395,1.4419841497845258,7.047124921366852,1.7205085929951787,,
delta_rise=0.8_fall=0.5,10.8125,3.900620944157481,forage_phonologicaldynamicglobal,0.671871225733095,1.017232199688226,0.7878904292441696,1.250219642671398,0.4373284109504221,0.33849077534964817
delta_rise=0.8_fall=0.5,10.8125,3.900620944157481,forage_phonologicaldynamiclocal,2.0435732411282115,2.2368952080712963,3.164589750097264,4.13962830829945,0.19561329187092963,0.5685576423436594
delta_rise=0.8_fall=0.5,10.8125,3.900620944157481,forage_phonologicaldynamicswitch,1.4697509491895717,1.9537795636741373,1.8235872800512,2.6501016498113836,0.4279148463635041,0.35654005186510995
delta_rise=0.8_fall=0.8,9.25,3.972562145517676,forage_dynamic,4.834076380560944,1.4456993445324429,6.699155933070438,1.7040717166056318,,
delta_rise=0.8_fall=0.8,9.25,3.972562145517676,forage_phonologicaldynamicglobal,0.7509600547760005,1.022832865856973,0.6945026580037892,1.0941254191904521,0.5158404288126538,0.30335322795847336
delta_rise=0.8_fall=0.8,9.25,3.972562145517676,forage_phonologicaldynamiclocal,1.7188478975172297,2.0729587907585136,2.5500267184479783,3.71058239181061,0.30342623705258853,0.46743512331069426
delta_rise=0.8_fall=0.8,9.25,3.972562145517676,forage_phonologicaldynamicswitch,1.8048096254213297,2.141338918223719,2.063845693077653,2.748179504475169,0.3540882573198406,0.35066678885588676
delta_rise=0.8_fall=1.0,7.671875,3.5884131568668343,forage_dynamic,4.874655928444726,1.4552019978566881,6.290683201314011,1.8523353039817319,,
delta_rise=0.8_fall=1.0,7.671875,3.5884131568668343,forage_phonologicaldynamicglobal,0.7177759060696499,1.0394753904898377,0.7644346131072434,1.0616781993186348,0.4395962168009646,0.3017184824884384
delta_rise=0.8_fall=1.0,7.671875,3.5884131568668343,forage_phonologicaldynamiclocal,1.5060369876865145,1.961188640140834,2.1876492681463855,3.4179454572004513,0.3250824669157967,0.456793465470787
delta_rise=0.8_fall=1.0,7.671875,3.5884131568668343,forage_phonologicaldynamicswitch,2.118547201320406,2.2669049365072884,2.3423601334656032,2.7300325046410774,0.28450396427337504,0.4223745699423855
delta_rise=1.0_fall=0.0,13.390625,4.30340413038039,forage_dynamic,4.775029256626313,1.4183177642973472,7.527232787931913,1.8767481944083861,,
delta_rise=1.0_fall=0.0,13.390625,4.30340413038039,forage_phonologicaldynamicglobal,0.7224657860030187,1.0272959055454975,0.7809868882127535,1.1627059982927324,0.43254168151809835,0.30245687644773445
delta_rise=1.0_fall=0.0,13.390625,4.30340413038039,forage_phonologicaldynamiclocal,2.4490791200740136,2.3757379150224014,7.0690629896616715,20.095340755286507,-0.16376399854955911,1.5847859585697446
delta_rise=1.0_fall=0.0,13.390625,4.30340413038039,forage_phonologicaldynamicswitch,1.0786579877076592,1.6366441212345515,1.4041721432981764,2.482610116754909,0.5029636259552063,0.33115581050681403
delta_rise=1.0_fall=0.2,12.953125,4.356854109833723,forage_dynamic,4.779803457258813,1.416564719607686,7.454405073011179,1.8914478575857023,,
delta_rise=1.0_fall=0.2,12.953125,4.356854109833723,forage_phonologicaldynamicglobal,0.6940791735485631,0.9987790647728478,0.7568263803007579,1.160699233013622,0.4674238699106201,0.28105309030176884
delta_rise=1.0_fall=0.2,12.953125,4.356854109833723,forage_phonologicaldynamiclocal,2.307602208601553,2.273836436070488,6.680254685232215,19.60885223264121,0.04098719646993816,1.0507038750204258
delta_rise=1.0_fall=0.2,12.953125,4.356854109833723,forage_phonologicaldynamicswitch,1.3130530919096635,1.7957480068279716,1.6481731794996064,2.6857547449404486,0.4162299427431549,0.3368102129308824
delta_rise=1.0_fall=0.5,11.734375,4.1804686769996255,forage_dynamic,4.776901259317803,1.4323612004941362,7.368621804004146,1.8167034263201873,,
delta_rise=1.0_fall=0.5,11.734375,4.1804686769996255,forage_phonologicaldynamicglobal,0.6899843072130296,0.9954077683568197,0.7365938203174591,1.1776898394576798,0.46548264426582536,0.3087457377495848
delta_rise=1.0_fall=0.5,11.734375,4.1804686769996255,forage_phonologicaldynamiclocal,2.0484205470922974,2.2399053663782165,4.001978712760913,5.661609494413766,0.13641096427413862,0.7570624772033738
delta_rise=1.0_fall=0.5,11.734375,4.1804686769996255,forage_phonologicaldynamicswitch,1.3646056667286532,1.9202175353189073,1.6682099784763267,2.7363772860658013,0.42490152030152734,0.3351510616073028
delta_rise=1.0_fall=0.8,10.046875,4.162442520248778,forage_dynamic,4.811454699753389,1.4379082487233545,6.978055333977732,1.8333903786923977,,
delta_rise=1.0_fall=0.8,10.046875,4.162442520248778,forage_phonologicaldynamicglobal,0.6857696480756459,1.0463986209662328,0.821304570520331,1.1534681294733946,0.41940965801427293,0.29150452107429264
delta_rise=1.0_fall=0.8,10.046875,4.162442520248778,forage_phonologicaldynamiclocal,1.6899455547491977,1.9860057784693048,2.882904281198971,4.329429082081454,0.2863862867998757,0.4849483362662808
delta_rise=1.0_fall=0.8,10.046875,4.162442520248778,forage_phonologicaldynamicswitch,1.7314333511377464,2.107413697636562,2.0573391817711997,2.7917418214101195,0.3596209216745778,0.3303425097591622
delta_rise=1.0_fall=1.0,8.625,4.075460096725276,forage_dynamic,4.8526576037103055,1.4454989891502152,6.55432008503001,1.9831038208527816,,
delta_rise=1.0_fall=1.0,8.625,4.075460096725276,forage_phonologicaldynamicglobal,0.7105537732110747,1.0746667425159782,0.7560891432738887,1.0453480775371151,0.5125293034674743,0.31050734217582865
