SID,entry,evaluation,replacement
CAF-657,lizard,FOUND,lizard
CAF-657,cat,FOUND,cat
CAF-657,hawk,FOUND,hawk
CAF-657,dog,FOUND,dog
CAF-657,turtle,FOUND,turtle
CAF-657,jellyfish,FOUND,jellyfish
CAF-657,bear,FOUND,bear
CAF-657,ant,FOUND,ant
CAF-657,mosquito,FOUND,mosquito
CAF-657,frog,FOUND,frog
CAF-657,tadpole,FOUND,tadpole
CAF-657,fish,FOUND,fish
CAF-657,shark,FOUND,shark
CAF-657,dolphin,FOUND,dolphin
CAF-657,gorilla,FOUND,gorilla
CAF-657,monkey,FOUND,monkey
CAF-657,fly,FOUND,fly
CAF-657,eagle,FOUND,eagle
CAF-657,toad,FOUND,toad
CAF-657,rat,FOUND,rat
CAF-657,mouse,FOUND,mouse
CAF-657,mouse,FOUND,mouse
CAF-657,woodchuck,FOUND,woodchuck
CAF-657,fox,FOUND,fox
CAF-657,possum,FOUND,possum
CAF-657,deer,FOUND,deer
CAF-657,squirrel,FOUND,squirrel
CAF-657,rabbit,FOUND,rabbit
CAF-657,bluebird,FOUND,bluebird
CAJ-663,peacock,FOUND,peacock
CAJ-663,zebra,FOUND,zebra
CAJ-663,elephant,FOUND,elephant
CAJ-663,zebra,FOUND,zebra
CAJ-663,horse,FOUND,horse
CAJ-663,cat,FOUND,cat
CAJ-663,dog,FOUND,dog
CAJ-663,lizard,FOUND,lizard
CAJ-663,turtle,FOUND,turtle
CAJ-663,dolphin,FOUND,dolphin
CAJ-663,penguin,FOUND,penguin
CAJ-663,buffalo,FOUND,buffalo
CAJ-663,kangaroo,FOUND,kangaroo
CAJ-663,goose,FOUND,goose
CAJ-663,duck,FOUND,duck
CAJ-663,swan,FOUND,swan
CAJ-663,monkey,FOUND,monkey
CAJ-663,chimp,EXCLUDE,EXCLUDE
CAJ-663,lion,FOUND,lion
CAJ-663,tiger,FOUND,tiger
CAM-666,cat,FOUND,cat
CAM-666,dog,FOUND,dog
CAM-666,lizard,FOUND,lizard
CAM-666,kangaroo,FOUND,kangaroo
CAM-666,goat,FOUND,goat
CAM-666,otter,FOUND,otter
CAM-666,bear,FOUND,bear
CAM-666,firefly,FOUND,firefly
CAM-666,fly,FOUND,fly
CAM-666,ant,FOUND,ant
CAM-666,bird,FOUND,bird
CAM-666,eagle,FOUND,eagle
CAM-666,moose,FOUND,moose
CAM-666,deer,FOUND,deer
CAM-666,mouse,FOUND,mouse
CAM-666,duck,FOUND,duck
CAM-666,crow,FOUND,crow
CAM-666,frog,FOUND,frog
CAM-666,tadpole,FOUND,tadpole
CAM-666,caterpillar,FOUND,caterpillar
CAM-666,butterfly,FOUND,butterfly
CAM-666,moth,FOUND,moth
