Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAJ-663,0.41334078849771994,0.10648000021286108,4.079166666666667,0.5752195548065835,0.13143478260869565,0.13011138448091888,24.0,delta_rise=0.0_fall=0.0,14,1.6,0.7118052168020874
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.2,14,1.6,0.7118052168020874
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.5,14,1.6,0.7118052168020874
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.8,11,2.0,1.1547005383792515
CAJ-663,,,,,,,,delta_rise=0.0_fall=1.0,10,2.1818181818181817,1.4658650451451907
CAJ-663,,,,,,,,delta_rise=0.2_fall=0.0,16,1.411764705882353,0.49215295678475035
CAJ-663,,,,,,,,delta_rise=0.2_fall=0.2,16,1.411764705882353,0.49215295678475035
CAJ-663,,,,,,,,delta_rise=0.2_fall=0.5,16,1.411764705882353,0.49215295678475035
CAJ-663,,,,,,,,delta_rise=0.2_fall=0.8,13,1.7142857142857142,1.0301575072754254
CAJ-663,,,,,,,,delta_rise=0.2_fall=1.0,12,1.8461538461538463,1.2307692307692306
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.0,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.2,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.5,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.5_fall=0.8,14,1.6,1.0198039027185568
CAJ-663,,,,,,,,delta_rise=0.5_fall=1.0,13,1.7142857142857142,1.2205719636167902
CAJ-663,,,,,,,,delta_rise=0.8_fall=0.0,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.8_fall=0.2,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.8_fall=0.5,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=0.8_fall=0.8,14,1.6,1.0198039027185568
CAJ-663,,,,,,,,delta_rise=0.8_fall=1.0,13,1.7142857142857142,1.2205719636167902
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.0,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.2,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.5,17,1.3333333333333333,0.4714045207910317
CAJ-663,,,,,,,,delta_rise=1.0_fall=0.8,14,1.6,1.0198039027185568
CAJ-663,,,,,,,,delta_rise=1.0_fall=1.0,13,1.7142857142857142,1.2205719636167902
CAJ-663,,,,,,,,multimodal_alpha=0.0,4,4.8,3.059411708155671
CAJ-663,,,,,,,,multimodal_alpha=0.1,8,2.6666666666666665,0.6666666666666666
CAJ-663,,,,,,,,multimodal_alpha=0.2,8,2.6666666666666665,0.6666666666666666
CAJ-663,,,,,,,,multimodal_alpha=0.3,8,2.6666666666666665,0.6666666666666666
CAJ-663,,,,,,,,multimodal_alpha=0.4,7,3.0,1.224744871391589
CAJ-663,,,,,,,,multimodal_alpha=0.5,6,3.4285714285714284,1.6781914463529615
CAJ-663,,,,,,,,multimodal_alpha=0.6,6,3.4285714285714284,1.6781914463529615
CAJ-663,,,,,,,,multimodal_alpha=0.7,6,3.4285714285714284,1.6781914463529615
CAJ-663,,,,,,,,multimodal_alpha=0.8,6,3.4285714285714284,1.2936264483053452
CAJ-663,,,,,,,,multimodal_alpha=0.9,6,3.4285714285714284,1.2936264483053452
CAJ-663,,,,,,,,multimodal_alpha=1.0,6,3.4285714285714284,0.9035079029052513
CAJ-663,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.0,16,1.411764705882353,0.5998846486579748
CAJ-663,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.2,15,1.5,0.7071067811865476
CAJ-663,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.5,14,1.6,1.083205120618128
