Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAJ-663,cheese,0.0001,4.57,0.0001
CAJ-663,coffee,0.5779741159478043,4.86,0.0001
CAJ-663,tea,0.7918349880652694,4.73,0.0001
CAJ-663,soda,0.5689659762044793,4.04,0.0001
CAJ-663,water,0.6186157576257282,5.52,0.0001
CAJ-663,asparagus,0.5088606770084564,3.25,0.0001
CAJ-663,cauliflower,0.7843305254396635,3.2,0.0001
CAJ-663,carrots,0.8064499907655124,3.63,0.25
CAJ-663,salad,0.7334948244588504,4.15,0.3333
CAJ-663,chicken,0.6305647006635583,4.63,0.2
CAJ-663,lemonade,0.6279256902597055,3.44,0.2857
CAJ-663,bananas,0.594285761425862,3.7,0.1429
CAJ-663,apples,0.6507108679383754,3.96,0.2857
CAJ-663,peaches,0.6451967905792876,3.5,0.2
CAJ-663,corn,0.5720585340358024,4.19,0.0001
CAJ-663,rice,0.6314802245855377,4.55,0.0001
CAJ-663,pork,0.7536412647830203,4.03,0.0001
CAJ-663,sprouts,0.52418194283929,3.23,0.1429
CAJ-663,sandwich,0.39437805334222764,4.13,0.125
CAJ-663,burger,0.3619525782329609,4.07,0.0625
CAJ-663,sausage,0.3919336316847314,3.8,0.375
CAJ-663,meat,0.6976946267901489,4.63,0.1429
CAJ-663,pie,0.5400383010154396,4.19,0.3333
CAJ-663,snack,0.4397463121509536,3.9,0.1429
CAM-666,strawberries,0.0001,3.54,0.0001
CAM-666,raspberries,0.9126533432884646,2.98,0.5556
CAM-666,apricots,0.7626509691553941,2.74,0.0001
CAM-666,bread,0.5805155403552182,4.5,0.125
CAM-666,jam,0.49712998342854653,4.17,0.0001
CAM-666,butter,0.6778566409618418,4.4,0.0001
CAM-666,toast,0.6906765833321648,3.96,0.0001
CAM-666,burger,0.3341614454479216,4.07,0.0001
CAM-666,cheese,0.3021320660283964,4.57,0.125
CAM-666,soda,0.592317112455338,4.04,0.0001
CAM-666,water,0.6186157576257282,5.52,0.0001
CAM-666,milk,0.5750756906186134,4.66,0.0001
CAM-666,cucumbers,0.47191341057392877,3.04,0.125
CAM-666,pickles,0.7623898334483971,3.48,0.375
CAM-666,chocolate,0.6956616646929387,4.49,0.1667
CAM-666,vanilla,0.7587599745766276,3.84,0.1667
CAM-666,cinnamon,0.8454594194556413,3.7,0.2857
CAM-666,sugar,0.7316016622879716,4.68,0.0001
CAM-666,rosemary,0.5132999481409091,3.57,0.0001
CAM-666,berries,0.5886863810160404,3.57,0.375
CAM-666,juice,0.6254817678450936,4.36,0.4
CAM-666,dessert,0.5963274008979377,3.83,0.1
CAM-666,juice,0.5963274008979377,4.36,0.1
CAM-666,spices,0.7089827615107511,3.55,0.0001
CAM-666,peanuts,0.6288254380670524,3.52,0.0001
CAM-666,pie,0.5738686448332007,4.19,0.3333
CAM-666,snack,0.4397463121509536,3.9,0.1429
CAM-666,juice,0.3842556408898996,4.36,0.1
CAP-671,grapes,0.0001,3.73,0.0001
CAP-671,water,0.3822619397726874,5.52,0.0001
CAP-671,chips,0.43710435911352186,4.21,0.0001
CAP-671,cookies,0.5588409082173736,4.12,0.0001
CAP-671,carrot,0.671027175191684,3.62,0.2
CAP-671,soda,0.5731750111840123,4.04,0.2
CAP-671,apple,0.43227834821604816,4.76,0.0001
CAP-671,watermelon,0.47146674274005473,3.35,0.1111
CAP-671,pear,0.5224646710344384,3.47,0.0001
CAP-671,orange,0.5082786732281829,4.62,0.0001
CAP-671,pepper,0.5285309030740254,4.14,0.0001
CAP-671,tomato,0.8028365814121129,3.85,0.0001
CAP-671,juice,0.7615132012771575,4.36,0.0001
CAP-671,corn,0.5133745891012907,4.19,0.1
CAP-671,potatoes,0.6730627958812525,4.09,0.0001
CAP-671,sprouts,0.5860858773900802,3.23,0.0001
CAP-671,fruit,0.6041498512565396,4.57,0.1111
CAP-671,burger,0.12521036214597348,4.07,0.0001
CAP-671,dessert,0.25779229647491686,3.83,0.0001
CAP-671,pie,0.6661855728452692,4.19,0.0001
CAS-674,breakfast,0.0001,4.61,0.0001
CAS-674,water,0.29085283196679945,5.52,0.1667
CAS-674,steak,0.5700256338038633,3.97,0.0001
CAS-674,apple,0.5158245464754468,4.76,0.0001
CAS-674,orange,0.5893926222524818,4.62,0.2
CAS-674,pear,0.5082786732281829,3.47,0.0001
CAS-674,strawberries,0.6609311743291416,3.54,0.1111
CAS-674,grapes,0.7186318410098949,3.73,0.1111
CAS-674,salad,0.5997310785764852,4.15,0.0001
CAS-674,tomato,0.8033053853358979,3.85,0.0001
CAS-674,soda,0.7155817182065153,4.04,0.0001
CAS-674,rolls,0.4660154693691705,4.23,0.25
CAS-674,pancakes,0.46947344395781787,3.59,0.0001
CAS-674,bacon,0.5861738189001892,4.15,0.1429
CAS-674,eggs,0.4819974368738623,4.5,0.0001
CAS-674,sausage,0.5215862094472138,3.8,0.2857
CAS-674,lobster,0.687885372619821,3.65,0.1429
CAS-674,crab,0.6403832132286553,3.76,0.0001
CAS-674,burger,0.22255028470090854,4.07,0.1429
CAS-674,cereals,0.12179645360134916,3.2,0.0001
CAS-674,snack,0.2998077226358691,3.9,0.0001
CAS-674,milk,0.3940133304872515,4.66,0.0001
CAS-674,noodles,0.4905525675450966,3.7,0.125
CAS-674,electrolyte,0.4054186058666489,3.07,0.0001
CAS-674,sausage,0.31768944793979137,3.8,0.1429
CAS-674,dessert,0.6194362756568397,3.83,0.0001
CAS-674,pie,0.6661855728452692,4.19,0.0001
CAS-674,snack,0.4397463121509536,3.9,0.2222
CAS-674,milk,0.3940133304872515,4.66,0.0001
CAS-674,noodles,0.4905525675450966,3.7,0.125
CAS-674,breakfast,0.4624338426874961,4.61,0.0001
CAS-674,milk,0.4106162310045396,4.66,0.1429
CAV-678,apple,0.0001,4.76,0.0001
CAV-678,orange,0.5893926222524818,4.62,0.2
CAV-678,water,0.26457858769457676,5.52,0.0001
CAV-678,beer,0.5568276884620834,4.7,0.0001
CAV-678,chicken,0.5342620098539682,4.63,0.2
