SID,entry
CAJ-663,cheese
CAJ-663,coffee
CAJ-663,tea
CAJ-663,soda
CAJ-663,water
CAJ-663,asparagus
CAJ-663,cauliflower
CAJ-663,carrots
CAJ-663,salad
CAJ-663,chicken
CAJ-663,lemonade
CAJ-663,bananas
CAJ-663,apples
CAJ-663,peaches
CAJ-663,corn
CAJ-663,rice
CAJ-663,pork
CAJ-663,sprouts
CAJ-663,sandwich
CAJ-663,burger
CAJ-663,sausage
CAJ-663,meat
CAJ-663,pie
CAJ-663,snack
CAM-666,strawberries
CAM-666,raspberries
CAM-666,apricots
CAM-666,bread
CAM-666,jam
CAM-666,butter
CAM-666,toast
CAM-666,burger
CAM-666,cheese
CAM-666,soda
CAM-666,water
CAM-666,milk
CAM-666,cucumbers
CAM-666,pickles
CAM-666,chocolate
CAM-666,vanilla
CAM-666,cinnamon
CAM-666,sugar
CAM-666,rosemary
CAM-666,berries
CAM-666,juice
CAM-666,dessert
CAM-666,juice
CAM-666,spices
CAM-666,peanuts
CAM-666,pie
CAM-666,snack
CAM-666,juice
CAP-671,grapes
CAP-671,water
CAP-671,chips
CAP-671,cookies
CAP-671,carrot
CAP-671,soda
CAP-671,apple
CAP-671,watermelon
CAP-671,pear
CAP-671,orange
CAP-671,pepper
CAP-671,tomato
CAP-671,juice
CAP-671,corn
CAP-671,potatoes
CAP-671,sprouts
CAP-671,fruit
CAP-671,burger
CAP-671,dessert
CAP-671,pie
CAS-674,breakfast
CAS-674,water
CAS-674,steak
CAS-674,apple
CAS-674,orange
CAS-674,pear
CAS-674,strawberries
CAS-674,grapes
CAS-674,salad
CAS-674,tomato
CAS-674,soda
CAS-674,rolls
CAS-674,pancakes
CAS-674,bacon
CAS-674,eggs
CAS-674,sausage
CAS-674,lobster
CAS-674,crab
CAS-674,burger
CAS-674,cereals
CAS-674,snack
CAS-674,milk
CAS-674,noodles
CAS-674,electrolyte
CAS-674,sausage
CAS-674,dessert
CAS-674,pie
CAS-674,snack
CAS-674,milk
CAS-674,noodles
CAS-674,breakfast
CAS-674,milk
CAV-678,apple
CAV-678,orange
CAV-678,water
CAV-678,beer
CAV-678,chicken
CAV-678,watermelon
CAV-678,orange
CAV-678,grapes
CAV-678,steak
CAV-678,ribs
CAV-678,sprouts
CAV-678,sprite
CAV-678,rice
CAV-678,noodles
CAV-678,soda
CAV-678,pepper
CAV-678,sausage
CAV-678,dessert
CAV-678,casserole
