Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,11.204545454545455,4.181015239119808,forage_dynamic,5.0400553989203525,1.7893803656970848,2.9302968769753734,0.9604710004254629,,
delta_rise=0.0_fall=0.0,11.204545454545455,4.181015239119808,forage_phonologicaldynamicglobal,5.048330000703751,1.7886107378092675,2.8886123000427566,0.9391514251568103,0.016428941530132322,0.09061319657714594
delta_rise=0.0_fall=0.0,11.204545454545455,4.181015239119808,forage_phonologicaldynamiclocal,5.056680104168418,1.7943594303160317,2.9492088800580416,1.0712646787189182,0.009860341763567045,0.1507400190431945
delta_rise=0.0_fall=0.0,11.204545454545455,4.181015239119808,forage_phonologicaldynamicswitch,5.049871262221608,1.758700248906042,2.930476809851599,0.9600331667910793,-0.02000307766408216,0.36356790092591856
delta_rise=0.0_fall=0.2,10.386363636363637,4.001226568139672,forage_dynamic,5.117918010135247,1.7720849305849162,2.9243859627784716,0.9653626027865839,,
delta_rise=0.0_fall=0.2,10.386363636363637,4.001226568139672,forage_phonologicaldynamicglobal,5.128299587281461,1.7714247582507487,2.8864321519235245,0.9442756735631294,0.015287221971882816,0.09088911848949477
delta_rise=0.0_fall=0.2,10.386363636363637,4.001226568139672,forage_phonologicaldynamiclocal,5.137008032323102,1.7759113798838309,2.9423594660075123,1.0872037937064913,0.0110587056210315,0.15261580771246616
delta_rise=0.0_fall=0.2,10.386363636363637,4.001226568139672,forage_phonologicaldynamicswitch,5.125133799986879,1.7371046158355417,2.924301086368224,0.9650586862656133,-0.012072014883235959,0.3991119207707461
delta_rise=0.0_fall=0.5,8.886363636363637,3.5561464657618385,forage_dynamic,5.232993948255811,1.7658779319464393,2.80756549561339,0.9388029380916108,,
delta_rise=0.0_fall=0.5,8.886363636363637,3.5561464657618385,forage_phonologicaldynamicglobal,5.241192934883208,1.7680018963568112,2.772697656588224,0.9130537183864483,0.0146959117495506,0.09058778183197655
delta_rise=0.0_fall=0.5,8.886363636363637,3.5561464657618385,forage_phonologicaldynamiclocal,5.238968930842261,1.7676012270888324,2.7884446201348387,1.0284840061351714,0.018770919266388023,0.13619793968493785
delta_rise=0.0_fall=0.5,8.886363636363637,3.5561464657618385,forage_phonologicaldynamicswitch,5.22828476852076,1.732147822935574,2.806955704018919,0.939378207436248,-0.05645288443024787,0.5111123116556798
delta_rise=0.0_fall=0.8,7.136363636363637,2.684898077385883,forage_dynamic,5.328259773895993,1.7441218961443037,2.6061504713526307,0.8738717702109982,,
delta_rise=0.0_fall=0.8,7.136363636363637,2.684898077385883,forage_phonologicaldynamicglobal,5.331385369486543,1.747348208599252,2.568212480522239,0.8498744434029012,0.014479591026364534,0.08971871261531766
delta_rise=0.0_fall=0.8,7.136363636363637,2.684898077385883,forage_phonologicaldynamiclocal,5.32304583097617,1.7575476875486238,2.5596588215904403,0.8950906869788399,0.02316211074496729,0.11608095259960308
