"SID","entry","evaluation","replacement","edit_distance"
"528353180","broccoli","REPLACE","sprouts",7
"528353180","grilledcheesesandwich","REPLACE","sandwich",13
"528353180","hamburgers","REPLACE","burger",4
"528353180","hotdogs","REPLACE","sausage",6
"528353180","meatloaf","REPLACE","meat",4
"528353180","pizza","REPLACE","pie",3
"528353180","popcorn","REPLACE","snack",6
"956268845","blueberries","REPLACE","berries",4
"956268845","cranberryjucie","REPLACE","juice",11
"956268845","icecream","REPLACE","dessert",6
"956268845","lemonjuice","REPLACE","juice",5
"956268845","oregano","REPLACE","spices",7
"956268845","peanutbutter","REPLACE","peanuts",6
"956268845","pizza","REPLACE","pie",3
"956268845","popcorn","REPLACE","snack",6
"956268845","raspberryjuice","REPLACE","juice",9
"891411190","brocolli","REPLACE","sprouts",7
"891411190","grapefruit","REPLACE","fruit",5
"891411190","hamburger","REPLACE","burger",3
"891411190","icecream","REPLACE","dessert",6
"891411190","pizza","REPLACE","pie",3
"642812588","bagels","REPLACE","breakfast",6
"642812588","chewybar","REPLACE","snack",8
"642812588","chocolatemilk","REPLACE","milk",9
"642812588","fettuccini","REPLACE","noodles",10
"642812588","gatorade","REPLACE","electrolyte",8
"642812588","hotdogs","REPLACE","sausage",6
"642812588","icecream","REPLACE","dessert",6
"642812588","pizza","REPLACE","pie",3
"642812588","proteinbar","REPLACE","snack",9
"642812588","skimmilk","REPLACE","milk",4
"642812588","spaghetti","REPLACE","noodles",8
"642812588","waffles","REPLACE","breakfast",7
"642812588","whitemilk","REPLACE","milk",5
"823316253","broccoli","REPLACE","sprouts",7
"823316253","dietrite","REPLACE","soda",8
"823316253","hotdogs","REPLACE","sausage",6
"823316253","icecream","REPLACE","dessert",6
"823316253","lasagna","REPLACE","casserole",7
"823316253","lunchmeats","REPLACE","meat",6
"823316253","mountaindew","REPLACE","soda",9
"823316253","porkchops","REPLACE","pork",5
"823316253","roastbeef","REPLACE","beef",5
"823316253","sauercraut","REPLACE","cabbage",8
"823316253","spaghetti","REPLACE","noodles",8
"704925696","applejuice","REPLACE","juice",5
"704925696","burritos","REPLACE","wrap",7
"704925696","chocolatesyrup","REPLACE","chocolate",5
"704925696","cranapplejuice","REPLACE","juice",9
"704925696","empanadas","REPLACE","dumpling",8
"704925696","frenchfries","REPLACE","potatoes",9
"704925696","granolabars","REPLACE","breakfast",9
"704925696","grapejuice","REPLACE","juice",5
"704925696","hashbrowns","REPLACE","potatoes",8
"704925696","hotwings","REPLACE","chicken",7
"704925696","mountaindew","REPLACE","soda",9
"704925696","pizza","REPLACE","pie",3
"704925696","poptarts","REPLACE","pastry",5
"704925696","potatoskins","REPLACE","potatoes",4
"704925696","quesadillas","REPLACE","wrap",10
"704925696","sierramist","REPLACE","soda",8
"704925696","sourcream","REPLACE","dairy",8
"704925696","tacos","REPLACE","wrap",5
"704925696","waffles","REPLACE","breakfast",7
"642390232","cakethathassugaronit","REPLACE","cake",16
"642390232","chocolatecoveredbrownies","REPLACE","chocolate",15
"642390232","cocacola","REPLACE","coke",6
"642390232","hersheys","REPLACE","chocolate",8
"642390232","kiwis","REPLACE","fruit",4
"642390232","mms","REPLACE","candy",5
"642390232","marblecake","REPLACE","cake",6
"642390232","marshmallows","REPLACE","dessert",11
"642390232","nastycake","REPLACE","cake",5
"642390232","pepsis","REPLACE","soda",6
"642390232","pizza","REPLACE","pie",3
"642390232","salsberrysteak","REPLACE","beef",11
"642390232","vanillacake","REPLACE","cake",7
"443681266","broccoli","REPLACE","sprouts",7
"443681266","gingerale","REPLACE","soda",8
"443681266","grapejuice","REPLACE","juice",5
"443681266","mountaindew","REPLACE","soda",9
"443681266","orangejuice","REPLACE","juice",6
"443681266","pepsi","REPLACE","soda",5
"600164385","applejuice","REPLACE","juice",5
"600164385","broccoli","REPLACE","sprouts",7
"600164385","fastfood","REPLACE","meal",8
"600164385","gatorade","REPLACE","electrolyte",8
"600164385","granolabars","REPLACE","breakfast",9
"600164385","grapefruits","REPLACE","fruit",6
"600164385","grapejuice","REPLACE","juice",5
"600164385","hotpockets","REPLACE","bread",9
"600164385","icecream","REPLACE","dessert",6
"600164385","orangejuice","REPLACE","juice",6
"600164385","peanutbutter","REPLACE","peanuts",6
"600164385","powerade","REPLACE","electrolyte",9
"600164385","tacos","REPLACE","wrap",5
"256739546","hamburger","REPLACE","burger",3
"256739546","icedtea","REPLACE","tea",4
"256739546","orangejuice","REPLACE","juice",6
"256739546","spaghetti","REPLACE","noodles",8
"174575632","baklava","REPLACE","pastry",6
"174575632","chickenpotpie","REPLACE","pie",10
"174575632","chickensandwich","REPLACE","sandwich",7
"174575632","cranberrysauce","REPLACE","sauce",9
"174575632","koolaid","REPLACE","beverage",7
"174575632","mashedpotatoes","REPLACE","potatoes",6
"174575632","pizza","REPLACE","pie",3
"787839024","frenchtoast","REPLACE","toast",6
"787839024","granolabars","REPLACE","breakfast",9
"787839024","greenbeans","REPLACE","beans",5
"787839024","greenpeppers","REPLACE","peppers",5
"787839024","pizza","REPLACE","pie",3
"787839024","seasonings","REPLACE","spices",7
"787839024","veggie","REPLACE","vegetable",5
"787839024","waffles","REPLACE","breakfast",7
"706477239","applejuice","REPLACE","juice",5
"706477239","bakedpotato","REPLACE","potato",5
"706477239","burrito","REPLACE","wrap",6
"706477239","cheesestick","REPLACE","cheese",5
"706477239","eggplant","REPLACE","vegetable",7
"706477239","hamburgers","REPLACE","burger",4
"706477239","koolaid","REPLACE","beverage",7
"706477239","macaroniandcheese","REPLACE","macaroni",9
"706477239","mashedpotatoes","REPLACE","potatoes",6
"706477239","orangejuice","REPLACE","juice",6
"706477239","pepsi","REPLACE","soda",5
"706477239","pizza","REPLACE","pie",3
"706477239","quesadilla","REPLACE","wrap",9
"663737401","applejuice","REPLACE","juice",5
"663737401","cheeseburger","REPLACE","burger",6
"663737401","chickennuggetsoup","REPLACE","soup",13
"663737401","grapejuice","REPLACE","juice",5
"663737401","hamburgers","REPLACE","burger",4
"663737401","peanutbutterandjelly","REPLACE","sandwich",17
"663737401","pizza","REPLACE","pie",3
"663737401","waffles","REPLACE","breakfast",7
"836762645","blackbeans","REPLACE","beans",5
"836762645","broccoli","REPLACE","sprouts",7
"836762645","candycanes","REPLACE","candy",5
"836762645","macandcheese","REPLACE","macaroni",8
"836762645","marshmallows","REPLACE","dessert",11
"836762645","pepperoni","REPLACE","sausage",9
"836762645","pizza","REPLACE","pie",3
"836762645","tuna","REPLACE","fish",4
"074803396","bananabread","REPLACE","bread",6
"074803396","blueberries","REPLACE","berries",4
"074803396","broccoli","REPLACE","sprouts",7
"074803396","cocacola","REPLACE","coke",6
"074803396","icecream","REPLACE","dessert",6
"074803396","kiwi","REPLACE","fruit",4
"074803396","macaroniandcheese","REPLACE","macaroni",9
"074803396","pepsi","REPLACE","soda",5
"074803396","pizza","REPLACE","pie",3
"074803396","popsicles","REPLACE","dessert",8
"074803396","rootbeer","REPLACE","beer",4
"074803396","smoothies","REPLACE","beverage",8
"074803396","zucchinibread","REPLACE","bread",8
"613426003","bananapeppers","REPLACE","peppers",6
"613426003","blackolives","REPLACE","olives",5
"613426003","greenpeppers","REPLACE","peppers",5
"613426003","macandcheese","REPLACE","macaroni",8
"613426003","mashedpotatoes","REPLACE","potatoes",6
"613426003","mayo","REPLACE","mayonnaise",6
"613426003","pastasauce","REPLACE","sauce",5
"613426003","pepperoni","REPLACE","sausage",9
"613426003","pesto","REPLACE","sauce",5
"613426003","potatochips","REPLACE","chips",6
"613426003","redpeppers","REPLACE","peppers",3
"613426003","ricecakes","REPLACE","rice",5
"492566573","applejuice","REPLACE","juice",5
"492566573","broccoli","REPLACE","sprouts",7
"492566573","orangejuice","REPLACE","juice",6
"492566573","pizza","REPLACE","pie",3
"492566573","rootbeer","REPLACE","beer",4
"492566573","sunkist","REPLACE","soda",6
"492566573","sweettea","REPLACE","tea",5
"482082763","fruitjuice","REPLACE","juice",5
"482082763","kiwi","REPLACE","fruit",4
