Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_dynamic,5.045438120147762,1.7558108058639859,3.751788676496552,1.3923480521950717,,
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamicglobal,5.05098400337265,1.7529257207416382,3.7000409219556363,1.3581297145333195,0.020690020354961043,0.09079327315784963
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamiclocal,5.052042002780338,1.7943013648790174,3.7970791879082655,1.4181854963084637,-0.02211966075142975,0.3607556331711377
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamicswitch,5.060413692959628,1.7312037537411296,3.7532892145422085,1.3914423842405232,0.034146413685721515,0.10939079245656799
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_dynamic,5.126845839801906,1.7247675865100998,3.7560841738718027,1.3838535806444594,,
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamicglobal,5.132510731138336,1.7212069686235396,3.7116201290247064,1.3571626690612046,0.01949929335319346,0.09100402904635795
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamiclocal,5.132058046057942,1.7611512862927408,3.79208134209945,1.4089927053332583,-0.019923325381971446,0.3175586232873713
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamicswitch,5.134844954360131,1.6982977619573094,3.757307908739888,1.3825401796950134,-0.01697269906266989,0.37455524479938035
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_dynamic,5.214998388431275,1.7208492183526813,3.6315777237462683,1.328750533694452,,
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamicglobal,5.217689812836652,1.716502038970817,3.5853608368391394,1.2907822846410606,0.019094624848499966,0.09036523882536368
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamiclocal,5.220329317141418,1.7565522205441515,3.6718237072278628,1.3409645922737616,-0.035088271599550636,0.3801553063201184
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamicswitch,5.223110385488107,1.699404123808589,3.63277534633291,1.3272774420904028,-0.014882918488055924,0.4097039142497612
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_dynamic,5.324348740269979,1.7082267746171995,3.266590938240851,1.1753051690903253,,
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamicglobal,5.327723974751715,1.7068869647143134,3.2214030077709794,1.1316995645305936,0.019602387917110695,0.0904737070368231
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamiclocal,5.320558539313901,1.7461980039394345,3.267750093502508,1.1775192146372788,-0.02052094935727,0.3564178758796056
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamicswitch,5.321479846645818,1.6914661792762669,3.2663672997236177,1.1764122767671585,-0.04781453997142165,0.47857228802950613
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_dynamic,5.390714673489236,1.7190242982477697,3.0374135246530916,1.0943235621226484,,
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamicglobal,5.396042701785916,1.7183781893009622,3.0046213886138236,1.0762104330202382,0.02000282929142708,0.09113596000615314
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamiclocal,5.388881405021054,1.7513948278481002,3.0480859705529366,1.130220292931311,-0.013657385022798061,0.31680257465645695
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamicswitch,5.383647908005481,1.7061274279737466,3.0367058022618427,1.0943041866353072,-0.06899267763253604,0.6220916144829091
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_dynamic,4.992271108356904,1.7697607721569597,4.03366678792051,1.4586734888827877,,
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamicglobal,4.997210324527359,1.770181102032422,3.966755215659838,1.4144715295360677,0.020251537477998762,0.09048267156834634
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamiclocal,4.995755482688872,1.8111892773231613,4.101866611197861,1.510960585627596,-0.030460144027154044,0.3633720154768776
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamicswitch,5.012487029960227,1.7458436360341518,4.035284770174858,1.4577663507760095,0.03119311235359776,0.09534993448534212
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_dynamic,5.084122634372972,1.7369330632225533,4.006106914823024,1.4375901636215578,,
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamicglobal,5.087942565197715,1.7361073733426133,3.9466252631271144,1.3976803307247616,0.019135117309592532,0.09046752489354093
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamiclocal,5.086818363808166,1.7769355344983857,4.055488554038048,1.473080433278538,-0.031475600941933114,0.3494093414973031
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamicswitch,5.096302114594448,1.7117118412933332,4.007435095536599,1.4363160528803431,-0.033581872206732644,0.4651238162548815
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_dynamic,5.1903332561772615,1.7313850773336434,3.837922778828037,1.392170292520589,,
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamicglobal,5.190257777792779,1.7305181232899711,3.773588910288726,1.3343137000354894,0.01883993949337959,0.08954122292550556
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamiclocal,5.190566763243101,1.7683319620975535,3.8841745158013485,1.405787473548875,-0.0309151151951602,0.3212153919807832
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamicswitch,5.202070041862907,1.7100503239909106,3.8392512408149995,1.3911556404087306,-0.01380294418895997,0.4039567701646155
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_dynamic,5.310491219323288,1.7162346448409214,3.4443579719688158,1.2554651499824019,,
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamicglobal,5.309848440746765,1.7162722774554302,3.380119269347645,1.179313472995683,0.01919879006822739,0.08938709129939149
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamiclocal,5.303840649469696,1.7519814608443702,3.438538484246935,1.239204919750118,-0.01419855728939876,0.3005130283068512
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamicswitch,5.309787385295454,1.6982213557470773,3.4438543468065648,1.257040891540949,-0.08624845107861379,0.5296947860271274
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_dynamic,5.392661038255695,1.7155681669295653,3.2131447204055053,1.2167782725931047,,
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamicglobal,5.393245216597198,1.7169854831833247,3.1633833330337637,1.163032810964337,0.019425516847104227,0.09004030371676146
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamiclocal,5.386628757417182,1.7465523512545116,3.2205650161106876,1.2369428997546261,-0.014678705169918699,0.304779931511473
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamicswitch,5.383592463163887,1.7032762052402568,3.211866791898118,1.2172753818279225,-0.07163327351736688,0.5487891853804558
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_dynamic,4.89133378647859,1.7596981372976144,4.57004616876268,1.7973636631560275,,
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamicglobal,4.899985673135689,1.7585391397467858,4.48615046666446,1.7172658710238002,0.021289037395623503,0.09104716659068085
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamiclocal,4.905789005432516,1.7987197105438164,4.790488747553243,2.0463553083277732,-0.10528679703255875,0.5356707852427086
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamicswitch,4.924034481314598,1.7399060190913873,4.573450847784425,1.79683728075454,0.03893318984278724,0.09045123110432335
delta_rise=0.5_fall=0.2,12.681818181818182,4.902562999793287,forage_dynamic,4.970918669607728,1.7280452343484605,4.503241578940865,1.76460070208389,,
delta_rise=0.5_fall=0.2,12.681818181818182,4.902562999793287,forage_phonologicaldynamicglobal,4.977847035372085,1.72597676774863,4.4248652305937375,1.684903814655623,0.02056039491316521,0.09097483482931054
delta_rise=0.5_fall=0.2,12.681818181818182,4.902562999793287,forage_phonologicaldynamiclocal,4.982892409215267,1.7659591012303852,4.696464596153517,2.0048855458158124,-0.09815834995565664,0.4960563971497692
delta_rise=0.5_fall=0.2,12.681818181818182,4.902562999793287,forage_phonologicaldynamicswitch,4.997338494447085,1.7085009044687467,4.506563576927877,1.763941686553911,-0.01037208013894682,0.3720585181296415
delta_rise=0.5_fall=0.5,11.045454545454545,4.567446797493528,forage_dynamic,5.094297793488692,1.706803265586151,4.291803787361259,1.6955079508383042,,
delta_rise=0.5_fall=0.5,11.045454545454545,4.567446797493528,forage_phonologicaldynamicglobal,5.096587744547571,1.7070317051566146,4.208634519190074,1.6078777596589824,0.020109418643987933,0.08987653912416725
delta_rise=0.5_fall=0.5,11.045454545454545,4.567446797493528,forage_phonologicaldynamiclocal,5.097757560295325,1.7445730972779296,4.42007766428665,1.7798753951505242,-0.09737793202648187,0.4989999635571442
delta_rise=0.5_fall=0.5,11.045454545454545,4.567446797493528,forage_phonologicaldynamicswitch,5.1194197509220025,1.6874467208571773,4.295011346055977,1.6962631288027692,-0.006605904024788897,0.37597552861833583
delta_rise=0.5_fall=0.8,8.636363636363637,3.844068093066541,forage_dynamic,5.230913379896295,1.697442668966306,3.7586774843839716,1.5323743216107755,,
delta_rise=0.5_fall=0.8,8.636363636363637,3.844068093066541,forage_phonologicaldynamicglobal,5.232919689312316,1.69877503528796,3.6814263062275216,1.4480473049150608,0.020331156010210575,0.08974735210383644
delta_rise=0.5_fall=0.8,8.636363636363637,3.844068093066541,forage_phonologicaldynamiclocal,5.228671219653118,1.7334136057789653,3.814288152653125,1.5822875184565053,-0.03556842063757052,0.36363917723037764
delta_rise=0.5_fall=0.8,8.636363636363637,3.844068093066541,forage_phonologicaldynamicswitch,5.241868453918427,1.68007879641018,3.7591787293560652,1.5361266463035412,-0.098061285073175,0.605500622308077
delta_rise=0.5_fall=1.0,7.090909090909091,3.383235284714254,forage_dynamic,5.334557323971434,1.6874207010557654,3.4429721961165525,1.3793533895568288,,
delta_rise=0.5_fall=1.0,7.090909090909091,3.383235284714254,forage_phonologicaldynamicglobal,5.336878280344326,1.68947472836492,3.379876718967206,1.317103498079968,0.02038645999137137,0.08991480555250703
delta_rise=0.5_fall=1.0,7.090909090909091,3.383235284714254,forage_phonologicaldynamiclocal,5.331228719301727,1.7223266585176242,3.4725429020830187,1.3782359054092355,-0.035828774783258514,0.3830480412602662
delta_rise=0.5_fall=1.0,7.090909090909091,3.383235284714254,forage_phonologicaldynamicswitch,5.335747844575963,1.6735701831605443,3.4417727165273835,1.380082035415119,-0.054737316120815026,0.5635393884186165
delta_rise=0.8_fall=0.0,15.045454545454545,5.62443752927003,forage_dynamic,4.803712809131125,1.7745103102318414,4.980829422772539,1.881891923299802,,
