Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_dynamic,5.045438364448668,1.7558104439610311,3.751788563958257,1.3923520290299845,,
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamicglobal,5.050983997883763,1.7529265434790606,3.7000408450440845,1.3581289972022481,0.020690015033590636,0.09079327199782859
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamiclocal,5.052040911304034,1.7942903669633397,3.797081555815929,1.4181876020179651,-0.02835431382282221,0.3987574556658673
delta_rise=0.0_fall=0.0,10.954545454545455,4.2477509849039015,forage_phonologicaldynamicswitch,5.060415495263329,1.7312045825682638,3.753288710231963,1.3914431436531394,0.034146421589156276,0.10939079154168888
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_dynamic,5.1268471689077595,1.724765899284101,3.7560851284736105,1.3838541061060197,,
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamicglobal,5.132509939608271,1.7212072982833535,3.7116206012589585,1.357163163049741,0.01949928457348377,0.09100401143965883
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamiclocal,5.132060079890077,1.7611573706151866,3.792085519206186,1.4089974881541474,-0.026064152585961186,0.3549648186780794
delta_rise=0.0_fall=0.2,10.113636363636363,3.8918090505509664,forage_phonologicaldynamicswitch,5.134845951350276,1.6982971005111431,3.7573074749203683,1.3825396980706304,-0.013039726516446365,0.34972965869761163
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_dynamic,5.214998443784483,1.7208498699612103,3.6315788771632254,1.3287562870676033,,
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamicglobal,5.217690215995211,1.7165016704209848,3.585360987926371,1.2907815276689059,0.019094625036212,0.09036523105057644
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamiclocal,5.220343959104923,1.7566179534001027,3.6718166068577536,1.3409563122218051,-0.024354248204017957,0.31369513653906295
delta_rise=0.0_fall=0.5,8.772727272727273,3.495865326377046,forage_phonologicaldynamicswitch,5.223110631894733,1.6994047102243006,3.632775226769115,1.3272776440088863,-0.008934318933173509,0.372126587154517
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_dynamic,5.324346426224094,1.7082270107740603,3.2665915061765802,1.1753046916717491,,
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamicglobal,5.32772411379042,1.7068866040558204,3.2214033919754828,1.1316990496466626,0.01960237897978827,0.09047371114644352
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamiclocal,5.320557433029323,1.7461962367960553,3.26775035563153,1.1775205377322202,-0.018769401057009385,0.3453876973961578
delta_rise=0.0_fall=0.8,6.681818181818182,2.967802425982805,forage_phonologicaldynamicswitch,5.321478115001002,1.6914646696707447,3.266368019849456,1.1764114992553698,-0.06480974499528867,0.5500390856586963
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_dynamic,5.390716002151056,1.7190236224410893,3.0374154012114185,1.0943248978074602,,
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamicglobal,5.39604299733118,1.718377945113982,3.004620986203724,1.0762106021809945,0.020002835486431978,0.09113594845172199
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamiclocal,5.388880496457795,1.7513927676418444,3.0480849070438647,1.1302176989485804,-0.018225482591254547,0.3455392339391695
delta_rise=0.0_fall=1.0,5.363636363636363,2.42234774444986,forage_phonologicaldynamicswitch,5.383647756991544,1.7061259385908216,3.0367050062325163,1.0943041621226268,-0.05138792096179476,0.5486285575637094
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_dynamic,4.992271343184971,1.769759615828108,4.033666919229673,1.4586745596842694,,
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamicglobal,4.997211651896091,1.770182471541524,3.966756279428893,1.414469629382014,0.020251525644892302,0.09048266071258415
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamiclocal,4.995755560539108,1.8111890420530146,4.101865650611612,1.5109595114953913,-0.032534583992534144,0.37587362085578435
delta_rise=0.2_fall=0.0,11.977272727272727,4.5849984453434285,forage_phonologicaldynamicswitch,5.012485168352736,1.7458434968516652,4.035285180365781,1.4577663003700674,0.03119309703060966,0.09534993716305293
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_dynamic,5.084124281268558,1.7369310106504807,4.006106101622424,1.437592643093919,,
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamicglobal,5.087944111763643,1.7361070219805546,3.946625332555278,1.3976799419712151,0.019135123576970642,0.09046754079116653
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamiclocal,5.086816728473294,1.7769315037237183,4.055489248297864,1.4730805695116722,-0.03331189647916048,0.36061662640223413
delta_rise=0.2_fall=0.2,11.068181818181818,4.297979056131166,forage_phonologicaldynamicswitch,5.09630125428745,1.7117111391237294,4.0074343614686,1.4363155955939553,-0.014084098301978414,0.3399275864450577
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_dynamic,5.190331303555404,1.7313858272877194,3.837921297711994,1.3921699389418072,,
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamicglobal,5.190257791508495,1.7305171670367145,3.7735894320316574,1.3343133322567404,0.01883991908058732,0.08954125752057158
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamiclocal,5.190565913101631,1.7683310555932943,3.8841712090269724,1.4057848946882334,-0.03245724876201585,0.3306852469905241
delta_rise=0.2_fall=0.5,9.568181818181818,3.9392992412860304,forage_phonologicaldynamicswitch,5.2020710110506165,1.710048041263202,3.8392510099504893,1.391155754469054,-0.01145024604484628,0.3890645695068856
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_dynamic,5.310492392846876,1.716232687596428,3.4443584669419143,1.2554658750925975,,
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamicglobal,5.309848206936368,1.7162701205268722,3.380120833088641,1.1793126148716124,0.01919877707128887,0.0893871114756006
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamiclocal,5.3038413141947265,1.751985302463077,3.438537848585308,1.2392047690984032,-0.02130015605494425,0.34490271456582
delta_rise=0.2_fall=0.8,7.318181818181818,3.1172010119272597,forage_phonologicaldynamicswitch,5.309785973761805,1.6982208261973448,3.443853960220716,1.2570426722757195,-0.07531469362584521,0.481098889304698
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_dynamic,5.392662429556697,1.7155684230068275,3.213144389755463,1.2167793747511662,,
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamicglobal,5.393244967087775,1.7169850181253714,3.1633831737922677,1.1630326482068531,0.01942551697028182,0.09004029553802198
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamiclocal,5.386625770485076,1.7465449557107255,3.2205602956987387,1.236937048019097,-0.014730341514501333,0.3051023731174408
delta_rise=0.2_fall=1.0,5.795454545454546,2.4641017675130947,forage_phonologicaldynamicswitch,5.383592646201853,1.7032761897172803,3.2118675352180315,1.2172750106485364,-0.07206056609813953,0.5506232067874226
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_dynamic,4.8913335965710765,1.759697342392493,4.57004500389561,1.7973647743906054,,
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamicglobal,4.89998545774782,1.7585414122293237,4.486150856675066,1.7172667852258943,0.021289031585760215,0.09104716884400814
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamiclocal,4.905789013350091,1.798720059781025,4.790487381220523,2.0463540514651943,-0.10551618817336247,0.5357008657964055
delta_rise=0.5_fall=0.0,13.5,5.180821275715761,forage_phonologicaldynamicswitch,4.924035680876781,1.739909305874259,4.573451974663268,1.7968385771651099,0.03893318034079078,0.09045122788075606
