Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAJ-663,cheese,0.0001,4.57,0.0001
CAJ-663,coffee,0.3552700663662566,4.86,0.0001
CAJ-663,tea,0.6506023988019253,4.73,0.0001
CAJ-663,soda,0.45314309154941823,4.04,0.0001
CAJ-663,water,0.5172541317664844,5.52,0.0001
CAJ-663,asparagus,0.44860207745530034,3.25,0.0001
CAJ-663,cauliflower,0.8003738546188606,3.2,0.0001
CAJ-663,carrots,0.8419730855436903,3.63,0.25
CAJ-663,salad,0.7293861124573902,4.15,0.3333
CAJ-663,chicken,0.6084158981244626,4.63,0.2
CAJ-663,lemonade,0.5504049362822019,3.44,0.2857
CAJ-663,bananas,0.6029434565156134,3.7,0.1429
CAJ-663,apples,0.6227710667310971,3.96,0.2857
CAJ-663,peaches,0.6000417456915298,3.5,0.2
CAJ-663,corn,0.5165317133683293,4.19,0.0001
CAJ-663,rice,0.5115078499568704,4.55,0.0001
CAJ-663,pork,0.6967222744262138,4.03,0.0001
CAJ-663,sprouts,0.6493362801805969,3.23,0.1429
CAJ-663,sandwich,0.5019653421252512,4.13,0.125
CAJ-663,burger,0.14998115456751382,4.07,0.0625
CAJ-663,sausage,0.2745074515896434,3.8,0.375
CAJ-663,meat,0.5893427581747724,4.63,0.1429
CAJ-663,pie,0.37589873053946676,4.19,0.3333
CAJ-663,snack,0.46436070583916744,3.9,0.1429
CAM-666,strawberries,0.0001,3.54,0.0001
CAM-666,raspberries,0.800296401828865,2.98,0.5556
CAM-666,apricots,0.8063950328915677,2.74,0.0001
CAM-666,bread,0.49850795148523863,4.5,0.125
CAM-666,jam,0.48513519366370317,4.17,0.0001
CAM-666,butter,0.6217493870897149,4.4,0.0001
CAM-666,toast,0.5098907394191297,3.96,0.0001
CAM-666,burger,0.20855705976747474,4.07,0.0001
CAM-666,cheese,0.07043326592533372,4.57,0.125
CAM-666,soda,0.45244750715405924,4.04,0.0001
CAM-666,water,0.5172541317664844,5.52,0.0001
CAM-666,milk,0.45741591809604865,4.66,0.0001
CAM-666,cucumbers,0.53878292707443,3.04,0.125
CAM-666,pickles,0.7818125350414448,3.48,0.375
CAM-666,chocolate,0.6526327246360221,4.49,0.1667
CAM-666,vanilla,0.6953702562697336,3.84,0.1667
CAM-666,cinnamon,0.8800478291873126,3.7,0.2857
CAM-666,sugar,0.6901965902394543,4.68,0.0001
CAM-666,rosemary,0.40542661286985515,3.57,0.0001
CAM-666,berries,0.5343270483443289,3.57,0.375
CAM-666,juice,0.6018696616067396,4.36,0.4
CAM-666,dessert,0.5430187167251714,3.83,0.1
CAM-666,juice,0.5430187167251714,4.36,0.1
CAM-666,spices,0.6614397886520177,3.55,0.0001
CAM-666,peanuts,0.5972880201718398,3.52,0.0001
CAM-666,pie,0.4576066441004787,4.19,0.3333
CAM-666,snack,0.46436070583916744,3.9,0.1429
CAM-666,juice,0.41564400926665535,4.36,0.1
CAP-671,grapes,0.0001,3.73,0.0001
CAP-671,water,0.32941512870742784,5.52,0.0001
CAP-671,chips,0.4221154142013481,4.21,0.0001
CAP-671,cookies,0.5113242245863833,4.12,0.0001
CAP-671,carrot,0.5719544606186845,3.62,0.2
CAP-671,soda,0.5747094199071228,4.04,0.2
CAP-671,apple,0.35450809879429646,4.76,0.0001
CAP-671,watermelon,0.35070717627881587,3.35,0.1111
CAP-671,pear,0.35120310452741266,3.47,0.0001
CAP-671,orange,0.3966883429080186,4.62,0.0001
CAP-671,pepper,0.34597736683413616,4.14,0.0001
CAP-671,tomato,0.6899373419584872,3.85,0.0001
CAP-671,juice,0.7115362720706957,4.36,0.0001
CAP-671,corn,0.3504147388587371,4.19,0.1
CAP-671,potatoes,0.5629759673416791,4.09,0.0001
CAP-671,sprouts,0.6060356968605367,3.23,0.0001
CAP-671,fruit,0.46684622681722576,4.57,0.1111
CAP-671,burger,0.09717157937697474,4.07,0.0001
CAP-671,dessert,0.19367713366537886,3.83,0.0001
CAP-671,pie,0.5502601586262932,4.19,0.0001
CAS-674,breakfast,0.0001,4.61,0.0001
CAS-674,water,0.21934674102875107,5.52,0.1667
CAS-674,steak,0.4562209840708953,3.97,0.0001
CAS-674,apple,0.41100452664081055,4.76,0.0001
CAS-674,orange,0.3560322688738987,4.62,0.2
CAS-674,pear,0.3966883429080186,3.47,0.0001
CAS-674,strawberries,0.5919500864410073,3.54,0.1111
CAS-674,grapes,0.6665884450736761,3.73,0.1111
CAS-674,salad,0.5203762988980833,4.15,0.0001
CAS-674,tomato,0.7675279281357917,3.85,0.0001
CAS-674,soda,0.6488495363588094,4.04,0.0001
CAS-674,rolls,0.4057831884479166,4.23,0.25
CAS-674,pancakes,0.2950105082915673,3.59,0.0001
CAS-674,bacon,0.46289852074981763,4.15,0.1429
CAS-674,eggs,0.29718959473240414,4.5,0.0001
CAS-674,sausage,0.4765962400031397,3.8,0.2857
CAS-674,lobster,0.5968722729367127,3.65,0.1429
CAS-674,crab,0.5775537419897624,3.76,0.0001
