Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,11.409090909090908,4.539314034171512,forage_dynamic,4.684925229251314,1.8325448427603748,3.790647623779607,1.4848512466259138,,
delta_rise=0.0_fall=0.0,11.409090909090908,4.539314034171512,forage_phonologicaldynamicglobal,4.6990464017344555,1.8326517871557397,3.7121609396149378,1.4440285656324814,0.018729512445030558,0.08923522904079537
delta_rise=0.0_fall=0.0,11.409090909090908,4.539314034171512,forage_phonologicaldynamiclocal,4.695225094239922,1.847175251499425,3.781686261453801,1.623137444489642,0.018556136702778704,0.16849704434460436
delta_rise=0.0_fall=0.0,11.409090909090908,4.539314034171512,forage_phonologicaldynamicswitch,4.705734721527835,1.8422064367092836,3.7905693028482346,1.482888505345912,-0.01933108984303477,0.37862294891397513
delta_rise=0.0_fall=0.2,10.5,4.309081319513687,forage_dynamic,4.740433148230863,1.825060760006926,3.780213419452193,1.4582388988965966,,
delta_rise=0.0_fall=0.2,10.5,4.309081319513687,forage_phonologicaldynamicglobal,4.751815794911196,1.825282483143551,3.709593842184852,1.4313773923986362,0.017227566007651282,0.08893034553967538
delta_rise=0.0_fall=0.2,10.5,4.309081319513687,forage_phonologicaldynamiclocal,4.7439212095195,1.8388453992162137,3.7184270749592896,1.5166088240389857,0.02532132476023743,0.15657468735334204
delta_rise=0.0_fall=0.2,10.5,4.309081319513687,forage_phonologicaldynamicswitch,4.756498954840871,1.831041933389721,3.780539055303473,1.4568087887000025,-0.019496946760192514,0.34168205154736636
delta_rise=0.0_fall=0.5,8.454545454545455,3.2365423852578,forage_dynamic,4.842632739309928,1.8362310758146132,3.6504808992935223,1.3858753124499725,,
delta_rise=0.0_fall=0.5,8.454545454545455,3.2365423852578,forage_phonologicaldynamicglobal,4.852633055025297,1.8385827773737766,3.5973979754839718,1.3659453578446112,0.015563560721079589,0.08930141676042021
delta_rise=0.0_fall=0.5,8.454545454545455,3.2365423852578,forage_phonologicaldynamiclocal,4.849910267726907,1.8510897609970811,3.5866976417260914,1.4399435372338925,0.026125096051131554,0.13547996910118745
delta_rise=0.0_fall=0.5,8.454545454545455,3.2365423852578,forage_phonologicaldynamicswitch,4.844960923617537,1.842255042331527,3.650060724466131,1.3849911265184,-0.05792870619238348,0.4784338039913684
delta_rise=0.0_fall=0.8,6.568181818181818,2.3490590695843934,forage_dynamic,4.927726357609662,1.831580288256035,3.418333782787778,1.3988043023138306,,
delta_rise=0.0_fall=0.8,6.568181818181818,2.3490590695843934,forage_phonologicaldynamicglobal,4.936924014334137,1.8365761765379225,3.363373763567256,1.3604233630329579,0.015557426820568909,0.08877731586145036
delta_rise=0.0_fall=0.8,6.568181818181818,2.3490590695843934,forage_phonologicaldynamiclocal,4.935656647273031,1.84317343543652,3.3687597646472693,1.438460984895975,0.019411396336562577,0.12334223503810506
delta_rise=0.0_fall=0.8,6.568181818181818,2.3490590695843934,forage_phonologicaldynamicswitch,4.930640783756274,1.8377726506121326,3.417216154423642,1.3986518299111153,-0.07929935021404505,0.5186666834502777
delta_rise=0.0_fall=1.0,5.590909090909091,2.048482607135227,forage_dynamic,4.9574432485779525,1.8238564958230967,3.2829291656349926,1.4192101193044095,,
delta_rise=0.0_fall=1.0,5.590909090909091,2.048482607135227,forage_phonologicaldynamicglobal,4.9654883645243455,1.8250997233119983,3.217175763869055,1.3725880532585175,0.015966861280023222,0.08820899285339334
delta_rise=0.0_fall=1.0,5.590909090909091,2.048482607135227,forage_phonologicaldynamiclocal,4.962423844431032,1.8386636311345577,3.2246192325896725,1.4367409877393813,0.019944983205366154,0.11752385015880258
delta_rise=0.0_fall=1.0,5.590909090909091,2.048482607135227,forage_phonologicaldynamicswitch,4.953495491951614,1.8047203855649776,3.281382679672907,1.4201567786542932,-0.06835352169458872,0.5080083846418303
delta_rise=0.2_fall=0.0,12.181818181818182,4.918761518515922,forage_dynamic,4.6471967099015,1.8407204600195184,3.921099634239883,1.5210629274721734,,
delta_rise=0.2_fall=0.0,12.181818181818182,4.918761518515922,forage_phonologicaldynamicglobal,4.658359529037432,1.8361625899281944,3.8407378910279344,1.492927680909254,0.018622438367663013,0.08914956322683212
delta_rise=0.2_fall=0.0,12.181818181818182,4.918761518515922,forage_phonologicaldynamiclocal,4.651856502620995,1.847436102811896,3.9237820556955754,1.7102373661512418,0.018456316854794454,0.17121884535230306
delta_rise=0.2_fall=0.0,12.181818181818182,4.918761518515922,forage_phonologicaldynamicswitch,4.659737021412574,1.8179693182418706,3.920585087720463,1.5199868253082998,-0.016566103879233705,0.3686020400363152
delta_rise=0.2_fall=0.2,11.25,4.720000963019933,forage_dynamic,4.705084752236981,1.8329043335636719,3.904422429167583,1.4935154246432918,,
delta_rise=0.2_fall=0.2,11.25,4.720000963019933,forage_phonologicaldynamicglobal,4.714914045979589,1.828587217768205,3.833700431027179,1.4804436283658506,0.016991326102602358,0.08913024626388165
delta_rise=0.2_fall=0.2,11.25,4.720000963019933,forage_phonologicaldynamiclocal,4.704307972055864,1.8396704027912567,3.852187189184664,1.6068296040777943,0.025198399536877077,0.15980999136611712
delta_rise=0.2_fall=0.2,11.25,4.720000963019933,forage_phonologicaldynamicswitch,4.713999504536781,1.8067711559750348,3.9044214381066293,1.493013500236953,-0.018443049021531124,0.34648800704363925
delta_rise=0.2_fall=0.5,9.090909090909092,3.5917720482069844,forage_dynamic,4.818185655185611,1.8525068998125382,3.7792196475391475,1.426595843393238,,
delta_rise=0.2_fall=0.5,9.090909090909092,3.5917720482069844,forage_phonologicaldynamicglobal,4.826017563391106,1.8508343285406796,3.727161539467656,1.4180314684557789,0.015110006974256464,0.08942277125988347
delta_rise=0.2_fall=0.5,9.090909090909092,3.5917720482069844,forage_phonologicaldynamiclocal,4.8220509468516966,1.8606015405564933,3.7234194630874806,1.513243642456954,0.024732499553089496,0.13453426844499325
delta_rise=0.2_fall=0.5,9.090909090909092,3.5917720482069844,forage_phonologicaldynamicswitch,4.814344909238616,1.8271023904380124,3.778672181378034,1.4266656641404238,-0.03551760416062742,0.3612755778772068
delta_rise=0.2_fall=0.8,7.068181818181818,2.7336100612454124,forage_dynamic,4.91331614178592,1.8445749610696442,3.5178377763596838,1.4188244080877934,,
delta_rise=0.2_fall=0.8,7.068181818181818,2.7336100612454124,forage_phonologicaldynamicglobal,4.9208054912978065,1.8455323070165432,3.4626078417047155,1.3869283415271545,0.01513599337696876,0.0888547435592605
delta_rise=0.2_fall=0.8,7.068181818181818,2.7336100612454124,forage_phonologicaldynamiclocal,4.917162745373312,1.8514674575060768,3.471683088796006,1.4873949749969855,0.01956964170582309,0.12384121768796548
