Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,11.340909090909092,4.552437817548376,forage_dynamic,4.76323305143082,1.8207107490950685,2.7203215563035417,0.808783052297437,,
delta_rise=0.0_fall=0.0,11.340909090909092,4.552437817548376,forage_phonologicaldynamicglobal,4.777523441782921,1.826129545110292,2.681952325456654,0.7740171228618989,0.015721066663193083,0.09161506026879421
delta_rise=0.0_fall=0.0,11.340909090909092,4.552437817548376,forage_phonologicaldynamiclocal,4.793221733025333,1.8976901165929256,2.758337601487241,0.901114738040386,-0.024292459108100538,0.35714747863534163
delta_rise=0.0_fall=0.0,11.340909090909092,4.552437817548376,forage_phonologicaldynamicswitch,4.775194772592887,1.7912749214426242,2.7200282226332257,0.8081580499202781,0.022758673172296164,0.09684083712909354
delta_rise=0.0_fall=0.2,10.568181818181818,3.921952941588292,forage_dynamic,4.807946903188169,1.8258883080436614,2.717544443500354,0.8066376696298344,,
delta_rise=0.0_fall=0.2,10.568181818181818,3.921952941588292,forage_phonologicaldynamicglobal,4.82110011912287,1.832278092843717,2.684049690462633,0.7764060060313588,0.014675313541772704,0.09173580097128672
delta_rise=0.0_fall=0.2,10.568181818181818,3.921952941588292,forage_phonologicaldynamiclocal,4.841746901270439,1.9085541581605585,2.7694961735872026,0.8943863530850018,-0.02827108927797412,0.35537526528970165
delta_rise=0.0_fall=0.2,10.568181818181818,3.921952941588292,forage_phonologicaldynamicswitch,4.820392099409189,1.798554513949655,2.717156501923979,0.8060369418469625,0.026647465316959374,0.09833281932097837
delta_rise=0.0_fall=0.5,9.022727272727273,3.5833493496983335,forage_dynamic,4.889176688150768,1.8319327366578384,2.6000714767710122,0.7851185426558641,,
delta_rise=0.0_fall=0.5,9.022727272727273,3.5833493496983335,forage_phonologicaldynamicglobal,4.900314630757568,1.8375675949484314,2.571350122637865,0.7551300377006261,0.01347563462892944,0.09135042391422044
delta_rise=0.0_fall=0.5,9.022727272727273,3.5833493496983335,forage_phonologicaldynamiclocal,4.913071969805589,1.9093441486795362,2.616684177863596,0.8422898908321045,-0.01991153123004916,0.3591162326097108
delta_rise=0.0_fall=0.5,9.022727272727273,3.5833493496983335,forage_phonologicaldynamicswitch,4.888224973474235,1.80409503024596,2.5994491071960955,0.7848826538730508,0.016732567716822508,0.11793640016288187
delta_rise=0.0_fall=0.8,7.181818181818182,3.1498392980128025,forage_dynamic,4.999586575336533,1.8340937205080552,2.4207872426329153,0.7318944594765809,,
delta_rise=0.0_fall=0.8,7.181818181818182,3.1498392980128025,forage_phonologicaldynamicglobal,5.007911098033642,1.8536219098277869,2.4006171397339373,0.7251974851147298,0.013182254945364647,0.09152767866116826
delta_rise=0.0_fall=0.8,7.181818181818182,3.1498392980128025,forage_phonologicaldynamiclocal,5.01187993759659,1.9014822244627034,2.403072999735258,0.7574859735037809,-0.02154139747505721,0.34943727163931604
delta_rise=0.0_fall=0.8,7.181818181818182,3.1498392980128025,forage_phonologicaldynamicswitch,4.991362463986833,1.8233658773652242,2.420327126368344,0.7323273285280044,0.01624658733215896,0.1393151375595627
delta_rise=0.0_fall=1.0,6.113636363636363,2.586818940591892,forage_dynamic,5.047988057470071,1.8362649455315923,2.324962774620079,0.7430402902106532,,
delta_rise=0.0_fall=1.0,6.113636363636363,2.586818940591892,forage_phonologicaldynamicglobal,5.055903517789812,1.8577272261162205,2.299689233836279,0.7210149320568755,0.013402600877948102,0.09095639210693088
delta_rise=0.0_fall=1.0,6.113636363636363,2.586818940591892,forage_phonologicaldynamiclocal,5.054894006629211,1.8993814752210973,2.2893800424936326,0.7405471517989077,-0.02505835067928812,0.3952847873033231
delta_rise=0.0_fall=1.0,6.113636363636363,2.586818940591892,forage_phonologicaldynamicswitch,5.036355939355054,1.8263747326151742,2.3239530535244017,0.7441131205776833,0.0027644074579488784,0.15293559357153738
delta_rise=0.2_fall=0.0,12.272727272727273,4.928413152156291,forage_dynamic,4.737936600903774,1.824869604708465,2.9111039595999513,0.8360083845105507,,
delta_rise=0.2_fall=0.0,12.272727272727273,4.928413152156291,forage_phonologicaldynamicglobal,4.751991819366325,1.8302203726217432,2.8669021744962215,0.7850275561580148,0.016357033374067183,0.09112407442461513
delta_rise=0.2_fall=0.0,12.272727272727273,4.928413152156291,forage_phonologicaldynamiclocal,4.765546430843268,1.898274258156072,2.9641396696329823,0.9216428818550363,-0.031160557301979086,0.391835534534705
delta_rise=0.2_fall=0.0,12.272727272727273,4.928413152156291,forage_phonologicaldynamicswitch,4.753459673914363,1.7929554472542608,2.9107328879450307,0.8355622524778867,0.027195970485708643,0.09586994329502779
delta_rise=0.2_fall=0.2,11.477272727272727,4.239900493920477,forage_dynamic,4.787843768321247,1.8315386972940453,2.896429030550884,0.8360670115213901,,
delta_rise=0.2_fall=0.2,11.477272727272727,4.239900493920477,forage_phonologicaldynamicglobal,4.800508795876507,1.8373243101320673,2.857336603112949,0.792340009735148,0.015359554078860332,0.09127148658674729
delta_rise=0.2_fall=0.2,11.477272727272727,4.239900493920477,forage_phonologicaldynamiclocal,4.8183592733010405,1.9094596793398828,2.9680618717713187,0.926131245765262,-0.026851000073142395,0.3280657019955254
delta_rise=0.2_fall=0.2,11.477272727272727,4.239900493920477,forage_phonologicaldynamicswitch,4.804187021494496,1.802133221098434,2.896087806127275,0.8357827394939443,0.030248421938264124,0.09950075743879933
delta_rise=0.2_fall=0.5,9.840909090909092,3.831349049250157,forage_dynamic,4.87622128253669,1.8325559798263307,2.766501348255048,0.822353867086334,,
delta_rise=0.2_fall=0.5,9.840909090909092,3.831349049250157,forage_phonologicaldynamicglobal,4.888111585191033,1.8376286086083211,2.7332604070625988,0.7756777787981046,0.013865031120330813,0.09114726247226927
delta_rise=0.2_fall=0.5,9.840909090909092,3.831349049250157,forage_phonologicaldynamiclocal,4.899479059616869,1.906886586641218,2.79827303375667,0.8871362352258386,-0.021183661821812014,0.3560028284271388
delta_rise=0.2_fall=0.5,9.840909090909092,3.831349049250157,forage_phonologicaldynamicswitch,4.878035176936414,1.8035519019457273,2.765790905648803,0.8223662670548965,0.01572161363275885,0.11599761607790827
delta_rise=0.2_fall=0.8,7.863636363636363,3.347936332421872,forage_dynamic,4.99872633879368,1.8427846222724795,2.5512907759865966,0.7741125602300357,,
delta_rise=0.2_fall=0.8,7.863636363636363,3.347936332421872,forage_phonologicaldynamicglobal,5.006902782104148,1.8603189726731666,2.5270805327309045,0.7550996548040807,0.013547486852765845,0.09132011661082422
delta_rise=0.2_fall=0.8,7.863636363636363,3.347936332421872,forage_phonologicaldynamiclocal,5.010791389836879,1.9077026176312861,2.536583107485538,0.8032302083627527,-0.028221546347544268,0.38570060883653606
delta_rise=0.2_fall=0.8,7.863636363636363,3.347936332421872,forage_phonologicaldynamicswitch,4.991223908255962,1.8296563561333987,2.550694770039038,0.7745156202819614,0.011494213173507474,0.14091027942704734
delta_rise=0.2_fall=1.0,6.795454545454546,2.8490791610827,forage_dynamic,5.045083628507584,1.8423907231971746,2.4442286454488773,0.7826826648598293,,
delta_rise=0.2_fall=1.0,6.795454545454546,2.8490791610827,forage_phonologicaldynamicglobal,5.052302842292826,1.8619398264181033,2.4151323045045365,0.7504537722300086,0.013655076326926164,0.09070769116451896
delta_rise=0.2_fall=1.0,6.795454545454546,2.8490791610827,forage_phonologicaldynamiclocal,5.051628432716595,1.904131620534179,2.4075387659122676,0.7865030609920379,-0.02544626528033106,0.4020611026809338
delta_rise=0.2_fall=1.0,6.795454545454546,2.8490791610827,forage_phonologicaldynamicswitch,5.032636497520259,1.830407491117968,2.4429615049944298,0.7834821474914881,-0.004739206232609929,0.14929569880120694
delta_rise=0.5_fall=0.0,13.659090909090908,5.50596033163641,forage_dynamic,4.687982172953026,1.8403176916446302,3.2280554916013404,1.0307479175635779,,
delta_rise=0.5_fall=0.0,13.659090909090908,5.50596033163641,forage_phonologicaldynamicglobal,4.6993039161477475,1.8330815774985396,3.174672859835212,0.9604230832290035,0.01742948886177997,0.09112793735652944
delta_rise=0.5_fall=0.0,13.659090909090908,5.50596033163641,forage_phonologicaldynamiclocal,4.710247450391743,1.8632049719461004,3.386274050338848,1.251332109181068,-0.03868155405978183,0.41028709921697454
delta_rise=0.5_fall=0.0,13.659090909090908,5.50596033163641,forage_phonologicaldynamicswitch,4.713191245421479,1.8120703316529274,3.227623190943584,1.029514360260392,0.03472326727329674,0.08851455187294423
delta_rise=0.5_fall=0.2,13.045454545454545,5.0809561799408725,forage_dynamic,4.726979008118058,1.8497165312408406,3.2091247788093584,1.012618933697399,,
delta_rise=0.5_fall=0.2,13.045454545454545,5.0809561799408725,forage_phonologicaldynamicglobal,4.737157483537083,1.8430552895455723,3.1604436236785007,0.9496220183232642,0.01657622129978073,0.09125497517709336
delta_rise=0.5_fall=0.2,13.045454545454545,5.0809561799408725,forage_phonologicaldynamiclocal,4.750032015216668,1.8779279760989236,3.3818860214092323,1.237383430097002,-0.04244152814331432,0.40288807473104044
delta_rise=0.5_fall=0.2,13.045454545454545,5.0809561799408725,forage_phonologicaldynamicswitch,4.752280856827109,1.8259214172120315,3.208786297377264,1.011685508200858,0.0348030375364724,0.08668686728832438
delta_rise=0.5_fall=0.5,11.431818181818182,4.624036643024475,forage_dynamic,4.821126440672634,1.8515965233126643,3.0793503692612645,1.005850857622675,,
delta_rise=0.5_fall=0.5,11.431818181818182,4.624036643024475,forage_phonologicaldynamicglobal,4.830272486556499,1.8442506932634717,3.037368179212015,0.941088880656501,0.014996477910653882,0.09112858109606613
delta_rise=0.5_fall=0.5,11.431818181818182,4.624036643024475,forage_phonologicaldynamiclocal,4.836705558130735,1.8745946422551223,3.225278234654318,1.239045070458209,-0.028403630426708983,0.36780731072871603
delta_rise=0.5_fall=0.5,11.431818181818182,4.624036643024475,forage_phonologicaldynamicswitch,4.833745399111235,1.8275587683109666,3.078710203057389,1.0052232486774808,0.02269490601334029,0.10504861047052295
delta_rise=0.5_fall=0.8,9.090909090909092,3.8483655433666772,forage_dynamic,4.951928871740377,1.833935238392168,2.804348862463568,0.9161693515617678,,
delta_rise=0.5_fall=0.8,9.090909090909092,3.8483655433666772,forage_phonologicaldynamicglobal,4.953493130122878,1.8311371896020723,2.7835553002477695,0.8959273932901786,0.013748035069264204,0.09146785660193106
delta_rise=0.5_fall=0.8,9.090909090909092,3.8483655433666772,forage_phonologicaldynamiclocal,4.963193559668124,1.865063274111923,2.900452941196497,1.1033973591046136,-0.03113499842363584,0.36943674386309033
delta_rise=0.5_fall=0.8,9.090909090909092,3.8483655433666772,forage_phonologicaldynamicswitch,4.952070042577068,1.8160967761272377,2.804136810404977,0.91554293966566,0.015359413029340878,0.10450195354722733
delta_rise=0.5_fall=1.0,7.909090909090909,3.3426866019727703,forage_dynamic,5.005995551078306,1.832236061834859,2.6634033789622276,0.9123268440146031,,
delta_rise=0.5_fall=1.0,7.909090909090909,3.3426866019727703,forage_phonologicaldynamicglobal,5.006672455709438,1.8319208764380135,2.6380980002615693,0.8849465992734028,0.013916398820366587,0.09079271556433194
delta_rise=0.5_fall=1.0,7.909090909090909,3.3426866019727703,forage_phonologicaldynamiclocal,5.010019592005253,1.8612420993335375,2.7072186996722354,1.0183432313873073,-0.015396427564911915,0.33107592532266317
delta_rise=0.5_fall=1.0,7.909090909090909,3.3426866019727703,forage_phonologicaldynamicswitch,5.0003375060227,1.8161814604404338,2.6626191895133204,0.9125252981583801,-0.0015575156633622577,0.11730874365025985
delta_rise=0.8_fall=0.0,15.136363636363637,6.107338763885585,forage_dynamic,4.6091976709289115,1.8268605499473798,3.527882720542638,1.0272651856673152,,
delta_rise=0.8_fall=0.0,15.136363636363637,6.107338763885585,forage_phonologicaldynamicglobal,4.624911723415168,1.8179614401339241,3.485573725284594,1.0005986256107042,0.01900003320713544,0.09225210475974563
delta_rise=0.8_fall=0.0,15.136363636363637,6.107338763885585,forage_phonologicaldynamiclocal,4.642584668427938,1.8491180885399539,3.9582665935934576,2.072309565510672,-0.15582217364580067,0.7288426911084802
delta_rise=0.8_fall=0.0,15.136363636363637,6.107338763885585,forage_phonologicaldynamicswitch,4.635863953751056,1.798000284252074,3.526636892093573,1.0249241384695256,0.03288039335075033,0.08777620630248142
delta_rise=0.8_fall=0.2,14.590909090909092,5.828293769574661,forage_dynamic,4.642236967738359,1.8337614123221486,3.527787039598219,1.0324640844739428,,
delta_rise=0.8_fall=0.2,14.590909090909092,5.828293769574661,forage_phonologicaldynamicglobal,4.657120252546732,1.8251336283744242,3.4912600648079515,1.010568104516885,0.017926430554892715,0.09245736176223818
delta_rise=0.8_fall=0.2,14.590909090909092,5.828293769574661,forage_phonologicaldynamiclocal,4.676510781376233,1.8584338556497308,3.9574177307465317,2.0628010735590867,-0.1317501574485385,0.6300688995989192
delta_rise=0.8_fall=0.2,14.590909090909092,5.828293769574661,forage_phonologicaldynamicswitch,4.667832472007202,1.808408496605192,3.5262558937153248,1.0302853296964751,0.031470729354586315,0.0866767888313328
delta_rise=0.8_fall=0.5,13.204545454545455,5.383390049936199,forage_dynamic,4.724887617889529,1.8406247145862868,3.392266433019262,1.0179525689463522,,
delta_rise=0.8_fall=0.5,13.204545454545455,5.383390049936199,forage_phonologicaldynamicglobal,4.735470426788163,1.8312296304095235,3.357952169146485,0.9896550000709379,0.01643504243652871,0.09176149904024446
delta_rise=0.8_fall=0.5,13.204545454545455,5.383390049936199,forage_phonologicaldynamiclocal,4.751899715635566,1.860123059933014,3.7859500392569414,2.055222040571082,-0.08410884162645545,0.5197923105268873
delta_rise=0.8_fall=0.5,13.204545454545455,5.383390049936199,forage_phonologicaldynamicswitch,4.740275794475102,1.8135149889773459,3.390324290855233,1.0155694943615992,0.024431853532810008,0.09445053705390867
delta_rise=0.8_fall=0.8,10.795454545454545,4.6200135057582274,forage_dynamic,4.8764928338922156,1.811631641556669,3.114315769983882,0.9897758694801563,,
delta_rise=0.8_fall=0.8,10.795454545454545,4.6200135057582274,forage_phonologicaldynamicglobal,4.875422688281502,1.8061548816342665,3.1051282809778744,1.0142263648107455,0.014573791042971983,0.09168958684061872
delta_rise=0.8_fall=0.8,10.795454545454545,4.6200135057582274,forage_phonologicaldynamiclocal,4.890075621034103,1.8329005278694723,3.2622233478735354,1.2256408437961888,-0.039048009276152366,0.3720218409121073
delta_rise=0.8_fall=0.8,10.795454545454545,4.6200135057582274,forage_phonologicaldynamicswitch,4.879172922518326,1.795437939830063,3.1139346295800325,0.9883296003271866,0.021299058147181124,0.09934470602445683
delta_rise=0.8_fall=1.0,9.568181818181818,4.2286776746440555,forage_dynamic,4.93449503087755,1.8102633727119597,2.9534567299679764,1.0022756218747666,,
delta_rise=0.8_fall=1.0,9.568181818181818,4.2286776746440555,forage_phonologicaldynamicglobal,4.9330869627858585,1.8071683175706863,2.9388462192187492,1.019225173139191,0.01463157126008181,0.09091776366722902
delta_rise=0.8_fall=1.0,9.568181818181818,4.2286776746440555,forage_phonologicaldynamiclocal,4.943025394984132,1.831714523921163,3.0502935277922614,1.1718273982026197,-0.028359016807602454,0.35794225819191733
delta_rise=0.8_fall=1.0,9.568181818181818,4.2286776746440555,forage_phonologicaldynamicswitch,4.932662411644127,1.79768794927524,2.9523766953305053,1.0019021509991832,0.009472672004982537,0.10978372653984309
delta_rise=1.0_fall=0.0,15.977272727272727,6.645191824181246,forage_dynamic,4.58341986467848,1.8541153072151175,3.6351075171340708,0.9609697625307957,,
delta_rise=1.0_fall=0.0,15.977272727272727,6.645191824181246,forage_phonologicaldynamicglobal,4.60035375128329,1.8414779088299713,3.5838201553343088,0.9430669362500458,0.020489196687816857,0.09242755733800723
delta_rise=1.0_fall=0.0,15.977272727272727,6.645191824181246,forage_phonologicaldynamiclocal,4.617284382470212,1.8716469155807294,4.068358810069487,2.0460510028914425,-0.1335980338620051,0.7108138326757406
delta_rise=1.0_fall=0.0,15.977272727272727,6.645191824181246,forage_phonologicaldynamicswitch,4.611810665190372,1.8230610424577516,3.633165790356758,0.9589162758053452,0.03520728014140993,0.09197670836526879
delta_rise=1.0_fall=0.2,15.477272727272727,6.358561287971719,forage_dynamic,4.6136822083591404,1.860357725380109,3.6281124782502903,0.9778053256809777,,
delta_rise=1.0_fall=0.2,15.477272727272727,6.358561287971719,forage_phonologicaldynamicglobal,4.629406904430148,1.8480115084829285,3.583162595375103,0.9647834703272277,0.019418941000221394,0.09260473107472474
delta_rise=1.0_fall=0.2,15.477272727272727,6.358561287971719,forage_phonologicaldynamiclocal,4.647718664123664,1.8812150265187888,4.042822731381615,2.04484764496921,-0.12391775042627252,0.6832336562334924
delta_rise=1.0_fall=0.2,15.477272727272727,6.358561287971719,forage_phonologicaldynamicswitch,4.640432611334408,1.83302732256465,3.626020838784713,0.9758042197249819,0.0342805599646602,0.09070283759583737
delta_rise=1.0_fall=0.5,14.159090909090908,5.892765911067962,forage_dynamic,4.689656754070334,1.8686118201761692,3.4809501859802414,0.9616152775749733,,
