SID,entry,evaluation,replacement
CAJ-663,cheese,FOUND,cheese
CAJ-663,coffee,FOUND,coffee
CAJ-663,tea,FOUND,tea
CAJ-663,soda,FOUND,soda
CAJ-663,water,FOUND,water
CAJ-663,asparagus,FOUND,asparagus
CAJ-663,cauliflower,FOUND,cauliflower
CAJ-663,carrots,FOUND,carrots
CAJ-663,salad,FOUND,salad
CAJ-663,chicken,FOUND,chicken
CAJ-663,lemonade,FOUND,lemonade
CAJ-663,bananas,FOUND,bananas
CAJ-663,apples,FOUND,apples
CAJ-663,peaches,FOUND,peaches
CAJ-663,corn,FOUND,corn
CAJ-663,rice,FOUND,rice
CAJ-663,pork,FOUND,pork
CAJ-663,broccoli,REPLACE,sprouts
CAJ-663,grilledcheesesandwich,REPLACE,sandwich
CAJ-663,hamburgers,REPLACE,burger
CAJ-663,hotdogs,REPLACE,sausage
CAJ-663,meatloaf,REPLACE,meat
CAJ-663,pizza,REPLACE,pie
CAJ-663,popcorn,REPLACE,snack
CAM-666,strawberries,FOUND,strawberries
CAM-666,raspberries,FOUND,raspberries
CAM-666,apricots,FOUND,apricots
CAM-666,bread,FOUND,bread
CAM-666,jam,FOUND,jam
CAM-666,butter,FOUND,butter
CAM-666,toast,FOUND,toast
CAM-666,burger,FOUND,burger
CAM-666,cheese,FOUND,cheese
CAM-666,soda,FOUND,soda
CAM-666,water,FOUND,water
CAM-666,milk,FOUND,milk
CAM-666,cucumbers,FOUND,cucumbers
CAM-666,pickles,FOUND,pickles
CAM-666,chocolate,FOUND,chocolate
CAM-666,vanilla,FOUND,vanilla
CAM-666,cinnamon,FOUND,cinnamon
CAM-666,sugar,FOUND,sugar
CAM-666,rosemary,FOUND,rosemary
CAM-666,blueberries,REPLACE,berries
CAM-666,cranberryjucie,REPLACE,juice
CAM-666,grapejuice,REPLACE,juice
CAM-666,icecream,REPLACE,dessert
CAM-666,lemonjuice,REPLACE,juice
CAM-666,orangejuice,REPLACE,juice
CAM-666,oregano,REPLACE,spices
CAM-666,peanutbutter,REPLACE,peanuts
CAM-666,pizza,REPLACE,pie
CAM-666,popcorn,REPLACE,snack
CAM-666,raspberryjuice,REPLACE,juice
CAM-666,strawberryjuice,REPLACE,juice
CAP-671,grapes,FOUND,grapes
CAP-671,water,FOUND,water
CAP-671,chips,FOUND,chips
CAP-671,cookies,FOUND,cookies
CAP-671,carrot,FOUND,carrot
CAP-671,soda,FOUND,soda
CAP-671,apple,FOUND,apple
CAP-671,watermelon,FOUND,watermelon
CAP-671,pear,FOUND,pear
CAP-671,orange,FOUND,orange
CAP-671,pepper,FOUND,pepper
CAP-671,tomato,FOUND,tomato
CAP-671,juice,FOUND,juice
CAP-671,corn,FOUND,corn
CAP-671,potatoes,FOUND,potatoes
CAP-671,brocolli,REPLACE,sprouts
CAP-671,grapefruit,REPLACE,fruit
CAP-671,hamburger,REPLACE,burger
CAP-671,icecream,REPLACE,dessert
CAP-671,pizza,REPLACE,pie
CAS-674,bagels,REPLACE,breakfast
CAS-674,water,FOUND,water
CAS-674,steak,FOUND,steak
CAS-674,apple,FOUND,apple
CAS-674,orange,FOUND,orange
CAS-674,pear,FOUND,pear
CAS-674,strawberries,FOUND,strawberries
CAS-674,grapes,FOUND,grapes
CAS-674,salad,FOUND,salad
CAS-674,tomato,FOUND,tomato
CAS-674,soda,FOUND,soda
CAS-674,rolls,FOUND,rolls
CAS-674,pancakes,FOUND,pancakes
CAS-674,bacon,FOUND,bacon
CAS-674,eggs,FOUND,eggs
CAS-674,sausage,FOUND,sausage
CAS-674,lobster,FOUND,lobster
CAS-674,crab,FOUND,crab
CAS-674,burgers,REPLACE,burger
CAS-674,cereal,REPLACE,cereals
CAS-674,chewybar,REPLACE,snack
CAS-674,chocolatemilk,REPLACE,milk
CAS-674,fettuccini,REPLACE,noodles
CAS-674,gatorade,REPLACE,electrolyte
CAS-674,hotdogs,REPLACE,sausage
CAS-674,icecream,REPLACE,dessert
CAS-674,pizza,REPLACE,pie
CAS-674,proteinbar,REPLACE,snack
CAS-674,skimmilk,REPLACE,milk
CAS-674,spaghetti,REPLACE,noodles
CAS-674,waffles,REPLACE,breakfast
CAS-674,whitemilk,REPLACE,milk
CAV-678,apple,FOUND,apple
CAV-678,orange,FOUND,orange
CAV-678,water,FOUND,water
CAV-678,beer,FOUND,beer
CAV-678,chicken,FOUND,chicken
CAV-678,watermelon,FOUND,watermelon
CAV-678,orange,FOUND,orange
CAV-678,grapes,FOUND,grapes
CAV-678,steak,FOUND,steak
CAV-678,ribs,FOUND,ribs
CAV-678,broccoli,REPLACE,sprouts
CAV-678,sprite,FOUND,sprite
CAV-678,rice,FOUND,rice
CAV-678,noodles,FOUND,noodles
CAV-678,dietrite,REPLACE,soda
CAV-678,drpepper,REPLACE,pepper
CAV-678,hotdogs,REPLACE,sausage
CAV-678,icecream,REPLACE,dessert
CAV-678,lasagna,REPLACE,casserole
CAV-678,lunchmeats,REPLACE,meat
CAV-678,mountaindew,REPLACE,soda
CAV-678,porkchops,REPLACE,pork
CAV-678,porktenderloin,REPLACE,pork
CAV-678,roastbeef,REPLACE,beef
CAV-678,sauercraut,REPLACE,cabbage
CAV-678,spaghetti,REPLACE,noodles
CAY-681,applejuice,REPLACE,juice
CAY-681,apples,FOUND,apples
CAY-681,bananas,FOUND,bananas
CAY-681,peaches,FOUND,peaches
CAY-681,oranges,FOUND,oranges
CAY-681,sprite,FOUND,sprite
CAY-681,burritos,REPLACE,wrap
CAY-681,milk,FOUND,milk
CAY-681,water,FOUND,water
CAY-681,juice,FOUND,juice
CAY-681,bread,FOUND,bread
CAY-681,sandwiches,FOUND,sandwiches
CAY-681,bologna,FOUND,bologna
CAY-681,turkey,FOUND,turkey
CAY-681,chicken,FOUND,chicken
CAY-681,beef,FOUND,beef
CAY-681,cereal,REPLACE,cereals
CAY-681,chocolatesyrup,REPLACE,chocolate
CAY-681,cranapplejuice,REPLACE,juice
CAY-681,cranberryjuice,REPLACE,juice
CAY-681,drpepper,REPLACE,pepper
CAY-681,drpepper,REPLACE,pepper
CAY-681,empanadas,REPLACE,dumpling
CAY-681,empanidas,REPLACE,dumpling
CAY-681,frenchfries,REPLACE,potatoes
CAY-681,granolabars,REPLACE,breakfast
