Word,Result,,,,,,
Aardvark,NOT IN VOCAB,,,,,*What Animals from AnimalsA-Z are in S2V,
Aardwolf,NOT IN VOCAB,,,,,,
Abyssinian,NOT IN VOCAB,,,,,Row Labels,Count of Word
Abyssinian Guinea Pig,NOT IN VOCAB,,,,,NOT IN VOCAB,2802
Acadian Flycatcher,NOT IN VOCAB,,,,,(blank),
Achrioptera Manga,NOT IN VOCAB,,,,,Grand Total,2802
Ackie Monitor,NOT IN VOCAB,,,,,,
Addax,NOT IN VOCAB,,,,,,
Adélie Penguin,NOT IN VOCAB,,,,,,
Admiral Butterfly,NOT IN VOCAB,,,,,,
Aesculapian Snake,NOT IN VOCAB,,,,,,
Affenpinscher,NOT IN VOCAB,,,,,,
Afghan Hound,NOT IN VOCAB,,,,,,
African Bullfrog,NOT IN VOCAB,,,,,,
African Bush Elephant,NOT IN VOCAB,,,,,,
African Civet,NOT IN VOCAB,,,,,,
African Clawed Frog,NOT IN VOCAB,,,,,,
African Fish Eagle,NOT IN VOCAB,,,,,,
African Forest Elephant,NOT IN VOCAB,,,,,,
African Golden Cat,NOT IN VOCAB,,,,,,
African Grey Parrot,NOT IN VOCAB,,,,,,
African Jacana,NOT IN VOCAB,,,,,,
African Palm Civet,NOT IN VOCAB,,,,,,
African Penguin,NOT IN VOCAB,,,,,,
African Sugarcane Borer,NOT IN VOCAB,,,,,,
African Tree Toad,NOT IN VOCAB,,,,,,
African Wild Dog,NOT IN VOCAB,,,,,,
Africanized bee (killer bee),NOT IN VOCAB,,,,,,
Agama Lizard,NOT IN VOCAB,,,,,,
Agkistrodon Contortrix,NOT IN VOCAB,,,,,,
Agouti,NOT IN VOCAB,,,,,,
Aidi,NOT IN VOCAB,,,,,,
Ainu,NOT IN VOCAB,,,,,,
Airedale Terrier,NOT IN VOCAB,,,,,,
Airedoodle,NOT IN VOCAB,,,,,,
Akbash,NOT IN VOCAB,,,,,,
Akita,NOT IN VOCAB,,,,,,
Akita Shepherd,NOT IN VOCAB,,,,,,
