ForagerWord,Result
aardvark,IN AZ
aardwolf,IN AZ
abalone,NOT IN AZ
abeja,NOT IN AZ
addax,IN AZ
adder,NOT IN AZ
adelgid,NOT IN AZ
adelie penguin,NOT IN AZ
aedes aegypti,NOT IN AZ
affenpinscher,IN AZ
afghan hound,IN AZ
african dog,NOT IN AZ
african elephant,NOT IN AZ
african wild dog,IN AZ
agama,NOT IN AZ
agouti,IN AZ
airedale terrier,IN AZ
akita,IN AZ
albacore,NOT IN AZ
albatross,IN AZ
albino python,NOT IN AZ
alga,NOT IN AZ
alligator,NOT IN AZ
alligator lizard,NOT IN AZ
alligator snapping turtle,NOT IN AZ
allosaurus,IN AZ
alpaca,IN AZ
amberjack,IN AZ
american toad,IN AZ
amoeba,NOT IN AZ
amphibian,NOT IN AZ
amphioxus,NOT IN AZ
amphipod,NOT IN AZ
anaconda,IN AZ
anchovy,NOT IN AZ
anemone,NOT IN AZ
angelfish,IN AZ
anglerfish,IN AZ
angora goat,IN AZ
angora rabbit,NOT IN AZ
anhinga,IN AZ
ankylosaur,NOT IN AZ
annelid,NOT IN AZ
anole,NOT IN AZ
ant,IN AZ
anteater,IN AZ
antelope,IN AZ
antelope squirrel,NOT IN AZ
anthropoid,NOT IN AZ
antlion,NOT IN AZ
apatosaurus,NOT IN AZ
ape,IN AZ
aphid,NOT IN AZ
aplysia,NOT IN AZ
appaloosa,NOT IN AZ
apple maggot,NOT IN AZ
arachnid,NOT IN AZ
arapaima,IN AZ
archaea,NOT IN AZ
archeopteryx,NOT IN AZ
archosaur,NOT IN AZ
arctic char,IN AZ
arctic fox,IN AZ
argali,NOT IN AZ
armadillo,IN AZ
armyworm,IN AZ
arrowhead dogfish,NOT IN AZ
arrowhead shark,NOT IN AZ
arthropod,NOT IN AZ
ascidians,NOT IN AZ
asian elephant,IN AZ
asp,IN AZ
ass,NOT IN AZ
assassin bug,IN AZ
auk,NOT IN AZ
auklet,NOT IN AZ
auroch,NOT IN AZ
australopithecine,NOT IN AZ
avian,NOT IN AZ
avocet,IN AZ
axolotl,IN AZ
aye aye,NOT IN AZ
babirusa,IN AZ
baboon,IN AZ
baby,NOT IN AZ
baca,NOT IN AZ
bacteria,NOT IN AZ
badger,IN AZ
bald eagle,IN AZ
baleen whale,IN AZ
banana slug,NOT IN AZ
bandicoot,IN AZ
bantam,NOT IN AZ
bark beetle,IN AZ
barn owl,IN AZ
barnacle,IN AZ
barnacle goose,NOT IN AZ
barracuda,IN AZ
barramundi,NOT IN AZ
barred owl,IN AZ
basenji,NOT IN AZ
basilisk,NOT IN AZ
basking shark,IN AZ
bass,IN AZ
basset hound,IN AZ
bat,IN AZ
batfish,IN AZ
bay scallop,NOT IN AZ
baya,IN AZ
beaded lizard,NOT IN AZ
beagle,IN AZ
beaked whale,NOT IN AZ
bear,IN AZ
bear cub,NOT IN AZ
bearcat,NOT IN AZ
bearded dragon,IN AZ
bearded vulture,IN AZ
beaver,IN AZ
bedbug,NOT IN AZ
bee,IN AZ
bee eater,NOT IN AZ
bee moth,NOT IN AZ
beef cattle,NOT IN AZ
beefalo,IN AZ
beet armyworm,NOT IN AZ
beetle,IN AZ
bellbird,NOT IN AZ
belted kingfisher,IN AZ
beluga,NOT IN AZ
beluga whale,NOT IN AZ
bengal tiger,IN AZ
bernese mountain dog,IN AZ
bessbug,NOT IN AZ
beta fish,NOT IN AZ
betta,NOT IN AZ
betta fish,NOT IN AZ
bettong,NOT IN AZ
bichon,NOT IN AZ
bigeye,NOT IN AZ
bighorn,NOT IN AZ
bighorn sheep,IN AZ
bilbies,NOT IN AZ
bilby,IN AZ
billfish,NOT IN AZ
billy goat,NOT IN AZ
binturong,IN AZ
bird,IN AZ
bison,IN AZ
biting midge,NOT IN AZ
bittern,NOT IN AZ
bivalve,NOT IN AZ
black bear,NOT IN AZ
black headed gull,NOT IN AZ
black lab,NOT IN AZ
black labrador,NOT IN AZ
black mamba,IN AZ
black panther,NOT IN AZ
black squirrel,NOT IN AZ
black widow,NOT IN AZ
black-capped chickadee,IN AZ
blackbird,NOT IN AZ
blackbuck,NOT IN AZ
blackcap,NOT IN AZ
blackfish,NOT IN AZ
blackfly,NOT IN AZ
blackpoll,NOT IN AZ
blacktail,NOT IN AZ
blacktail deer,NOT IN AZ
blacktip reef shark,IN AZ
blacktip shark,NOT IN AZ
blenny,NOT IN AZ
blister beetle,IN AZ
blobfish,IN AZ
bloodhound,IN AZ
bloodworm,NOT IN AZ
blowfish,NOT IN AZ
blowfly,IN AZ
blubber fish,NOT IN AZ
blue catfish,IN AZ
blue heron,NOT IN AZ
blue jay,IN AZ
blue marlin,NOT IN AZ
blue shark,IN AZ
blue whale,IN AZ
bluebill,NOT IN AZ
bluebird,NOT IN AZ
bluefin,NOT IN AZ
bluefin tuna,IN AZ
bluefish,IN AZ
bluefooted booby,NOT IN AZ
bluegill,IN AZ
bluetick,NOT IN AZ
boa,NOT IN AZ
boa constrictor,NOT IN AZ
boar,NOT IN AZ
bobcat,IN AZ
bobolink,IN AZ
bobtail,NOT IN AZ
bobwhite,NOT IN AZ
bobwhite quail,NOT IN AZ
boll weevil,NOT IN AZ
bollworm,NOT IN AZ
bolognese,NOT IN AZ
bombardier beetle,IN AZ
bonefish,IN AZ
bongo,IN AZ
bonito,NOT IN AZ
bonnethead,NOT IN AZ
bonobo,IN AZ
bony fish,NOT IN AZ
booby,IN AZ
border collie,IN AZ
borzoi,NOT IN AZ
boston terrier,IN AZ
botfly,NOT IN AZ
boto,NOT IN AZ
bottlenose,NOT IN AZ
bottlenose dolphin,IN AZ
bottlenose whale,NOT IN AZ
bovine,NOT IN AZ
bowerbird,NOT IN AZ
bowfin,IN AZ
bowhead,NOT IN AZ
bowhead whale,IN AZ
box turtle,IN AZ
boxelder bug,NOT IN AZ
boxer,NOT IN AZ
boxfish,IN AZ
brachiopod,NOT IN AZ
brachiosaurus,IN AZ
bream,NOT IN AZ
brimfish,NOT IN AZ
brine shrimp,NOT IN AZ
broadbill,NOT IN AZ
broadtail,NOT IN AZ
bronc,NOT IN AZ
bronco,NOT IN AZ
brontosaurus,IN AZ
broodmare,NOT IN AZ
broody hen,NOT IN AZ
brook trout,IN AZ
brown bear,IN AZ
brown bullhead,NOT IN AZ
brown creeper,NOT IN AZ
brown hyena,IN AZ
brown recluse,NOT IN AZ
brown recluse spider,NOT IN AZ
brown thrasher,NOT IN AZ
brown trout,NOT IN AZ
bruin,NOT IN AZ
bryozoan,NOT IN AZ
buck,NOT IN AZ
bucking bronco,NOT IN AZ
budgerigar,IN AZ
budgie,NOT IN AZ
buffalo,IN AZ
bufflehead,NOT IN AZ
bufo,NOT IN AZ
bug,NOT IN AZ
bulbul,NOT IN AZ
bull,NOT IN AZ
bull mastiff,NOT IN AZ
bull shark,IN AZ
bull snake,NOT IN AZ
bull terrier,IN AZ
bulldog,IN AZ
bullfinch,NOT IN AZ
bullfrog,IN AZ
bullhead,NOT IN AZ
bullhead catfish,NOT IN AZ
bullmastiff,IN AZ
bullock,NOT IN AZ
bullsnake,IN AZ
bumblebee,IN AZ
bunny,NOT IN AZ
bunny rabbit,NOT IN AZ
bunting,NOT IN AZ
burbot,NOT IN AZ
burmese mountain dog,NOT IN AZ
burro,NOT IN AZ
bush squirrel,NOT IN AZ
bushbaby,NOT IN AZ
bushbuck,NOT IN AZ
bushmaster,NOT IN AZ
bustard,NOT IN AZ
butterfish,NOT IN AZ
butterflies,NOT IN AZ
butterfly,IN AZ
butterflyfish,NOT IN AZ
buzzard,NOT IN AZ
cactus wren,IN AZ
caddis fly,NOT IN AZ
caecilian,IN AZ
caiman,IN AZ
cairn terrier,IN AZ
calf,NOT IN AZ
calico cat,NOT IN AZ
camel,IN AZ
cameo,NOT IN AZ
canary,NOT IN AZ
canebrake rattlesnake,NOT IN AZ
canine,NOT IN AZ
canis lupus,NOT IN AZ
cankerworm,NOT IN AZ
canvasback,IN AZ
