ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
aardvark,NOT IN VOCAB,,,,,
aardwolf,NOT IN VOCAB,,,,,
abalone,NOT IN VOCAB,,,,Row Labels,Count of ForagerWord
abeja,NOT IN VOCAB,,,,IN VOCAB,446
addax,NOT IN VOCAB,,,,NOT IN VOCAB,1636
adder,IN VOCAB,,,,Grand Total,2082
adelgid,NOT IN VOCAB,,,,,
adelie penguin,NOT IN VOCAB,,,,,
aedes aegypti,NOT IN VOCAB,,,,,
affenpinscher,NOT IN VOCAB,,,,,
afghan hound,NOT IN VOCAB,,,,,
african dog,NOT IN VOCAB,,,,,
african elephant,NOT IN VOCAB,,,,,
african wild dog,NOT IN VOCAB,,,,,
agama,NOT IN VOCAB,,,,,
agouti,NOT IN VOCAB,,,,,
airedale terrier,NOT IN VOCAB,,,,,
akita,NOT IN VOCAB,,,,,
albacore,NOT IN VOCAB,,,,,
albatross,IN VOCAB,,,,,
albino python,NOT IN VOCAB,,,,,
alga,NOT IN VOCAB,,,,,
alligator,IN VOCAB,,,,,
alligator lizard,NOT IN VOCAB,,,,,
alligator snapping turtle,NOT IN VOCAB,,,,,
allosaurus,NOT IN VOCAB,,,,,
alpaca,IN VOCAB,,,,,
amberjack,NOT IN VOCAB,,,,,
american toad,NOT IN VOCAB,,,,,
amoeba,NOT IN VOCAB,,,,,
amphibian,NOT IN VOCAB,,,,,
amphioxus,NOT IN VOCAB,,,,,
amphipod,NOT IN VOCAB,,,,,
anaconda,NOT IN VOCAB,,,,,
anchovy,IN VOCAB,,,,,
anemone,IN VOCAB,,,,,
angelfish,NOT IN VOCAB,,,,,
anglerfish,NOT IN VOCAB,,,,,
angora goat,NOT IN VOCAB,,,,,
angora rabbit,NOT IN VOCAB,,,,,
anhinga,NOT IN VOCAB,,,,,
ankylosaur,NOT IN VOCAB,,,,,
annelid,NOT IN VOCAB,,,,,
anole,NOT IN VOCAB,,,,,
ant,IN VOCAB,,,,,
anteater,NOT IN VOCAB,,,,,
antelope,IN VOCAB,,,,,
antelope squirrel,NOT IN VOCAB,,,,,
anthropoid,NOT IN VOCAB,,,,,
antlion,NOT IN VOCAB,,,,,
apatosaurus,NOT IN VOCAB,,,,,
ape,IN VOCAB,,,,,
aphid,NOT IN VOCAB,,,,,
aplysia,NOT IN VOCAB,,,,,
appaloosa,NOT IN VOCAB,,,,,
apple maggot,NOT IN VOCAB,,,,,
arachnid,NOT IN VOCAB,,,,,
arapaima,NOT IN VOCAB,,,,,
archaea,NOT IN VOCAB,,,,,
archeopteryx,NOT IN VOCAB,,,,,
archosaur,NOT IN VOCAB,,,,,
arctic char,NOT IN VOCAB,,,,,
arctic fox,NOT IN VOCAB,,,,,
argali,NOT IN VOCAB,,,,,
armadillo,NOT IN VOCAB,,,,,
armyworm,NOT IN VOCAB,,,,,
arrowhead dogfish,NOT IN VOCAB,,,,,
arrowhead shark,NOT IN VOCAB,,,,,
arthropod,NOT IN VOCAB,,,,,
ascidians,NOT IN VOCAB,,,,,
asian elephant,NOT IN VOCAB,,,,,
asp,IN VOCAB,,,,,
ass,IN VOCAB,,,,,
assassin bug,NOT IN VOCAB,,,,,
auk,NOT IN VOCAB,,,,,
auklet,NOT IN VOCAB,,,,,
auroch,NOT IN VOCAB,,,,,
australopithecine,NOT IN VOCAB,,,,,
avian,NOT IN VOCAB,,,,,
avocet,NOT IN VOCAB,,,,,
axolotl,NOT IN VOCAB,,,,,
aye aye,NOT IN VOCAB,,,,,
babirusa,NOT IN VOCAB,,,,,
baboon,IN VOCAB,,,,,
baby,IN VOCAB,,,,,
baca,NOT IN VOCAB,,,,,
bacteria,NOT IN VOCAB,,,,,
badger,IN VOCAB,,,,,
bald eagle,NOT IN VOCAB,,,,,
baleen whale,NOT IN VOCAB,,,,,
banana slug,NOT IN VOCAB,,,,,
bandicoot,NOT IN VOCAB,,,,,
bantam,IN VOCAB,,,,,
bark beetle,NOT IN VOCAB,,,,,
barn owl,NOT IN VOCAB,,,,,
barnacle,NOT IN VOCAB,,,,,
barnacle goose,NOT IN VOCAB,,,,,
barracuda,NOT IN VOCAB,,,,,
barramundi,NOT IN VOCAB,,,,,
barred owl,NOT IN VOCAB,,,,,
basenji,NOT IN VOCAB,,,,,
basilisk,IN VOCAB,,,,,
basking shark,NOT IN VOCAB,,,,,
bass,IN VOCAB,,,,,
basset hound,NOT IN VOCAB,,,,,
bat,IN VOCAB,,,,,
batfish,NOT IN VOCAB,,,,,
bay scallop,NOT IN VOCAB,,,,,
baya,NOT IN VOCAB,,,,,
beaded lizard,NOT IN VOCAB,,,,,
beagle,IN VOCAB,,,,,
beaked whale,NOT IN VOCAB,,,,,
bear,IN VOCAB,,,,,
bear cub,NOT IN VOCAB,,,,,
bearcat,NOT IN VOCAB,,,,,
bearded dragon,NOT IN VOCAB,,,,,
bearded vulture,NOT IN VOCAB,,,,,
beaver,IN VOCAB,,,,,
bedbug,NOT IN VOCAB,,,,,
bee,IN VOCAB,,,,,
bee eater,NOT IN VOCAB,,,,,
bee moth,NOT IN VOCAB,,,,,
beef cattle,NOT IN VOCAB,,,,,
beefalo,NOT IN VOCAB,,,,,
beet armyworm,NOT IN VOCAB,,,,,
beetle,IN VOCAB,,,,,
bellbird,NOT IN VOCAB,,,,,
belted kingfisher,NOT IN VOCAB,,,,,
beluga,NOT IN VOCAB,,,,,
beluga whale,NOT IN VOCAB,,,,,
bengal tiger,NOT IN VOCAB,,,,,
bernese mountain dog,NOT IN VOCAB,,,,,
bessbug,NOT IN VOCAB,,,,,
beta fish,NOT IN VOCAB,,,,,
betta,NOT IN VOCAB,,,,,
betta fish,NOT IN VOCAB,,,,,
bettong,NOT IN VOCAB,,,,,
bichon,NOT IN VOCAB,,,,,
bigeye,NOT IN VOCAB,,,,,
bighorn,NOT IN VOCAB,,,,,
bighorn sheep,NOT IN VOCAB,,,,,
bilbies,NOT IN VOCAB,,,,,
bilby,NOT IN VOCAB,,,,,
billfish,NOT IN VOCAB,,,,,
billy goat,NOT IN VOCAB,,,,,
binturong,NOT IN VOCAB,,,,,
bird,IN VOCAB,,,,,
bison,IN VOCAB,,,,,
biting midge,NOT IN VOCAB,,,,,
bittern,IN VOCAB,,,,,
bivalve,NOT IN VOCAB,,,,,
black bear,NOT IN VOCAB,,,,,
black headed gull,NOT IN VOCAB,,,,,
black lab,NOT IN VOCAB,,,,,
black labrador,NOT IN VOCAB,,,,,
black mamba,NOT IN VOCAB,,,,,
black panther,NOT IN VOCAB,,,,,
black squirrel,NOT IN VOCAB,,,,,
black widow,NOT IN VOCAB,,,,,
black-capped chickadee,NOT IN VOCAB,,,,,
