Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAJ-663,pizza,0.0001,6.127115818,0.0001
CAJ-663,popcorn,0.341586234,5.70964726,0.1429
CAJ-663,hotdog,0.284115025,4.377634034,0.2857
CAJ-663,cheese,0.292105411,6.784949697,0.0001
CAJ-663,coffee,0.311199855,7.112627989,0.0001
CAJ-663,tea,0.6425551,7.046139975,0.0001
CAJ-663,soda,0.497765497,6.491606791,0.0001
CAJ-663,water,0.544862156,8.128616304,0.0001
CAJ-663,asparagus,0.26104984,5.834790618,0.0001
CAJ-663,broccoli,0.595687703,5.735691497,0.1111
CAJ-663,cauliflower,0.633947904,5.61004341,0.25
CAJ-663,carrots,0.436618725,6.047191506,0.25
CAJ-663,salad,0.408508617,6.493777206,0.3333
CAJ-663,meatloaf,0.335848186,4.721761167,0.1667
CAJ-663,chicken,0.37904667,6.827585591,0.0001
CAJ-663,hamburger,0.377589769,5.787621977,0.0001
CAJ-663,lemonade,0.176809859,5.675389685,0.1429
CAJ-663,banana,0.308137611,6.151067854,0.1429
CAJ-663,apple,0.488181577,6.797844554,0.1667
CAJ-663,peach,0.286675062,6.184131881,0.25
CAJ-663,corn,0.278204671,7.059617749,0.0001
CAJ-663,rice,0.477933155,6.983482536,0.0001
CAJ-663,pork,0.35698616,6.422526808,0.0001
CAM-666,strawberries,0.0001,5.930610323,0.0001
CAM-666,blueberries,0.598095587,5.385221851,0.5556
CAM-666,raspberries,0.61143359,5.497827736,0.625
CAM-666,apricots,0.568251021,5.495676132,0.0001
CAM-666,bread,0.270663739,7.118235849,0.125
CAM-666,jam,0.483330492,6.225408279,0.0001
CAM-666,butter,0.519539137,6.885433766,0.0001
CAM-666,peanutbutter,0.614131061,5.676114469,0.4444
CAM-666,toast,0.466506091,6.259869227,0.2222
CAM-666,popcorn,0.342634166,5.70964726,0.0001
CAM-666,pizza,0.341586234,6.127115818,0.1429
CAM-666,burger,0.495118184,5.970327346,0.0001
CAM-666,cheese,0.430311871,6.784949697,0.0001
CAM-666,soda,0.389511189,6.491606791,0.0001
CAM-666,water,0.544862156,8.128616304,0.0001
CAM-666,milk,0.539307859,7.233255898,0.0001
CAM-666,orangejuice,0.517359144,5.787305291,0.0001
CAM-666,cucumber,0.286567439,5.790691817,0.0001
CAM-666,pickle,0.557084847,5.671443151,0.25
CAM-666,icecream,0.310633088,6.274085076,0.1667
CAM-666,chocolate,0.562065126,6.569376251,0.1667
CAM-666,cinnamon,0.390023733,6.127657686,0.1429
CAM-666,sugar,0.491734171,7.202112247,0.0001
CAM-666,oregano,0.300635893,5.427374113,0.1429
CAM-666,rosemary,0.488011177,6.049312627,0.0001
CAP-671,grapes,0.0001,6.320292966,0.0001
CAP-671,water,0.321371408,8.128616304,0.0001
CAP-671,hamburger,0.307535204,5.787621977,0.1429
CAP-671,chips,0.391796417,6.388607524,0.0001
CAP-671,cookie,0.443094543,6.057489232,0.0001
CAP-671,carrot,0.327657438,5.910082533,0.2
CAP-671,soda,0.117508124,6.491606791,0.2
CAP-671,apple,0.313100549,6.797844554,0.0001
CAP-671,watermelon,0.393662188,5.539659369,0.1111
CAP-671,pear,0.398450105,6.100306775,0.0001
CAP-671,orange,0.358071405,6.979244809,0.0001
CAP-671,grapefruit,0.499005518,5.622690553,0.125
CAP-671,broccoli,0.39526119,5.735691497,0.125
CAP-671,pepper,0.356363383,6.692670611,0.0001
CAP-671,tomato,0.409827078,6.328685541,0.0001
CAP-671,juice,0.324548879,6.760199926,0.0001
CAP-671,icecream,0.360779755,6.274085076,0.0001
CAP-671,pizza,0.483050646,6.127115818,0.0001
CAP-671,corn,0.330613948,7.059617749,0.0001
CAP-671,potatoes,0.457079109,6.651055575,0.0001
CAS-674,pizza,0.0001,6.127115818,0.0001
CAS-674,burger,0.495118184,5.970327346,0.0001
CAS-674,water,0.36597906,8.128616304,0.25
CAS-674,hotdog,0.22029577,4.377634034,0.1667
CAS-674,fettuccine,0.277457285,4.725258066,0.125
CAS-674,spaghetti,0.545738673,5.757392232,0.25
CAS-674,steak,0.415988974,6.120825552,0.1429
CAS-674,apple,0.315136412,6.797844554,0.0001
CAS-674,orange,0.413947799,6.979244809,0.2
CAS-674,pear,0.358071405,6.100306775,0.0001
CAS-674,strawberries,0.39677149,5.930610323,0.1111
CAS-674,grapes,0.523092729,6.320292966,0.1111
CAS-674,salad,0.373036877,6.493777206,0.0001
CAS-674,tomato,0.350402694,6.328685541,0.0001
CAS-674,soda,0.283364031,6.491606791,0.0001
CAS-674,cereal,0.328187445,6.103664177,0.3333
CAS-674,bagel,0.402024889,5.144016583,0.3333
CAS-674,roll,0.32713583,6.968740227,0.2
CAS-674,waffles,0.254050355,5.166240605,0.1667
CAS-674,pancakes,0.704275775,5.671386696,0.0001
CAS-674,bacon,0.456393941,6.679321309,0.1429
CAS-674,eggs,0.453408615,6.99743418,0.0001
