,Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Group
0,CAF-657,0.3957021035170491,0.1079029065194033,6.204437075896552,0.7509666325991879,0.0471892857142857,0.0888080299142407,29,NH
1,CAJ-663,0.4386668160976221,0.1206866173032269,6.2116895477,0.6527215367054297,0.0713736842105263,0.1010372199962044,20,NH
2,CAM-666,0.4109852462882655,0.1338668163768101,6.24802347404,0.8103501418586209,0.062575,0.1190821464733301,25,NH
3,CAN-667,0.4288147694022404,0.1082548616191749,6.4747991439999995,0.6658900427199443,0.1056588235294117,0.1199086895246937,18,
4,CAP-671,0.421642757648088,0.0811037085785831,6.400540106421053,0.6379890409259468,0.0855833333333333,0.1299774969211299,19,NH
5,CAQ-672,0.420952492584663,0.1295127867705725,6.282200116545455,0.6806400309631595,0.0501333333333333,0.0840663329361601,22,NH
6,CAR-673,0.4484497471608233,0.1356480671530585,6.062672912045454,0.91051094922444,0.0653380952380952,0.103024276149801,22,NH
7,CAS-674,0.4531874322858777,0.1525362145644624,6.189105191380953,0.6781397955011375,0.069295,0.1049251034886564,21,NH
8,CAU-667,0.4461399660366564,0.1698013291903646,5.7859555635789475,0.9602532165706642,0.1366864864864864,0.2590537354833314,38,
9,CAV-678,0.4391706848978828,0.1092545112380473,6.034763460285714,0.7856048223267682,0.0645814814814814,0.1272584500354028,28,NH
10,CAY-681,0.4807882039001018,0.2156957410615407,6.126517431521739,0.8167082812621448,0.1501227272727272,0.2991117101906246,23,NH
11,CBD-686,0.4802439174048766,0.1599917344035101,6.27011491445,0.6252474625240261,0.0577157894736842,0.0943671274165008,20,NH
12,CBF-691,0.4231065960355539,0.1002672699908568,6.177411159368421,0.7228490801792612,0.0748055555555555,0.088845937192173,19,NH
13,CBH-693,0.4636711058678643,0.1499662598003381,6.19601535575,0.7821676310148881,0.1284304347826086,0.225672978272831,24,NH
14,CBJ-697,0.4277589686643291,0.0801482507442578,5.826351867695652,0.7821147731812111,0.1301545454545454,0.1797858480771809,23,NH
15,CBL-698,0.4286086964358642,0.1303234634175125,5.4280799137999995,1.2654620545376962,0.1451157894736842,0.2285868963464147,20,NH
16,CBM-702,0.4137822132651474,0.1236339195393817,5.921688713076923,0.7995139072024202,0.117364,0.1899538406209957,26,NH
17,CBP-707,0.4630055249512455,0.1093649070396453,6.311591571785714,0.7669282089267153,0.0680185185185185,0.1181257903092391,28,NH
18,CBS-711,0.4212857089368747,0.1365647625385825,6.053867835999999,0.8266808665935327,0.068191304347826,0.1173731923591795,24,NH
19,CBW-715,0.4724413702533598,0.1496302363861807,6.345069319166667,0.6155532110566789,0.0608588235294117,0.115413517724439,18,NH
20,CCB-720,0.4029876896015583,0.1120259238372333,6.131025735846153,0.7592786986597109,0.091725,0.1198165804659165,13,NH
21,CCC-721,0.4310504644084991,0.1195934679254368,6.458806783066667,0.735330472383128,0.059,0.1007247200580335,15,NH
22,CCD-722,0.4214575764391187,0.1128717175528452,6.1302326439999995,0.7252064636451153,0.0562821428571428,0.0892039405107504,29,NH
23,CCF-724,0.4594862916758083,0.1086305429224901,6.560672676352942,0.6192986664688706,0.0996249999999999,0.1861354435171693,17,NH
24,CCH-726,0.4367665555830834,0.1366891557614938,6.080797962782609,0.7762614704274011,0.0422545454545454,0.1031301661437194,23,NH
25,CCL-730,0.4508666725913072,0.1640768291974335,6.409215168208333,0.6218726131755894,0.0860086956521739,0.2451860127128779,24,NH
