Speech2vec Vocab,Speech2vec Pairwise Cosine Similarity,Word2vec Vocab,Word2vec Pairwise Cosine Similarity
the,0.0001,the,0.0001
and,,and,
of,,of,
to,,to,
a,,a,
in,,in,
i,,i,
he,,he,
that,,that,
was,,was,
it,,it,
his,,his,
with,,with,
as,,as,
you,,you,
for,,for,
had,,had,
is,,is,
her,,her,
but,,but,
not,,not,
she,,she,
at,,at,
on,,on,
be,,be,
him,,him,
they,,they,
have,,have,
by,,by,
this,,this,
all,,all,
which,,which,
my,,my,
said,,said,
from,,from,
so,,so,
one,,one,
were,,were,
me,,me,
we,,we,
there,,there,
no,,no,
or,,or,
when,,when,
are,,are,
their,,their,
an,,an,
them,,them,
would,,would,
if,,if,
what,,what,
who,,who,
will,,will,
been,,been,
out,,out,
then,,then,
up,,up,
do,,do,
could,,could,
more,,more,
into,,into,
now,,now,
man,,man,
very,,very,
your,,your,
some,,some,
little,,little,
time,,time,
about,,about,
like,,like,
than,,than,
did,,did,
upon,,upon,
only,,only,
has,,has,
any,,any,
well,,well,
two,,two,
other,,other,
see,,see,
before,,before,
its,,its,
good,,good,
down,,down,
know,,know,
over,,over,
made,,made,
our,,our,
after,,after,
should,,should,
can,,can,
great,,great,
old,,old,
such,,such,
came,,came,
must,,must,
how,,how,
never,,never,
these,,these,
day,,day,
come,,come,
much,,much,
mister,,mister,
go,,go,
us,,us,
where,,where,
may,,may,
first,,first,
way,,way,
again,,again,
went,,went,
himself,,himself,
here,,here,
back,,back,
long,,long,
say,,say,
own,,own,
men,,men,
think,,think,
too,,too,
thought,,thought,
away,,away,
might,,might,
just,,just,
even,,even,
am,,am,
without,,without,
through,,through,
make,,make,
life,,life,
most,,most,
every,,every,
those,,those,
eyes,,eyes,
shall,,shall,
still,,still,
don't,,don't,
nothing,,nothing,
take,,take,
being,,being,
many,,many,
hand,,hand,
last,,last,
while,,while,
house,,house,
once,,once,
off,,off,
saw,,saw,
night,,night,
three,,three,
yet,,yet,
people,,people,
found,,found,
same,,same,
get,,get,
head,,head,
place,,place,
though,,though,
let,,let,
another,,another,
face,,face,
tell,,tell,
took,,took,
young,,young,
room,,room,
put,,put,
ever,,ever,
looked,,looked,
missus,,missus,
asked,,asked,
under,,under,
left,,left,
right,,right,
things,,things,
sir,,sir,
look,,look,
give,,give,
why,,why,
always,,always,
heard,,heard,
seemed,,seemed,
something,,something,
new,,new,
thing,,thing,
father,,father,
yes,,yes,
because,,because,
going,,going,
world,,world,
told,,told,
love,,love,
mind,,mind,
got,,got,
door,,door,
home,,home,
far,,far,
each,,each,
knew,,knew,
soon,,soon,
king,,king,
work,,work,
oh,,oh,
against,,against,
heart,,heart,
mother,,mother,
moment,,moment,
years,,years,
quite,,quite,
done,,done,
find,,find,
better,,better,
woman,,woman,
few,,few,
side,,side,
also,,also,
began,,began,
half,,half,
enough,,enough,
having,,having,
seen,,seen,
water,,water,
called,,called,
whole,,whole,
turned,,turned,
hands,,hands,
part,,part,
gave,,gave,
course,,course,
both,,both,
between,,between,
it's,,it's,
light,,light,
poor,,poor,
morning,,morning,
set,,set,
lady,,lady,
whom,,whom,
felt,,felt,
myself,,myself,
herself,,herself,
however,,however,
god,,god,
miss,,miss,
stood,,stood,
white,,white,
dear,,dear,
days,,days,
almost,,almost,
words,,words,
nor,,nor,
name,,name,
perhaps,,perhaps,
among,,among,
replied,,replied,
voice,,voice,
girl,,girl,
anything,,anything,
want,,want,
end,,end,
until,,until,
round,,round,
looking,,looking,
cried,,cried,
four,,four,
does,,does,
hundred,,hundred,
next,,next,
till,,till,
brought,,brought,
small,,small,
i'm,,i'm,
together,,together,
indeed,,indeed,
since,,since,
rather,,rather,
feet,,feet,
