unduplicated entries,evaluation,difflib
breadsticks,NOT FOUND,"['breasts', 'sticks', 'bricks']"
graxy,NOT FOUND,"['gray', 'grays', 'gravy']"
salmon,FOUND,salmon
spaghetti,NOT FOUND,"['paget', 'pathetic', 'sympathetic']"
spritezero,NOT FOUND,"['sprite', 'privateer', 'sprites']"
porktenderloin,NOT FOUND,"['rendering', 'pretender', 'portended']"
lasagna,NOT FOUND,"['laana', 'laysan', 'larsan']"
cake,FOUND,cake
pizza,NOT FOUND,"['piazza', 'pizarro', 'pisa']"
brusselsprouts,NOT FOUND,"['brussels', 'sprouts', 'passepartout']"
lettuce,FOUND,lettuce
hamburger,NOT FOUND,"['hamburg', 'burger', 'limburger']"
lemonjuice,NOT FOUND,"['leone', 'lemonade', 'lemon']"
granolabars,NOT FOUND,"['granaries', 'robarts', 'malabar']"
pies,FOUND,pies
fettuccini,NOT FOUND,"['fretting', 'fetching', 'bertuccio']"
meat,FOUND,meat
pancakes,FOUND,pancakes
jam,FOUND,jam
dairy,FOUND,dairy
mcdonalds,NOT FOUND,"['donald', 'donaldson', 'monad']"
tomatoes,FOUND,tomatoes
chickentenders,NOT FOUND,"['chickens', 'thickened', 'engenders']"
orangejuice,NOT FOUND,"['orange', 'prejudice', 'rejoice']"
bark,FOUND,bark
salsa,NOT FOUND,"['sala', 'seals', 'scala']"
soup,FOUND,soup
radishes,FOUND,radishes
carrot,FOUND,carrot
tangerine,NOT FOUND,"['tangerines', 'tangent', 'tanager']"
limejuice,NOT FOUND,"['juice', 'timepiece', 'sluice']"
greens,FOUND,greens
zucchinibread,NOT FOUND,"['unchained', 'cochineal', 'inbred']"
donuts,NOT FOUND,"['doubts', 'outs', 'nuts']"
waffles,NOT FOUND,"['raffles', 'wales', 'whales']"
brocolli,NOT FOUND,"['rollin', 'collie', 'rolling']"
pudding,FOUND,pudding
pepper,FOUND,pepper
2%milk,NOT FOUND,"['milk', 'milky', 'milked']"
dietrite,NOT FOUND,"['detroit', 'distribute', 'trite']"
cinnamon,FOUND,cinnamon
eggs,FOUND,eggs
chocolatefudge,NOT FOUND,"['chocolate', 'schoolmate', 'schoolmates']"
cheesenips,NOT FOUND,"['cheeses', 'cheese', 'lachesis']"
oatmeal,FOUND,oatmeal
poptarts,NOT FOUND,"['poplars', 'tarts', 'ports']"
cheesesause,NOT FOUND,"['cheeses', 'cheese', 'cheesacre']"
jelly,FOUND,jelly
greenbeans,NOT FOUND,"['greens', 'greene', 'greenness']"
cashews,NOT FOUND,"['shews', 'cases', 'ashes']"
fantagrape,NOT FOUND,"['vantage', 'grape', 'frontage']"
kiwis,NOT FOUND,"['wits', 'wist', 'wisp']"
quesadilla,NOT FOUND,"['quadrille', 'quillan', 'quill']"
pears,FOUND,pears
chocolateballs,NOT FOUND,"['chocolate', 'schoolmates', 'schoolmate']"
blueberrymuffins,NOT FOUND,"['bleoberis', 'blubbering', 'muffins']"
seacrackers,NOT FOUND,"['crackers', 'searchers', 'cracker']"
empanadas,NOT FOUND,"['panada', 'expands', 'demands']"
vanillacoke,NOT FOUND,"['vanilla', 'wallace', 'village']"
burgers,NOT FOUND,"['burghers', 'burger', 'burners']"
barbecue,NOT FOUND,"['rescue', 'barque', 'barber']"
tomatojuice,NOT FOUND,"['tomatoes', 'tomato', 'automatic']"
