vocab,evaluation,difflib
acornsquash,NOT FOUND,"['squash', 'cornua', 'acorns']"
adobo,NOT FOUND,"['adobe', 'doo', 'ado']"
alcohol,FOUND,alcohol
alfalfa,NOT FOUND,"['valhalla', 'allay', 'allan']"
alfredo,NOT FOUND,"['alfred', 'alfredston', ""alfred's""]"
alligator,FOUND,alligator
almond,FOUND,almond
almondbutter,NOT FOUND,"['nutter', 'mutter', 'butter']"
almondmilk,NOT FOUND,"['almond', 'almonds', 'klondike']"
almonds,FOUND,almonds
americancheese,NOT FOUND,"['americans', ""american's"", 'americas']"
anchovies,FOUND,anchovies
anchovy,FOUND,anchovy
angelfoodcake,NOT FOUND,"['angelica', 'angelo', 'angela']"
animalfood,NOT FOUND,"['animal', 'animals', 'manifold']"
appetizer,NOT FOUND,"['appetite', 'appetites', 'appetible']"
apple,FOUND,apple
applepie,NOT FOUND,"['applies', 'applied', 'apple']"
appleturnover,NOT FOUND,"['approve', 'lecturer', 'approves']"
applesauce,NOT FOUND,"['applause', 'apples', 'applauded']"
apricot,FOUND,apricot
apricots,FOUND,apricots
artichoke,NOT FOUND,"['article', 'choke', 'particle']"
arugula,NOT FOUND,"['regular', 'augusta', 'angular']"
asiago,NOT FOUND,"['sago', 'iago', 'asia']"
asparagus,FOUND,asparagus
avocado,NOT FOUND,"['advocated', 'volcano', 'bravado']"
babaghanoush,NOT FOUND,"['barbarous', 'barbarians', 'magnanimous']"
bacon,FOUND,bacon
bagel,NOT FOUND,"['barge', 'badge', 'babel']"
baguette,NOT FOUND,"['banquette', 'babette', 'butte']"
bakedbean,NOT FOUND,"['baked', 'baden', 'brakeman']"
bakedbeans,NOT FOUND,"['brakeman', 'beans', 'baked']"
bakedchicken,NOT FOUND,"['chicken', 'chickens', 'thicken']"
bakedpotato,NOT FOUND,"['potato', 'adaptation', 'exportation']"
bakedturkey,NOT FOUND,"['turkey', 'bakery', 'turnkey']"
baklava,NOT FOUND,"['lava', 'batavia', 'larva']"
balut,NOT FOUND,"['salut', 'blunt', 'but']"
bambooshoots,NOT FOUND,"['bamboos', 'shoots', 'bloodshot']"
banana,FOUND,banana
bananabread,NOT FOUND,"['banana', 'barnard', 'bananas']"
bananacreampie,NOT FOUND,['banana']
bananapepper,NOT FOUND,"['pepper', 'banner', 'banana']"
bananapudding,NOT FOUND,"['pudding', 'budding', 'puddings']"
bananasplit,NOT FOUND,"['bananas', 'banana', 'annapolis']"
bananasfoster,NOT FOUND,"['bannister', 'bananas', 'banister']"
bangersandmash,NOT FOUND,"['grandma', 'bananas', 'understands']"
banhmi,NOT FOUND,"['bahia', 'branching', 'branch']"
barbecue,NOT FOUND,"['rescue', 'barque', 'barber']"
barley,FOUND,barley
basil,FOUND,basil
bass,FOUND,bass
bbq,NOT FOUND,"['ebb', 'bub', 'boq']"
bean,FOUND,bean
beandip,NOT FOUND,"['bandit', 'bend', 'bean']"
beans,FOUND,beans
beansprouts,NOT FOUND,"['sprouts', 'sprout', 'beasts']"
beef,FOUND,beef
beefandbrocolli,NOT FOUND,[]
beefandeggnoodles,NOT FOUND,[]
beefandnoodles,NOT FOUND,"['noodles', 'bloodless', 'beardless']"
beeffriedrice,NOT FOUND,"['befriended', 'frederic', 'befriend']"
beefjerky,NOT FOUND,"['jerky', 'bewery', 'belfry']"
beefpastrami,NOT FOUND,"['beefsteak', 'benefactor', 'bertram']"
beefstew,NOT FOUND,"['beefsteak', 'bestow', 'bereft']"
beefstroganoff,NOT FOUND,['beefsteak']
beeftaco,NOT FOUND,"['benefactor', 'benefactors', 'bereft']"
beer,FOUND,beer
beet,FOUND,beet
beets,FOUND,beets
bellpepper,NOT FOUND,"['pepper', 'peppers', 'peppered']"
bellpeppers,NOT FOUND,"['peppers', 'pepper', 'lepers']"
berries,FOUND,berries
bibblettuce,NOT FOUND,"['lettuce', 'babette', 'villette']"
bibimbap,NOT FOUND,"['biblical', 'simba', 'bibbs']"
biscuit,FOUND,biscuit
biscuitsandgravy,NOT FOUND,"['biscuits', 'biscuit']"
bison,FOUND,bison
blackbean,NOT FOUND,"['blacken', 'blackbeard', 'blackened']"
blackbeans,NOT FOUND,"['blacken', 'blackbeard', 'blackest']"
blackolives,NOT FOUND,"['blackie', 'blackish', 'blackest']"
blackberries,FOUND,blackberries
blackberry,FOUND,blackberry
blackeyedpeas,NOT FOUND,"['blackened', 'lackeys', 'blacked']"
bleucheese,NOT FOUND,"['lucchese', 'cheese', 'lunches']"
bltsandwich,NOT FOUND,"['sandwich', 'sandwiches', 'blanch']"
bluecheese,NOT FOUND,"['lucchese', 'cheese', 'lunches']"
blueberries,NOT FOUND,"['bleoberis', 'blackberries', 'berries']"
blueberry,NOT FOUND,"['bluebeard', 'blubber', 'blackberry']"
blueberryjelly,NOT FOUND,"['bluebells', 'liberally', 'bluebeard']"
bluegill,NOT FOUND,"['buell', 'luella', 'bluebells']"
boiledegg,NOT FOUND,"['boiled', 'broiled', 'oiled']"
bokchoy,NOT FOUND,"['broncho', 'bothy', 'botch']"
bologna,FOUND,bologna
bonelesswings,NOT FOUND,"['blessings', 'blessing', 'confessing']"
bostonlettuce,NOT FOUND,"['lettuce', 'toilette', 'obsolete']"
boysenberry,NOT FOUND,"['gooseberry', 'dysentery', 'sowerberry']"
bratwurst,NOT FOUND,"['bradhurst', 'burst', 'brats']"
brazilnut,NOT FOUND,"['brazil', 'brazilian', 'brant']"
bread,FOUND,bread
breadbowl,NOT FOUND,"['breakdown', 'bread', 'brawl']"
breadpudding,NOT FOUND,"['reaping', 'reading', 'pudding']"
breadfruit,NOT FOUND,"['redruth', 'recruit', 'breadth']"
breadstick,NOT FOUND,"['breast', 'realistic', 'seasick']"
breadsticks,NOT FOUND,"['breasts', 'sticks', 'bricks']"
bready,NOT FOUND,"['ready', 'bread', 'brady']"
breakfastsandwich,NOT FOUND,"['breakfasts', 'breakfasted', 'breakfast']"
brie,NOT FOUND,"['brine', 'brier', 'brieg']"
brioche,NOT FOUND,"['brice', 'brooches', 'broached']"
brisket,NOT FOUND,"['brisker', 'brisk', 'risked']"
broccoli,NOT FOUND,"['morocco', 'bucolic', 'broncho']"
broccolirabe,NOT FOUND,"['brocade', 'sociable', 'reliable']"
brookie,NOT FOUND,"['brooke', 'brook', 'broke']"
broth,FOUND,broth
brownrice,NOT FOUND,"['brownie', 'brownies', 'browne']"
brownie,FOUND,brownie
brusselssprout,NOT FOUND,"['brussels', 'passepartout', ""russell's""]"
brusselssprouts,NOT FOUND,"['brussels', 'sprouts']"
buddhasdelight,NOT FOUND,"['delight', 'buddhas', 'gaslight']"
buffalowing,NOT FOUND,"['flowing', 'buffalo', 'blowing']"
buffalowings,NOT FOUND,"['buffaloes', 'flowing', 'buffalo']"
buicake,NOT FOUND,"['buckle', 'bucket', 'bicker']"
bulgogi,NOT FOUND,"['bulldog', 'bulging', 'logic']"
bulltesticles,NOT FOUND,"['bullets', 'utensils', 'trestles']"
bun,FOUND,bun
bunchofgrapes,NOT FOUND,"['bunches', 'biographies', 'anchorage']"
burger,FOUND,burger
burrito,NOT FOUND,"['burton', 'burrow', 'burros']"
burritobowl,NOT FOUND,"['burrow', 'burrows', 'bristow']"
