Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.36401934297940386,7.013143358,0.0001
CAF-657,hawk,0.27032274267577416,6.384581525,0.0001
CAF-657,dog,0.31194478935906,7.256114028,0.3333
CAF-657,turtle,0.4123171459664974,6.229758099,0.0001
CAF-657,jellyfish,0.37682151207857006,5.224579675,0.0001
CAF-657,bear,0.27312060340408606,7.366226929,0.1429
CAF-657,ant,0.3041875897470816,6.426146105,0.0001
CAF-657,mosquito,0.43654172796387725,6.026549198,0.1429
CAF-657,frog,0.4141678830354596,6.319346573,0.0001
CAF-657,tadpole,0.7010364266905618,5.208922147,0.0001
CAF-657,fish,0.41444186222275925,7.344814258,0.0001
CAF-657,shark,0.5343008512980209,6.054603863,0.0001
CAF-657,dolphin,0.4062871616893997,5.864843201,0.1667
CAF-657,gorilla,0.4331110310589539,5.657093158,0.1667
CAF-657,monkey,0.542959883704979,6.401926546,0.0001
CAF-657,fly,0.33624558228347823,7.029176525,0.0001
CAF-657,eagle,0.4624416078468323,6.640854253,0.0001
CAF-657,toad,0.24870466540995573,5.885895277,0.0001
CAF-657,rat,0.2710674447382734,6.766463413,0.0001
CAF-657,mouse,0.604693004907609,6.776846046,0.0001
CAF-657,gerbil,0.46922446172342847,4.725674828,0.0001
CAF-657,groundhog,0.31678964636193063,4.796018969,0.0001
CAF-657,fox,0.3223285680613506,6.849727181,0.0001
CAF-657,raccoon,0.33157207186725035,5.500824927,0.2
CAF-657,deer,0.3550541918123141,6.706983738,0.0001
CAF-657,squirrel,0.44134053979858234,6.080840335,0.0001
CAF-657,rabbit,0.44196786381669595,6.568628649,0.1667
CAF-657,blue jay,0.28264869597519104,4.926872127,0.0001
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,giraffe,0.4130497873840404,5.372025949,0.0001
CAJ-663,elephant,0.5317287522391482,6.363660295,0.1429
CAJ-663,zebra,0.39864544151135384,5.561689192,0.1429
CAJ-663,horse,0.4197108614992404,7.396710537,0.2
CAJ-663,cat,0.541054219758753,7.013143358,0.0001
CAJ-663,dog,0.6237586803271854,7.256114028,0.0001
CAJ-663,iguana,0.3641130288700529,5.173809573,0.0001
CAJ-663,turtle,0.4293811133300751,6.229758099,0.0001
CAJ-663,dolphin,0.3344588826196042,5.864843201,0.1667
CAJ-663,penguin,0.3546538935686997,6.25042049,0.2857
CAJ-663,buffalo,0.3655964963199937,6.710471006,0.0001
CAJ-663,kangaroo,0.24017054119427728,5.566218227,0.0001
CAJ-663,goose,0.30215463352427907,6.301955793,0.1667
CAJ-663,duck,0.63713789860744,6.439638803,0.0001
CAJ-663,swan,0.4856164957711092,6.23145965,0.0001
CAJ-663,monkey,0.32609301988963,6.401926546,0.0001
CAJ-663,chimp,0.6673327674366554,4.983833689,0.0001
