Word,Result
pizza,NULL
popcorn,NULL
hotdogs,NULL
cheese,cheese
coffee,coffee
tea,tea
soda,soda
water,water
asparagus,asparagus
broccoli,NULL
cauliflower,cauliflower
carrots,carrots
salad,salad
meatloaf,NULL
chicken,chicken
hamburgers,NULL
grilledcheesesandwich,NULL
lemonade,lemonade
bananas,bananas
apples,apples
peaches,peaches
corn,corn
rice,rice
pork,pork
strawberries,strawberries
blueberries,NULL
raspberries,raspberries
apricots,apricots
bread,bread
jam,jam
butter,butter
peanutbutter,NULL
toast,toast
popcorn,NULL
pizza,NULL
burger,burger
cheese,cheese
soda,soda
water,water
milk,milk
orangejuice,NULL
lemonjuice,NULL
grapejuice,NULL
raspberryjuice,NULL
strawberryjuice,NULL
cucumbers,cucumbers
pickles,pickles
cranberryjucie,NULL
icecream,NULL
chocolate,chocolate
vanilla,vanilla
cinnamon,cinnamon
sugar,sugar
oregano,NULL
rosemary,rosemary
grapes,grapes
water,water
hamburger,NULL
chips,chips
cookies,cookies
carrot,carrot
soda,soda
apple,apple
watermelon,watermelon
pear,pear
orange,orange
grapefruit,NULL
brocolli,NULL
pepper,pepper
tomato,tomato
juice,juice
icecream,NULL
pizza,NULL
corn,corn
potatoes,potatoes
pizza,NULL
gatorade,NULL
burgers,NULL
water,water
hotdogs,NULL
proteinbar,NULL
chocolatemilk,NULL
whitemilk,NULL
skimmilk,NULL
fettuccini,NULL
spaghetti,NULL
steak,steak
chewybar,NULL
apple,apple
orange,orange
pear,pear
strawberries,strawberries
grapes,grapes
salad,salad
tomato,tomato
soda,soda
cereal,NULL
bagels,NULL
rolls,rolls
waffles,NULL
pancakes,pancakes
bacon,bacon
eggs,eggs
sausage,sausage
icecream,NULL
lobster,lobster
crab,crab
apple,apple
orange,orange
water,water
beer,beer
spaghetti,NULL
lasagna,NULL
chicken,chicken
watermelon,watermelon
orange,orange
grapes,grapes
steak,steak
porkchops,NULL
ribs,ribs
broccoli,NULL
sauercraut,NULL
hotdogs,NULL
lunchmeats,NULL
roastbeef,NULL
porktenderloin,NULL
icecream,NULL
mountaindew,NULL
drpepper,NULL
sprite,sprite
dietrite,NULL
rice,rice
noodles,noodles
apples,apples
bananas,bananas
peaches,peaches
oranges,oranges
pizza,NULL
hotwings,NULL
frenchfries,NULL
sourcream,NULL
potatoskins,NULL
pepsi,NULL
drpepper,NULL
mountaindew,NULL
drpepper,NULL
sprite,sprite
sierramist,NULL
milk,milk
water,water
juice,juice
applejuice,NULL
cranberryjuice,NULL
grapejuice,NULL
cranapplejuice,NULL
v8juice,NULL
bread,bread
sandwiches,sandwiches
bologna,bologna
turkey,turkey
chicken,chicken
beef,beef
empanadas,NULL
empanidas,NULL
quesadillas,NULL
tacos,NULL
burritos,NULL
waffles,NULL
hashbrowns,NULL
poptarts,NULL
granolabars,NULL
cereal,NULL
chocolatesyrup,NULL
pizza,NULL
candy,candy
chocolate,chocolate
kiwis,NULL
strawberries,strawberries
marshmallows,NULL
pop,pop
pepsis,NULL
cocacola,NULL
m&ms,NULL
hersheys,NULL
chocolatecoveredmarshmallows,NULL
chocolatecoveredstrawberries,NULL
chocolatecoveredbrownies,NULL
cake,cake
chocolatecake,NULL
marblecake,NULL
vanillacake,NULL
nastycake,NULL
cakethathassugaronit,NULL
salsberrysteak,NULL
chicken,chicken
milk,milk
lemon,lemon
orange,orange
cheese,cheese
orangejuice,NULL
grapejuice,NULL
sprite,sprite
coke,coke
pepsi,NULL
mountaindew,NULL
drpepper,NULL
gingerale,NULL
macaroni,macaroni
celery,celery
carrots,carrots
broccoli,NULL
tomatoes,tomatoes
bread,bread
peppers,peppers
onions,onions
bacon,bacon
eggs,eggs
icing,icing
cake,cake
pie,pie
cherries,cherries
grapes,grapes
bananas,bananas
brusselsprouts,NULL
water,water
apple,apple
oranges,oranges
soda,soda
grapes,grapes
granolabars,NULL
candy,candy
hotpockets,NULL
steak,steak
chicken,chicken
tacos,NULL
fastfood,NULL
pomegranate,pomegranate
grapefruits,NULL
carrots,carrots
broccoli,NULL
icecream,NULL
